segment,cabin,config_name,model,feature_set,rmse,mae,r2,train_rows_total,train_rows_used,test_rows,n_features,train_time_sec
short,經濟艙,short_eco,RandomForest,baseline,0.13491852860882284,0.08036250148589306,0.9490870776853326,4680,4680,2006,64,1.5370620829926338
short,經濟艙,short_eco,XGBoost,baseline,0.14050192114080912,0.09084721660193541,0.9447859812745747,4680,4680,2006,64,0.7661403329984751
short,經濟艙,short_eco,SVR,baseline,0.1474382455987042,0.10272857669693078,0.9391997812209552,4680,4680,2006,64,0.9361824579973472
short,經濟艙,short_eco,RandomForest,interaction,0.1375840246930936,0.08085207487497269,0.9470554998882333,4680,4680,2006,165,3.4979638750082813
short,經濟艙,short_eco,XGBoost,interaction,0.14274060977782546,0.09089770907080694,0.9430124575830483,4680,4680,2006,165,1.175930541998241
short,經濟艙,short_eco,SVR,interaction,0.15927226429740896,0.1077979553792312,0.9290479183630973,4680,4680,2006,165,1.120111917000031
short,商務艙,short_biz,RandomForest,baseline,0.08306317217386809,0.037013512840834456,0.9239464106414086,2602,2602,1116,47,0.6566219579981407
short,商務艙,short_biz,XGBoost,baseline,0.08416762471564826,0.04271882232077461,0.9219104657977145,2602,2602,1116,47,0.5406080839893548
short,商務艙,short_biz,SVR,baseline,0.09846392588049126,0.06586505937349661,0.8931297106474386,2602,2602,1116,47,0.10632024999358691
short,商務艙,short_biz,RandomForest,interaction,0.08359078146316352,0.03717089528944257,0.9229771719459056,2602,2602,1116,116,1.1884849169873632
short,商務艙,short_biz,XGBoost,interaction,0.08402946690575148,0.043076540303337456,0.9221666171258246,2602,2602,1116,116,0.6474083749926649
short,商務艙,short_biz,SVR,interaction,0.10551750271365357,0.07091239034187141,0.877269727540474,2602,2602,1116,116,0.14121404101024382
long,經濟艙,long_eco,RandomForest,baseline,0.12382618245465139,0.06455219302667022,0.9498608362320989,35142,35142,15062,85,32.67873054200027
long,經濟艙,long_eco,XGBoost,baseline,0.2145769794521619,0.1450999452221512,0.849436960426019,35142,35142,15062,85,2.3290305830014404
long,經濟艙,long_eco,SVR,baseline,0.210049935579726,0.14067565613155505,0.8557229599024458,35142,6000,15062,85,2.605913125007646
long,經濟艙,long_eco,RandomForest,interaction,0.12486467485757491,0.06486486056459308,0.949016305881223,35142,35142,15062,186,86.79593125000247
long,經濟艙,long_eco,XGBoost,interaction,0.21045923754857604,0.14295372637843087,0.8551601374341739,35142,35142,15062,186,4.494328000000678
long,經濟艙,long_eco,SVR,interaction,0.20785323320493063,0.14021607088998328,0.8587248791291708,35142,6000,15062,186,3.2231589169969084
long,商務艙,long_biz,RandomForest,baseline,0.08737661717561297,0.046179583794889394,0.9420717235684206,29594,29594,12684,80,21.86873899999773
long,商務艙,long_biz,XGBoost,baseline,0.1515537964658623,0.10604905776884406,0.8257255208664863,29594,29594,12684,80,1.8802093330014031
long,商務艙,long_biz,SVR,baseline,0.1367377170334165,0.0965455876303189,0.8581344968645606,29594,6000,12684,80,1.7325844580045668
long,商務艙,long_biz,RandomForest,interaction,0.0885063585515245,0.047013839194534036,0.940564065025835,29594,29594,12684,170,64.33399491698947
long,商務艙,long_biz,XGBoost,interaction,0.14464768089486085,0.10089084653379499,0.8412465750653214,29594,29594,12684,170,3.653550458009704
long,商務艙,long_biz,SVR,interaction,0.13836067004720942,0.09688578088185971,0.8547468811084167,29594,6000,12684,170,1.7746467090037186
