segment,cabin,model,mae_baseline,mae_interaction,r2_baseline,r2_interaction,rmse_baseline,rmse_interaction,rmse_delta,mae_delta,r2_gain
long,商務艙,RandomForest,0.046179583794889394,0.047013839194534036,0.9420717235684206,0.940564065025835,0.08737661717561297,0.0885063585515245,0.0011297413759115277,0.0008342553996446428,-0.0015076585425856104
long,商務艙,SVR,0.0965455876303189,0.09688578088185971,0.8581344968645606,0.8547468811084167,0.1367377170334165,0.13836067004720942,0.0016229530137929216,0.0003401932515408185,-0.0033876157561438802
long,商務艙,XGBoost,0.10604905776884406,0.10089084653379499,0.8257255208664863,0.8412465750653214,0.1515537964658623,0.14464768089486085,-0.006906115571001459,-0.005158211235049073,0.015521054198835094
long,經濟艙,RandomForest,0.06455219302667022,0.06486486056459308,0.9498608362320989,0.949016305881223,0.12382618245465139,0.12486467485757491,0.001038492402923516,0.0003126675379228616,-0.0008445303508759494
long,經濟艙,SVR,0.14067565613155505,0.14021607088998328,0.8557229599024458,0.8587248791291708,0.210049935579726,0.20785323320493063,-0.002196702374795384,-0.00045958524157177494,0.0030019192267249917
long,經濟艙,XGBoost,0.1450999452221512,0.14295372637843087,0.849436960426019,0.8551601374341739,0.2145769794521619,0.21045923754857604,-0.004117741903585853,-0.002146218843720321,0.005723177008154834
short,商務艙,RandomForest,0.037013512840834456,0.03717089528944257,0.9239464106414086,0.9229771719459056,0.08306317217386809,0.08359078146316352,0.0005276092892954332,0.0001573824486081135,-0.0009692386955030274
short,商務艙,SVR,0.06586505937349661,0.07091239034187141,0.8931297106474386,0.877269727540474,0.09846392588049126,0.10551750271365357,0.007053576833162309,0.0050473309683748,-0.01585998310696457
short,商務艙,XGBoost,0.04271882232077461,0.043076540303337456,0.9219104657977145,0.9221666171258246,0.08416762471564826,0.08402946690575148,-0.0001381578098967745,0.00035771798256284404,0.0002561513281100769
short,經濟艙,RandomForest,0.08036250148589306,0.08085207487497269,0.9490870776853326,0.9470554998882333,0.13491852860882284,0.1375840246930936,0.0026654960842707742,0.0004895733890796228,-0.002031577797099282
short,經濟艙,SVR,0.10272857669693078,0.1077979553792312,0.9391997812209552,0.9290479183630973,0.1474382455987042,0.15927226429740896,0.011834018698704762,0.005069378682300424,-0.010151862857857852
short,經濟艙,XGBoost,0.09084721660193541,0.09089770907080694,0.9447859812745747,0.9430124575830483,0.14050192114080912,0.14274060977782546,0.002238688637016345,5.049246887152414e-05,-0.0017735236915263908
