實際價格,預測值,CI95下限,CI95上限,CI99下限,CI99上限,CI95長度,CI99長度,是否落在CI95,是否落在CI99,信心分數
13226.795326641039,14933.983174888685,12883.057987358994,16306.11141564493,10368.047586546838,18475.076814683984,3423.0534282859353,8107.029228137146,1,1,0.6004183389150793
19732.059938929244,21156.7417801876,18717.014397516752,22374.386527459137,17512.84102831652,22697.487828659785,3657.372129942385,5184.646800343264,1,1,0.777534116122525
14913.17008727256,14805.014015050165,14509.828436222298,14913.170087272745,14439.49006289132,14913.170087272745,403.34165105044667,473.680024381425,1,1,0.5000000000128564
17500.767218364235,13124.647973831221,7843.337550602141,17216.119483274895,7583.539662635847,17297.488245654058,9372.781932672755,9713.948583018211,0,0,0.4696303896613899
18398.05074107136,18468.963716479546,18126.314410880957,19031.378650227867,18101.67005999588,19385.084561248426,905.0642393469097,1283.4145012525478,1,1,0.800239826499482
13226.795326641039,13287.876547960775,13230.41996511344,13356.103495196292,13226.795326641133,13375.575921079613,125.68353008285158,148.78059443847997,0,0,0.47116059308069314
13226.795326641039,13817.278308198962,11740.657128272913,14878.500046805588,11519.486117438524,14913.170087272745,3137.842918532675,3393.683969834221,1,1,0.9736177804156433
33860.35026024549,33859.94532365891,33860.35026024483,33863.550214539864,33798.84806590566,33898.17391149045,3.19995429503615,99.32584558478993,1,1,0.5000000017694353
42616.637173760595,30118.06357417485,27539.57762123074,32640.402046023275,26327.45406341246,32953.42278308388,5100.824424792536,6625.9687196714185,0,0,0.0
23155.786845395465,24692.663670971626,20899.843869196644,28252.12436521388,19717.954866326214,29161.44979684736,7352.280496017236,9443.494930521145,1,1,0.806835814741128
9701.15277292652,15204.511617816977,13358.280903546232,16919.324609717383,13147.606680420166,17137.670286704633,3561.043706171151,3990.063606284468,0,0,0.0
17854.306167671504,18966.832700894454,18111.295060617867,20506.20685869708,18021.090347121695,20828.63691889257,2394.9117980792143,2807.5465717708757,0,0,0.39269379642857727
23155.786845395465,19479.832892080078,13108.17622954765,23148.654923108792,12138.225352713293,23154.637726439134,10040.478693561143,11016.412373725841,0,0,0.49928968304208066
23155.786845395465,29528.27142579586,28387.47913077159,30649.200495286783,28206.57960738457,31163.71042411142,2261.7213645151933,2957.1308167268508,0,0,0.0
17676.652853009924,17365.143642763145,17112.934063838256,17674.973650751945,17102.53786200761,17676.65285300958,562.0395869136883,574.1149910019667,0,0,0.4970123060865299
14913.17008727256,14501.990425004675,13563.817125793757,14913.170087272745,13460.101468161038,14913.170087272745,1349.3529614789877,1453.0686191117074,1,1,0.5000000000038429
21375.485350429182,19859.310080794967,19042.07436209486,21237.978793058544,19008.556204475484,21376.921970892436,2195.9044309636847,2368.3657664169514,0,1,0.43738044542099475
