實際價格,預測值,CI95下限,CI95上限,CI99下限,CI99上限,CI95長度,CI99長度,是否落在CI95,是否落在CI99,信心分數
13226.795326641039,15084.842,14602.535299445084,17350.21029752905,13666.413640536599,18551.13137085912,2747.674998083967,4884.71773032252,0,0,0.0
19732.059938929244,20743.715,18321.272932861535,22315.84193495281,17509.651073084322,22686.354079615423,3994.5690020912734,5176.703006531101,1,1,0.8531762764219591
14913.17008727256,14805.904,14510.750717420635,14991.58991987606,14367.139836797285,15001.709600329685,480.83920245542504,634.5697635323995,1,1,0.6630895155936005
17500.767218364235,12791.416,7157.027768235727,17337.48536854384,7113.177491835072,17540.025668156457,10180.457600308113,10426.848176321386,0,1,0.483961246515059
18398.05074107136,18465.932,18115.92804995296,19002.242070661287,18101.846712772134,19321.862209338386,886.314020708327,1220.0154965662514,1,1,0.818310084832858
13226.795326641039,12890.068,12390.939363371364,13382.880073039538,11958.400732403532,13690.82927989109,991.9407096681734,1732.4285474875578,1,1,0.6573528991003289
13226.795326641039,12664.994,8686.585409688083,14808.250882140208,7671.77411280814,14873.468549784404,6121.665472452125,7201.694436976264,1,1,0.7583374675761415
33860.35026024549,33838.41,33567.252827721095,34102.022547718385,33393.02782310786,34105.80395361557,534.7697199972899,712.7761305077074,1,1,0.9519184210254095
42616.637173760595,29709.977,26955.26407228269,32047.88768113984,24653.887539677853,32723.662521671366,5092.6236088571495,8069.7749819935125,0,0,0.0
23155.786845395465,25135.662,22300.84207234189,29269.840072554274,18527.278088675816,29657.079794402078,6968.998000212385,11129.801705726262,1,1,0.6226782922066119
9701.15277292652,15338.855,13176.084446023502,18131.98867026675,12524.85910041742,18506.446055951932,4955.904224243248,5981.5869555345125,0,0,0.0
17854.306167671504,18960.08,18123.63639129603,20543.084372134344,18059.190061396785,20909.629203282555,2419.447980838315,2850.4391418857704,0,0,0.3886811265414791
23155.786845395465,19345.69,13028.547253008046,22980.991574509193,10422.642905452185,23101.274658041442,9952.444321501147,12678.631752589257,0,0,0.48243695063900316
23155.786845395465,29497.896,28385.333720495695,30504.33284345687,28221.271812218838,31058.58453422037,2118.9991229611733,2837.3127220015303,0,0,0.0
17676.652853009924,17372.898,17136.889505301744,17690.78986579153,17108.698878499206,17748.862694190964,553.9003604897844,640.1638156917579,1,1,0.5255226639929369
14913.17008727256,14519.062,13497.916225813455,14964.022976755283,13410.114951360963,15023.161936394074,1466.106750941828,1613.04698503311,1,1,0.5346856662754662
21375.485350429182,19243.2,18086.520661801194,20781.49663645864,17848.609181961066,21124.547309779933,2694.9759746574455,3275.9381278188666,0,0,0.27959405963207473
32859.62567444333,25683.732,20819.888330307804,29916.930405077666,20030.509374990364,30620.030377546143,9097.042074769863,10589.521002555779,0,0,0.17652174792960185
29732.618852891435,26276.186,22502.54388034734,30483.265003117896,21155.45573822285,31072.157502562117,7980.721122770556,9916.701764339268,1,1,0.5940574339941262
23388.506372157066,24661.58,23089.349332674097,32707.839043122025,22814.54882946722,32913.6235619445,9618.489710447928,10099.074732477278,1,1,0.5311022882483001
13095.186514175237,13230.085,13091.912677262017,13414.5337264657,13063.42844357745,13427.380560720527,322.62104920368256,363.952117143077,1,1,0.5101476234306486
22026.465794806718,24434.03,23557.205044044567,25280.402432744504,23495.027492714093,25644.247864528068,1723.1973886999367,2149.2203718139754,0,0,0.0
20130.67399118387,19823.848,18732.0798873068,20569.564523700275,18403.518018918014,20633.456944667563,1837.484636393474,2229.9389257495495,1,1,0.7388539875796991
18958.354802043836,18319.766,17007.749055417633,19589.5555379742,16628.82941735991,20120.779607549906,2581.806482556567,3491.9501901899966,1,1,0.744480266122769
13095.186514175237,13165.178,13087.98316874139,13286.989732592327,13084.409030407433,13347.306731445944,199.0065638509368,262.8977010385115,1,1,0.5361965218588503
17326.631675024404,15991.894,13935.259112409633,17367.93273101857,13298.338194681957,17812.597641840868,3432.6736186089365,4514.259447158911,1,1,0.5120317456850971
19148.88943544531,18151.457,17640.621920259244,18669.858918733993,17551.953565893036,18717.684292038266,1029.2369984747493,1165.7307261452297,0,0,0.03457705328165339
17326.631675024404,19722.941,17755.34076816135,21789.950762958415,16821.94226952727,22310.538653875414,4034.609994797065,5488.596384348144,0,1,0.39374212286101107
22925.382916614915,22880.191,22758.087650224457,22971.313695113746,22637.88736593267,22977.626560527344,213.22604488928846,339.7391945946729,1,1,0.7154088564815169
16155.244293579399,17190.781,15743.254786000518,18614.512481589518,15251.795411678475,20129.2088449967,2871.257695589,4877.413433318226,1,1,0.6434874717847052
13359.726829661873,13592.208,13470.802870088955,13733.756268249344,13428.51311345639,13764.988079802688,262.95339816038904,336.47496634629715,0,0,0.07758279149483749
22925.382916614915,23445.598,20107.702462463065,27197.748106546947,19088.39635788506,29125.967365624587,7090.0456440838825,10037.571007739527,1,1,0.8974135845661335
24834.770835065363,24721.508,24131.588308834882,25200.928448816674,24045.88465849929,25281.926907881818,1069.3401399817922,1236.042249382528,1,1,0.8424145415126003
23155.786845395465,23014.297,22840.589744831195,23151.374514533993,22759.241345150815,23161.737895664006,310.78476970279735,402.4965505131913,0,1,0.48580261555110915
18398.05074107136,18358.592,18110.25397623597,18588.74484400019,18083.95493459559,18647.279240708045,478.49086776421973,563.3243061124558,1,1,0.8985323770563729
14328.416324133817,14314.235,14278.107327187814,14339.179289185284,14260.417448178048,14346.743301968529,61.07196199746977,86.32585379048032,1,1,0.6762341457959047
21162.795717500194,20422.018,19044.599432693507,21181.693679486238,18970.024936026126,21231.43051317872,2137.0942467927307,2261.4055771525927,1,1,0.5088428304083064
18033.744927828524,19413.02,18920.6668359386,19803.27080195147,18694.834341946946,19921.74043079775,882.6039660128699,1226.906088850803,0,0,0.0
34200.6524378894,32243.11,30591.693477911478,33859.135950897034,30216.67306925901,34076.182053880715,3267.4424729855564,3859.508984621705,0,0,0.395478959519594
18214.987077506466,17621.525,17325.23529113057,18040.545135228956,17292.649059962674,18244.8130069465,715.3098440983849,952.1639469838265,0,1,0.25613093583250557
14044.69467150283,16434.986,9873.650731415426,17786.37522526605,8140.432722156338,18149.707801055374,7912.724493850623,10009.275078899036,1,1,0.9728688022275184
14328.416324133817,14314.235,14278.107327187814,14339.179289185284,14260.417448178048,14346.743301968529,61.07196199746977,86.32585379048032,1,1,0.6762341457959047
22026.465794806718,24549.906,23191.143978100503,25452.98681197532,22986.069613133608,25593.509197872485,2261.8428338748163,2607.439584738877,0,0,0.0
17854.306167671504,18358.592,18110.25397623597,18588.74484400019,18083.95493459559,18647.279240708045,478.49086776421973,563.3243061124558,0,0,0.0
17154.228809290984,17858.768,16589.155116509068,18430.18802281252,16390.337912430616,18672.51667695657,1841.0329063034515,2282.1787645259537,1,1,0.806932967275658
4359.008926201989,8916.453,4783.667927793299,14818.157067834205,4486.975539341037,14925.616241307738,10034.489140040907,10438.640701966702,0,0,0.4576800576831205
18398.05074107136,19530.602,18647.50304653381,21053.591170971118,18450.885473284194,21422.168943799752,2406.0881244373086,2971.2834705155583,0,0,0.39632453486517727
25084.364431454833,21978.29,21519.426591854175,22987.07472323887,21490.55334320295,23881.92385365568,1467.6481313846962,2391.370510452729,0,0,0.0
29732.618852891435,26276.186,22502.54388034734,30483.265003117896,21155.45573822285,31072.157502562117,7980.721122770556,9916.701764339268,1,1,0.5940574339941262
13095.186514175237,13165.178,13087.98316874139,13286.989732592327,13084.409030407433,13347.306731445944,199.0065638509368,262.8977010385115,1,1,0.5361965218588503
29732.618852891435,29985.059,29740.98624212571,30314.725587398287,29703.643014337464,30391.660754794833,573.7393452725773,688.0177404573697,0,1,0.4854160442401748
19341.338973747792,20283.586,18013.481651843726,23032.915810784732,17776.624089836332,23381.946271337056,5019.434158941007,5605.322181500724,1,1,0.7645432293481002
21162.795717500194,20603.852,19478.07864207086,21596.82042212479,19271.47903464956,22188.130553385367,2118.7417800539297,2916.6515187358054,1,1,0.7048502128543945
17326.631675024404,18550.479,18153.261668208634,18812.146828094104,18050.353937253494,18856.76407769905,658.8851598854708,806.4101404455541,0,0,0.0
22697.271545230622,22414.893,21939.764684004927,22930.580095704434,21910.248889102277,23018.584665600385,990.8154116995065,1108.3357764981083,1,1,0.7354712570288671
13359.726829661873,13247.028,13051.10756050047,13471.8316135731,12717.579441910102,13835.65327804803,420.72405307263034,1118.073836137928,1,1,0.7664567977391339
26108.07676402649,25715.422,25114.417962486707,26259.061186744228,24964.020267293636,26466.096710191134,1144.643224257521,1502.076442897498,1,1,0.6319052255949482
15994.496927035483,15409.908,13635.113556860326,16623.088684523962,13248.472411835559,17592.666653083565,2987.975127663636,4344.194241248006,1,1,0.7103738252944842
18214.987077506466,18206.867,17968.385782896017,18413.45103311262,17905.17282044851,18631.979410403314,445.06525021660127,726.8065899548019,1,1,0.9459210318264739
21162.795717500194,21850.512,21678.19343198671,22013.988045954615,21672.44125901845,22054.467451221193,335.7946139679043,382.0261922027421,0,0,0.0
14328.416324133817,14595.807,13639.517563762522,15872.144193709191,13368.363506176554,17760.457161831117,2232.6266299466697,4392.093655654562,1,1,0.8085597704214724
19535.72266206552,22706.77,21999.67624739859,23559.68597183882,21934.18721727198,23724.025671999887,1560.0097244402277,1789.8384547279056,0,0,0.0
18033.744927828524,19356.781,17312.87705457444,20315.101628808952,16776.143191840165,20524.55259907573,3002.2245742345112,3748.4094072355656,1,1,0.7401112426576164
14913.17008727256,14038.483,13326.280454783306,14693.974138720178,13223.64439572501,14848.663782790727,1367.6936839368718,1625.0193870657167,0,0,0.33973315727039877
18214.987077506466,17858.768,16589.155116509068,18430.18802281252,16390.337912430616,18672.51667695657,1841.0329063034515,2282.1787645259537,1,1,0.6168914170806314
22925.382916614915,23757.873,22999.32810367651,24746.915331697106,22991.971783532535,24871.964390878366,1747.587228020595,1879.99260734583,0,0,0.45768726969930607
13095.186514175237,13165.178,13087.98316874139,13286.989732592327,13084.409030407433,13347.306731445944,199.0065638509368,262.8977010385115,1,1,0.5361965218588503
22026.465794806718,21850.512,21678.19343198671,22013.988045954615,21672.44125901845,22054.467451221193,335.7946139679043,382.0261922027421,0,1,0.46284112869087246
16647.244729445592,19192.889,16783.260246042835,20990.514094037044,16647.136296379027,21283.043311884903,4207.253847994209,4635.907015505876,0,1,0.46767118849822564
14913.17008727256,14664.326,14172.211655648087,14927.4716392328,14038.13344777779,14942.75733537454,755.2599835847122,904.6238875967501,1,1,0.5189359323622195
24834.770835065363,24434.03,23557.205044044567,25280.402432744504,23495.027492714093,25644.247864528068,1723.1973886999367,2149.2203718139754,1,1,0.7586074007561949
18214.987077506466,18411.174,17192.677097232943,22307.865786032246,17180.723413451862,23746.461715827692,5115.188688799302,6565.73830237583,1,1,0.6998577261705068
18958.354802043836,21038.717,20644.03636483742,21210.864493633297,20335.734841098107,21231.700925204346,566.828128795878,895.9660841062396,0,0,0.0
33860.35026024549,33896.32,32937.06605754135,34632.201435166404,32109.762113528664,34772.748988052525,1695.1353776250544,2662.98687452386,1,1,0.9553330578250071
17854.306167671504,18410.576,18357.727140606672,18481.835114492114,18339.891939409077,18497.173589410253,124.10797388544233,157.28165000117588,0,0,0.0
