出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格剩餘天數_log,Region,經濟指標,機場指標,competing_flights,預測最低價格_rf,預測最低價格_svr,預測最低價格_xgb,效能_rf,效能_svr,效能_xgb
2025-01-20,星期一,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,240,No,1,Airbus A350,1,CI 831,經濟艙,2,12932,5630,14974.0,31838036.04,7309.5,88,91,9.47,8.64,17.28,9.61,4.49,泰國,-1.882734,0.4139873,3,,,,,,
2025-01-20,星期一,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時 10 分鐘,250,No,1,Airbus A330-900neo,1,JX 741,經濟艙,2,11414,7901,11121.0,11275813.34,10506.0,78,91,9.34,8.97,16.24,9.32,4.37,泰國,-1.882734,0.4139873,3,,,,,,
2025-01-20,星期一,上午9:40,上午班機,TPE,中午12:35,下午抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,1,Boeing 777,1,BR 201,經濟艙,2,11532,9022,11165.0,3199731.89,11269.5,75,91,9.35,9.11,14.98,9.32,4.33,泰國,-1.882734,0.4139873,3,,,,,,
2025-01-20,星期一,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,1,Boeing 777,1,TG 633,經濟艙,2,8625,6132,7243.0,4511285.89,12008.5,56,89,9.06,8.72,15.32,8.89,4.04,泰國,-1.882734,0.4139873,4,,,,,,
2025-01-20,星期一,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,235,No,1,Airbus A330,1,CI 835,經濟艙,2,14648,6493,14814.0,13900464.46,15449.5,90,91,9.59,8.78,16.45,9.6,4.51,泰國,-1.882734,0.4139873,4,11569.070457293903,11501.188205896482,11407.102,0.2511686166352372,0.2555624320595177,0.2616523795268455
2025-01-20,星期一,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,240,No,1,Airbus A321neo,0,JX 745,經濟艙,2,11027,6120,11121.0,6217061.8,9689.25,88,91,9.31,8.72,15.64,9.32,4.49,泰國,-1.882734,0.4139873,4,,,,,,
2025-01-20,星期一,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,3 小時 55 分鐘,235,No,1,Airbus A321,0,VZ 567,經濟艙,2,6403,5227,5861.0,1870280.24,6361.0,69,91,8.76,8.56,14.44,8.68,4.25,泰國,-1.882734,0.4139873,4,,,,,,
2025-01-20,星期一,清晨7:40,早晨班機,TPE,上午10:35,上午抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,1,Airbus A320,0,TG 637,經濟艙,2,8431,7195,8477.5,2365640.73,7843.0,75,88,9.04,8.88,14.68,9.05,4.33,泰國,-1.882734,0.4139873,4,,,,,,
2025-01-20,星期一,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,230,No,1,Airbus A330,1,CI 833,經濟艙,2,11497,6489,10825.0,18397889.71,16806.25,80,91,9.35,8.78,16.73,9.29,4.39,泰國,-1.882734,0.4139873,4,,,,,,
2025-01-20,星期一,上午8:25,早晨班機,TPE,上午11:35,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,250,No,1,Boeing 777,1,BR 211,經濟艙,2,10958,5390,11164.0,6887896.19,12841.5,75,76,9.3,8.59,15.75,9.32,4.33,泰國,-1.882734,0.4139873,4,11240.288179951818,10267.864848551118,11167.655,0.12469040377278214,0.20041546170220625,0.13034651143265974
2025-01-20,星期一,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,1,Boeing 777,1,BR 67,經濟艙,2,13089,6316,13981.0,14719482.13,11408.5,75,91,9.48,8.75,16.5,9.55,4.33,泰國,-1.882734,0.4139873,4,7957.73430422548,10629.768811109232,7995.051,0.30247321696756985,0.06825885864844353,0.29920228064600957
2025-01-20,星期一,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,1,Boeing 787,1,TG 635,經濟艙,2,10727,6125,11965.0,6154912.25,10575.0,54,87,9.28,8.72,15.63,9.39,4.01,泰國,-1.882734,0.4139873,6,7947.271715068726,8026.310317393921,7757.454,0.24848494420153894,0.2410108446908822,0.2664346003250591
2025-01-20,星期一,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期二, 1月 21)",凌晨抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,245,No,1,Airbus A321neo,0,CI 837,經濟艙,2,13563,6793,13312.0,1066490.25,13288.75,77,91,9.52,8.82,13.88,9.5,4.36,泰國,-1.882734,0.4139873,6,,,,,,
2025-01-20,星期一,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期二, 1月 21)",凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,240,No,1,Airbus A320,0,VZ 565,經濟艙,2,6326,4641,5861.0,1589540.87,5860.5,30,91,8.75,8.44,14.28,8.68,3.43,泰國,-1.882734,0.4139873,6,,,,,,
2025-01-20,星期一,晚上7:45,晚間班機,TPE,晚上10:45,晚間抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,240,No,1,Airbus A320,0,VZ 569,經濟艙,2,6476,5227,6487.0,1693209.7,5860.0,69,91,8.78,8.56,14.34,8.78,4.25,泰國,-1.882734,0.4139873,6,,,,,,
2025-01-20,星期一,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,1,Boeing 787-10,1,BR 205,經濟艙,2,13246,7117,13719.0,14637075.05,14487.25,88,91,9.49,8.87,16.5,9.53,4.49,泰國,-1.882734,0.4139873,6,7947.271715068726,8026.310317393921,7757.454,0.4514299321770021,0.44597419680105466,0.4645323231419006
2025-01-20,星期一,晚上10:30,晚間班機,TPE,"凌晨1:25 (星期二, 1月 21)",凌晨抵達,BKK,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,1,Boeing 787-10,1,BR 61,經濟艙,2,9960,5422,9084.0,5139215.15,11477.75,91,91,9.21,8.6,15.45,9.11,4.52,泰國,-1.882734,0.4139873,6,,,,,,
2025-01-20,星期一,上午9:20,上午班機,TSA,中午12:45,下午抵達,GMP,中華航空,2,直達航班。,Non-stop,2 小時 25 分鐘,145,No,1,Boeing 737,0,CI 260,經濟艙,2,10338,6851,9138.0,11012188.62,13181.25,75,87,9.24,8.83,16.21,9.12,4.33,韓國,-0.059982,-2.39234,2,,,,,,
2025-01-20,星期一,上午9:20,上午班機,TSA,中午12:45,下午抵達,GMP,中華航空,2,直達航班。,Non-stop,2 小時 25 分鐘,145,No,1,Boeing 737,0,CI 260,商務艙,2,20616,14877,20167.0,8637778.53,20306.75,19,87,9.93,9.61,15.97,9.91,3.0,韓國,-0.059982,-2.39234,2,,,,,,
2025-01-20,星期一,下午2:05,下午班機,TSA,下午5:30,下午抵達,GMP,德威航空,6,直達航班。,Non-stop,2 小時 25 分鐘,145,No,1,Boeing 737,0,TW 668,經濟艙,2,7633,5396,7800.0,2072033.41,7424.0,80,62,8.94,8.59,14.54,8.96,4.39,韓國,-0.059982,-2.39234,1,,,,,,
2025-01-20,星期一,上午10:50,上午班機,TPE,中午12:50,下午抵達,HKG,Greater Bay Airlines,6,直達航班。,Non-stop,2 小時,120,No,1,Boeing 737,0,HB 703,經濟艙,2,2477,2093,2291.0,158828.53,2316.25,44,91,7.82,7.65,11.98,7.74,3.81,香港,0.6313249,-0.229905,11,,,,,,
2025-01-20,星期一,上午10:50,上午班機,TPE,中午12:55,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CI 909,經濟艙,2,3821,3577,3843.0,36880.75,3796.5,75,91,8.25,8.18,10.52,8.25,4.33,香港,0.6313249,-0.229905,11,3689.902130101846,3891.012089820221,3551.1133,0.028077932279245075,-0.0248945317582565,0.0646349845252206
