出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,是否過夜,機型,機型分類,航班代碼,艙等,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數
2025-01-20,星期一,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,商務艙,20941,16786,22060.0,8992528.76,20749.75,80,90
2025-01-20,星期一,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,經濟艙,8233,5575,6879.0,7311847.04,7567.0,75,91
2025-01-20,星期一,上午8:45,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,4 小時 40 分鐘,No,Airbus A321neo,0,JX 771,商務艙,28636,25856,28622.0,1075494.31,29574.0,2,90
2025-01-20,星期一,上午8:45,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,4 小時 40 分鐘,No,Airbus A321neo,0,JX 771,經濟艙,10149,6229,10010.0,16957205.2,14861.0,75,91
2025-01-20,星期一,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,No,Boeing 777,1,BR 215,商務艙,26000,17272,29765.5,33316498.65,23522.25,75,70
2025-01-20,星期一,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,No,Boeing 777,1,BR 215,經濟艙,9212,6251,9297.0,7054017.76,8608.0,79,89
2025-01-20,星期一,下午2:10,下午班機,TPE,下午6:55,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 877,商務艙,32025,27941,32445.0,2092763.18,32526.5,89,37
2025-01-20,星期一,下午2:10,下午班機,TPE,下午6:55,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 877,經濟艙,12182,9109,10005.0,36015122.21,12465.5,75,72
2025-01-20,星期一,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 899,經濟艙,7360,4398,6438.0,5049459.5,8215.5,28,89
2025-01-20,星期一,下午5:35,下午班機,TPE,晚上10:20,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 879,商務艙,31490,27938,32445.0,3927148.17,32444.75,75,43
2025-01-20,星期一,下午5:35,下午班機,TPE,晚上10:20,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 879,經濟艙,11270,9109,10008.0,6579431.53,11238.0,75,77
2025-01-20,星期一,凌晨12:20,凌晨班機,TPE,清晨5:05,凌晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A321neo,0,TR 875,經濟艙,6543,4398,6438.0,563380.76,6253.0,28,91
2025-01-20,星期一,凌晨1:30,凌晨班機,TPE,清晨6:15,早晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 897,經濟艙,6433,4398,6438.0,1499856.39,6465.5,39,91
2025-01-20,星期一,晚上7:55,晚間班機,TPE,"凌晨12:40 (星期二, 1月 21)",凌晨抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A330,1,CI 755,商務艙,18426,16783,17980.5,2613686.59,17697.0,75,90
2025-01-20,星期一,晚上7:55,晚間班機,TPE,"凌晨12:40 (星期二, 1月 21)",凌晨抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A330,1,CI 755,經濟艙,8268,5173,6774.0,10903329.44,5710.25,75,91
2025-01-20,星期一,清晨7:25,早晨班機,TPE,中午12:05,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 40 分鐘,No,Boeing 777,1,BR 225,商務艙,25805,17272,28942.0,30693458.4,21651.0,75,88
2025-01-20,星期一,清晨7:25,早晨班機,TPE,中午12:05,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 40 分鐘,No,Boeing 777,1,BR 225,經濟艙,9096,5647,7623.0,8296299.15,9341.75,76,90
2025-01-21,星期二,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,商務艙,21548,16783,22058.0,18605437.12,27224.5,76,87
2025-01-21,星期二,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,經濟艙,16023,5581,15212.5,32220039.77,19460.5,90,88
2025-01-21,星期二,上午8:45,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,4 小時 40 分鐘,No,Airbus A321neo,0,JX 771,商務艙,27472,23884,28621.5,4181483.45,27437.5,81,70
2025-01-21,星期二,上午8:45,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,4 小時 40 分鐘,No,Airbus A321neo,0,JX 771,經濟艙,14408,5165,15199.0,4784411.27,15201.75,90,81
2025-01-21,星期二,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,No,Boeing 777,1,BR 215,商務艙,24118,19375,22263.5,25394220.33,27893.25,76,78
2025-01-21,星期二,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,No,Boeing 777,1,BR 215,經濟艙,15531,10280,13284.0,31495704.89,15148.75,80,78
2025-01-21,星期二,下午2:10,下午班機,TPE,下午6:55,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 877,經濟艙,13631,9998,15606.0,5419390.41,14481.75,91,39
2025-01-21,星期二,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 899,經濟艙,7855,4998,8288.0,658811.6,7363.0,90,91
2025-01-21,星期二,下午5:35,下午班機,TPE,晚上10:20,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,SQ 879,經濟艙,11939,9109,10992.0,7675911.63,11997.75,76,61
2025-01-21,星期二,凌晨12:20,凌晨班機,TPE,清晨5:05,凌晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A321neo,0,TR 875,經濟艙,7086,3798,7288.0,638342.71,6863.0,90,91
2025-01-21,星期二,凌晨1:30,凌晨班機,TPE,清晨6:15,早晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 897,經濟艙,8172,4398,8288.0,2167075.7,8615.5,90,91
2025-01-21,星期二,晚上10:20,晚間班機,TPE,"凌晨3:05 (星期三, 1月 22)",凌晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,No,Boeing 787,1,TR 893,經濟艙,6945,4998,6438.0,555531.75,7325.5,90,91
2025-01-21,星期二,晚上7:55,晚間班機,TPE,"凌晨12:40 (星期三, 1月 22)",凌晨抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A330,1,CI 755,商務艙,19568,16783,19218.0,11515944.14,18617.5,76,84
2025-01-21,星期二,晚上7:55,晚間班機,TPE,"凌晨12:40 (星期三, 1月 22)",凌晨抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A330,1,CI 755,經濟艙,9567,5174,9376.0,9806294.87,9368.0,75,91
2025-01-21,星期二,清晨7:25,早晨班機,TPE,中午12:05,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 40 分鐘,No,Boeing 777,1,BR 225,商務艙,22389,19375,19400.0,22860907.4,21985.5,76,81
2025-01-21,星期二,清晨7:25,早晨班機,TPE,中午12:05,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 40 分鐘,No,Boeing 777,1,BR 225,經濟艙,13155,5651,12656.5,19923639.67,10067.75,90,80
2025-01-22,星期三,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,商務艙,22741,16784,22057.0,16048451.14,20730.25,76,78
2025-01-22,星期三,上午8:20,早晨班機,TPE,下午1:05,下午抵達,SIN,中華航空,2,直達航班。,Non-stop,4 小時 45 分鐘,No,Airbus A350,1,CI 753,經濟艙,15884,5583,15183.0,34760429.92,12312.25,88,79
2025-01-22,星期三,上午8:45,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,4 小時 40 分鐘,No,Airbus A321neo,0,JX 771,商務艙,28619,28612,28621.0,17.1,28618.0,77,48
2025-01-22,星期三,上午8:45,早晨班機,TPE,下午1:25,下午抵達,SIN,星宇航空,5,直達航班。,Non-stop,4 小時 40 分鐘,No,Airbus A321neo,0,JX 771,經濟艙,14790,5166,15203.0,3795065.1,15213.0,88,68
2025-01-22,星期三,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,No,Boeing 777,1,BR 215,商務艙,24294,19375,19404.0,27355313.45,21985.75,77,55
