iter	RMSE
0	0.3212538036
1	0.3033366334
2	0.2849534213
3	0.276599885
4	0.2680927881
5	0.2636689467
6	0.2569130357
7	0.2490301877
8	0.2466135452
9	0.2416256935
10	0.2374537481
11	0.235000282
12	0.229650154
13	0.2273329221
14	0.2222847238
15	0.2189396213
16	0.2147952283
17	0.2112693297
18	0.2095472737
19	0.2075575223
20	0.2067359758
21	0.204989333
22	0.2038669336
23	0.2016248439
24	0.2008262265
25	0.2001154237
26	0.1986475655
27	0.1977621248
28	0.1967416278
29	0.1952850643
30	0.1944907723
31	0.1931233811
32	0.1913284092
33	0.1911680236
34	0.1897308865
35	0.189138888
36	0.1886065145
37	0.1883688923
38	0.1882887986
39	0.1872207338
40	0.1857685535
41	0.18576009
42	0.1847845464
43	0.1829432079
44	0.1809474638
45	0.1801413447
46	0.1790083544
47	0.1775254397
48	0.1770166452
49	0.1759062272
50	0.1754631341
51	0.1752177976
52	0.174767261
53	0.1741337276
54	0.1739896316
55	0.1733348888
56	0.1729325188
57	0.1721280521
58	0.1718920158
59	0.1706503684
60	0.1702635413
61	0.1696684442
62	0.1691623929
63	0.1686574562
64	0.1678165654
65	0.167206836
66	0.1670857551
67	0.1666472244
68	0.1663002657
69	0.1662938419
70	0.1657146197
71	0.1652586886
72	0.1652366908
73	0.1650365645
74	0.1646920617
75	0.1642120258
76	0.1637968646
77	0.1634376586
78	0.1629503036
79	0.1626736371
80	0.1624260258
81	0.1620456648
82	0.1619973901
83	0.1617804972
84	0.1613048953
85	0.1611508567
86	0.1606322157
87	0.1605820595
88	0.1600659327
89	0.1597152912
90	0.1589102869
91	0.1586837366
92	0.158301827
93	0.1580717445
94	0.1577415434
95	0.1573658824
96	0.1571688057
97	0.1568230919
98	0.1565778616
99	0.1560182549
