iter	Passed	Remaining
0	27	2740
1	34	1697
2	43	1401
3	49	1197
4	56	1071
5	63	1002
6	71	948
7	78	903
8	84	856
9	90	812
10	97	785
11	103	755
12	108	728
13	114	706
14	122	693
15	128	674
16	133	651
17	138	632
18	143	613
19	149	597
20	156	587
21	163	580
22	171	573
23	177	562
24	184	553
25	191	544
26	197	535
27	205	529
28	213	521
29	229	534
30	235	524
31	242	516
32	249	505
33	255	496
34	261	485
35	267	476
36	274	468
37	281	459
38	288	450
39	294	441
40	300	432
41	306	423
42	312	414
43	319	406
44	325	398
45	331	389
46	339	382
47	345	374
48	353	367
49	359	359
50	366	352
51	373	344
52	380	337
53	387	329
54	395	323
55	402	316
56	410	309
57	418	303
58	427	296
59	434	289
60	444	284
61	451	276
62	459	269
63	466	262
64	473	255
65	480	247
66	487	240
67	494	232
68	502	225
69	512	219
70	521	213
71	530	206
72	542	200
73	552	194
74	561	187
75	568	179
76	575	171
77	582	164
78	589	156
79	596	149
80	602	141
81	609	133
82	617	126
83	624	118
84	631	111
85	638	104
86	645	96
87	651	88
88	658	81
89	665	73
90	672	66
91	678	59
92	685	51
93	692	44
94	699	36
95	706	29
96	713	22
97	720	14
98	727	7
99	733	0
