出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測平均價格,平均價格,效能,最佳效能,標準化效能
晚上8:25,晚間班機,TSA,HKG,HX 285,4350.0,3586.4172727045843,5161,0.17553625914837143,0.22045977011494253,0.7962280785145106
凌晨2:20,凌晨班機,TSA,NRT,GK 12,10200.5,6653.151333197691,8608,0.3477622338907219,0.572766040880349,0.6071628013354401
上午9:50,凌晨班機,TSA,HKG,CX 499,4496.0,4522.827448895543,4508,-0.005966959273919719,0.03158362989323844,-0.1889256964474863
上午11:55,凌晨班機,TSA,HKG,HX 253,5363.5,5806.25850096302,5009,-0.08255029383108421,0.42071408595133775,-0.19621471347796152
凌晨12:20,凌晨班機,TSA,SIN,TR 875,7538.0,4943.318198826007,7086,0.3442135581286805,0.49615282568320507,0.6937651874796774
清晨6:40,早晨班機,TSA,NRT,TR 898,5674.0,8456.997164048875,5969,-0.49048240466141607,0.15421219598167077,-3.1805681874844285
下午6:35,晚間班機,TSA,HKG,CX 473,4514.5,4518.480837010322,4520,-0.0008817891262203833,0.02624875401484107,-0.033593561268539414
上午9:50,凌晨班機,TSA,HKG,BR 867,7530.75,7507.164387571691,7910,0.003131907503012197,0.5086810742621917,0.006156917686695583
下午1:50,下午班機,TSA,NRT,CI 835,9563.25,7680.215212034926,10333,0.19690322724649825,0.38389145949337306,0.5129137999223901
下午2:30,下午班機,TSA,HKG,CI 915,3974.5,3967.012422171184,3962,0.001883904347418802,0.04994338910554787,0.03772079510738554
下午1:20,下午班機,TSA,HKG,CX 495,4498.75,4497.140763802846,4489,0.00035770740698063514,0.032397888302306194,0.01104107167858753
下午3:15,下午班機,TSA,NRT,VZ 567,4514.25,4868.507570791182,4672,-0.07847539918949592,0.08467630281885141,-0.9267693153464538
晚上7:25,晚間班機,TSA,ICN,KE 188,18851.0,13536.935232803173,18265,0.2818982954324347,0.20004243806694605,1.4091924601423567
晚上8:45,晚間班機,TSA,NRT,BR 205,5922.75,6482.3357369970945,5823,-0.09448072888389591,0.07154615676839306,-1.3205563114975682
下午3:35,下午班機,TSA,NRT,IT 202,6949.0,6541.574045536088,6953,0.05863087558841728,0.3381781551302346,0.17337274658038793
下午3:50,下午班機,TSA,HKG,CX 443,4582.0,4517.495917291363,4496,0.014077713380322309,0.049978175469227414,0.281677217068283
下午4:10,下午班機,TSA,SIN,TR 899,6745.5,4119.379019536584,6777,0.3893145030707014,0.25906159661996886,1.5027873994068193
下午5:40,下午班機,TSA,HKG,UO 115,2295.5,2645.196086138448,2363,-0.1523398327764967,0.18057068176867785,-0.843657626389501
晚上8:25,晚間班機,TSA,HKG,HX 285,2504.25,2665.7702905841747,2615,-0.0644984688366476,0.21892782270140762,-0.2946106531403096
中午12:40,下午班機,TSA,ICN,LJ 732,5109.75,6951.247759186347,5468,-0.3603890130018782,0.2203141053867606,-1.6357963661437682
凌晨1:30,凌晨班機,TSA,SIN,TR 897,3423.0,3555.4576955035204,3223,-0.038696376133076374,0.29915278995033595,-0.12935321826515667
清晨7:55,早晨班機,TSA,ICN,CI 160,9957.25,8788.384959466388,8775,0.11738833920345598,0.34208742373647344,0.3431530394227118
下午2:05,下午班機,TSA,HKG,UO 111,1737.5,1891.567165156771,1734,-0.08867174973051563,0.13381294964028778,-0.6626544737925629
晚上8:00,晚間班機,TSA,ICN,IT 602,4599.0,4250.714565958538,4596,0.0757306879846624,0.2609262883235486,0.2902378617012187
上午10:45,凌晨班機,TSA,ICN,ZE 882,5700.0,6427.42145700884,5791,-0.12761779947523505,0.12280701754385964,-1.0391735100126283
下午4:10,下午班機,TSA,SIN,TR 899,4548.0,3808.855911446957,4836,0.1625206878964474,0.032981530343007916,4.927627257020285
下午4:35,下午班機,TSA,HKG,BR 871,4062.5,4066.914976563985,4073,-0.0010867634619039913,0.061415384615384615,-0.017695296849639136
上午10:45,凌晨班機,TSA,HKG,CX 489,4502.5,4509.538053099341,4485,-0.0015631433868607855,0.033203775680177676,-0.047077278256459444
晚上9:10,晚間班機,TSA,HKG,UO 117,1516.25,2071.6962877731357,1577,-0.3663289614332305,0.05688375927452597,-6.439956959688531
下午6:25,晚間班機,TSA,HND,CI 222,30077.0,16160.4421590673,26596,0.46269767067635403,0.39771253781959637,1.1633972446858971
晚上9:20,晚間班機,TSA,HKG,HB 705,2169.5,2097.519718471278,2206,0.033178281414483576,0.0684489513712837,0.48471570053011526
凌晨12:20,凌晨班機,TSA,SIN,TR 875,8938.0,4943.318198826007,8089,0.4469324011159089,0.5750727232042963,0.7771754476992205
上午9:20,凌晨班機,TSA,GMP,CI 260,7341.0,9643.604118806948,7181,-0.3136635497625594,0.12818417109385644,-2.446975684173165
上午10:50,凌晨班機,TSA,HKG,HB 703,2252.5,2267.9808843558503,2233,-0.006872756650765958,0.1027746947835738,-0.06687207065162126
中午12:10,下午班機,TSA,NRT,SL 394,5085.25,4929.34202011968,5418,0.030658862372611072,0.12000393294331646,0.2554821464650888
上午10:35,凌晨班機,TSA,NRT,JL 802,10636.0,13435.976640043342,11662,-0.2632546671721833,0.035445656261752535,-7.426993740168016
上午8:50,早晨班機,TSA,NRT,BR 198,13765.0,25608.830964281275,14574,-0.8604308728137504,0.19694878314565928,-4.368805224744107
下午3:35,下午班機,TSA,HND,JL 98,10754.5,12149.961837808838,10165,-0.12975608701555982,0.1646287600539309,-0.7881738705500357
上午8:25,早晨班機,TSA,SIN,JX 771,9074.75,6096.951472699849,9068,0.3281411088239512,0.1574423537838508,2.0841984443045676
上午10:35,凌晨班機,TSA,NRT,JL 802,15275.75,19887.901994553824,15834,-0.30192638623660534,0.001096509173035694,-275.3523578838104
下午1:30,下午班機,TSA,HND,NH 852,14603.0,15221.471391130784,14608,-0.04235235164902996,0.00883380127371088,-4.794351869230888
上午8:40,早晨班機,TSA,SIN,JX 771,5691.0,6642.418240718331,5691,-0.1671794483778476,0.06396063960639606,-2.6137863755998096
下午5:35,下午班機,TSA,SIN,SQ 879,10597.25,10386.630623852603,10654,0.019874908693047432,0.0011559602727122603,17.19341846101199
晚上8:25,晚間班機,TSA,HKG,HX 285,4053.0,2665.7702905841747,4653,0.34227231912554285,0.4655810510732791,0.735150879393654
中午12:25,下午班機,TSA,HKG,BR 869,4108.75,4157.305308356807,4063,-0.011817537780786508,0.0938850015211439,-0.12587247791783943
晚上9:10,晚間班機,TSA,HKG,CI 921,3858.0,3972.4302233422286,3998,-0.029660503717529447,0.06946604458268534,-0.4269784453068231
上午10:45,凌晨班機,TSA,HKG,CX 489,4495.5,4517.4615856154,4520,-0.004885237596574263,0.022133244355466576,-0.2207194534211015
中午12:25,下午班機,TSA,HKG,CX 461,4562.5,4517.495917291363,4502,0.009863908538879302,0.04591780821917808,0.21481662390757428
下午5:40,下午班機,TSA,ICN,CI 2160,11146.75,14744.264584851651,10755,-0.3227411204926684,0.13122659071029671,-2.459418618938063
