出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測平均價格,平均價格,效能,最佳效能,標準化效能
上午10:05,凌晨班機,TSA,HKG,CI 831,13324.75,16598.96,12932,-0.2457239347830165,0.5774780014634421,-0.4255121998765391
上午9:25,凌晨班機,TSA,HKG,JX 741,9836.5,15913.832,11414,-0.6178347989630458,0.196767142784527,-3.139928700594162
上午9:40,凌晨班機,TSA,HKG,BR 201,10092.25,16294.899,11532,-0.6145952587381406,0.10604671901706755,-5.795514132212099
下午1:55,下午班機,TSA,HKG,TG 633,9106.25,11026.532,8625,-0.21087516815374047,0.3266163349347975,-0.6456357064806251
下午1:50,下午班機,TSA,HKG,CI 835,13916.0,13327.227,14648,0.04230906869790164,0.5334147743604484,0.0793173918900713
下午1:30,下午班機,TSA,HKG,JX 745,11754.5,9462.639,11027,0.19497732783189423,0.47934833468033516,0.4067549915697934
下午3:15,下午班機,TSA,HKG,VZ 567,6274.25,8710.253,6403,-0.3882540542694347,0.16691237996573297,-2.326095010742421
清晨7:40,早晨班機,TSA,HKG,TG 637,8448.5,10286.526,8431,-0.21755648931763033,0.14836953305320472,-1.4663151176705225
清晨7:00,早晨班機,TSA,HKG,CI 833,11695.5,16311.256,11497,-0.39466085246462307,0.44517121969988455,-0.8865372130990107
上午8:25,早晨班機,TSA,HKG,BR 211,10755.0,14558.535,10958,-0.35365271966527195,0.498837749883775,-0.7089534016775396
上午8:05,早晨班機,TSA,HKG,BR 67,14503.5,15074.933,13089,-0.039399662150515456,0.5645189092288069,-0.06979334351145049
下午6:50,晚間班機,TSA,HKG,TG 635,11752.0,11650.616,10727,0.008626957113682778,0.4788121170864534,0.018017416029856053
晚上10:30,晚間班機,TSA,HKG,CI 837,13233.5,12107.897,13563,0.08505708996108355,0.48668152794045416,0.1747695054731774
晚上9:30,晚間班機,TSA,HKG,VZ 565,6362.5,6947.758,6326,-0.09198554027504909,0.27056974459724953,-0.33996979378449016
晚上7:45,晚間班機,TSA,HKG,VZ 569,6802.25,7394.8623,6476,-0.08712004116285049,0.23157778676173324,-0.37620206316457694
晚上8:45,晚間班機,TSA,HKG,BR 205,13277.0,11650.616,13246,0.12249634706635536,0.463960231980116,0.26402337662337666
晚上10:30,晚間班機,TSA,HKG,BR 61,10226.0,11484.592,9960,-0.12307764521807163,0.4697829063172306,-0.26198834304746055
上午10:05,凌晨班機,TSA,HKG,CI 831,24056.0,16053.948,22870,0.33264266711007645,0.35924509477884936,0.9259490858597546
上午9:25,凌晨班機,TSA,HKG,JX 741,16814.25,15723.211,17508,0.06488775889498495,0.33496885082593636,0.19371281459452272
下午1:55,下午班機,TSA,HKG,TG 633,13794.5,11026.532,13023,0.20065736344195156,0.1282757620790895,1.5642656117547333
下午1:50,下午班機,TSA,HKG,CI 835,17832.25,13327.227,18167,0.2526334590419044,0.17077205624640748,1.479360643625318
下午1:30,下午班機,TSA,HKG,JX 745,21416.5,12075.16,16243,0.4361749118670184,0.5694441201877057,0.7659661350498135
下午3:15,下午班機,TSA,HKG,VZ 567,7922.5,8710.253,8446,-0.09943237614389405,0.1811928053013569,-0.5487655869035184
清晨7:40,早晨班機,TSA,HKG,TG 637,12708.5,10443.974,12971,0.1781898729196994,0.0655073376086871,2.720151351351351
清晨7:00,早晨班機,TSA,HKG,CI 833,16582.75,15216.614,17428,0.08238295819450939,0.1778203253380772,0.46329325985587133
上午8:25,早晨班機,TSA,HKG,BR 211,17605.25,14773.844,17706,0.1608273668365971,0.22199343945698016,0.7244690078679719
上午8:05,早晨班機,TSA,HKG,BR 67,21498.0,14773.844,17821,0.31278053772443953,0.579030607498372,0.5401796272493574
清晨7:35,早晨班機,TSA,HKG,BR 75,17569.0,14712.766,17112,0.1625723717912232,0.4851158290170186,0.3351207321365717
下午6:50,晚間班機,TSA,HKG,TG 635,12383.5,11841.595,12168,0.04376024548794773,0.4153510719909557,0.10535724701079044
晚上10:30,晚間班機,TSA,HKG,CI 837,15032.25,12400.598,14873,0.1750670724608758,0.46361988391624676,0.3776090684076479
晚上9:30,晚間班機,TSA,HKG,VZ 565,7233.5,7131.557,6481,0.014093177576553565,0.27738992189120065,0.05080637926738112
