出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測中位數價格,中位數價格,效能,最佳效能,標準化效能
晚上8:25,晚間班機,TSA,HKG,HX 285,4350.0,3525.282389417766,5623.0,0.18959025530626072,0.22045977011494253,0.8599766533704214
凌晨2:20,凌晨班機,TSA,NRT,GK 12,10200.5,5976.055156358249,7248.0,0.41414095815320334,0.572766040880349,0.7230543164127943
上午9:50,早晨班機,TSA,HKG,CX 499,4496.0,4536.903455191763,4527.0,-0.009097743592473975,0.03158362989323844,-0.2880525013504436
上午11:55,早晨班機,TSA,HKG,HX 253,5363.5,6086.0020461728545,5621.0,-0.13470719607958506,0.42071408595133775,-0.3201870357513204
凌晨12:20,凌晨班機,TSA,SIN,TR 875,7538.0,4941.028181971764,7288.0,0.3445173544744277,0.49615282568320507,0.6943774914514
清晨6:40,早晨班機,TSA,NRT,TR 898,5674.0,8503.272336919323,6199.0,-0.49863805726459687,0.15421219598167077,-3.233454099336369
下午6:35,晚間班機,TSA,HKG,CX 473,4514.5,4536.903455191755,4528.0,-0.004962555142707897,0.02624875401484107,-0.18905869360130634
上午9:50,早晨班機,TSA,HKG,BR 867,7530.75,7706.410987018082,8729.0,-0.023325829036693804,0.5086810742621917,-0.045855507933976865
下午1:50,下午班機,TSA,ICN,CI 835,9563.25,7123.45779769482,10508.0,0.255121658673064,0.38389145949337306,0.6645671644004575
下午2:30,下午班機,TSA,HKG,CI 915,3974.5,3976.841403689497,3968.0,-0.0005891064761597506,0.04994338910554787,-0.011795484581848507
下午1:20,下午班機,TSA,HKG,CX 495,4498.75,4536.903455191763,4524.0,-0.00848090140411514,0.032397888302306194,-0.2617732774735025
下午3:15,下午班機,TSA,ICN,VZ 567,4514.25,4623.913916237221,4641.0,-0.024292831862927664,0.08467630281885141,-0.286890559155582
晚上7:25,晚間班機,TSA,ICN,KE 188,18851.0,11896.679288186067,16135.0,0.36890990991533246,0.20004243806694605,1.844158237023053
晚上8:45,晚間班機,TSA,ICN,BR 205,5922.75,6440.374121693585,5859.0,-0.08739590928092272,0.07154615676839306,-1.2215318506043307
下午3:35,下午班機,TSA,NRT,IT 202,6949.0,6098.534708129043,6099.0,0.12238671634349649,0.3381781551302346,0.36190012420040724
下午3:50,下午班機,TSA,HKG,CX 443,4582.0,4536.903455191763,4526.0,0.009842109299047799,0.049978175469227414,0.19692814326741054
下午4:10,下午班機,TSA,SIN,TR 899,6745.5,3954.3785566261417,6438.0,0.4137753233079621,0.25906159661996886,1.5972082651638675
下午5:40,下午班機,TSA,HKG,UO 115,2295.5,2456.593596330072,2200.0,-0.07017799883688615,0.18057068176867785,-0.38864558825107876
晚上8:25,晚間班機,TSA,HKG,HX 285,2504.25,2548.7045600578003,2772.0,-0.01775164622453842,0.21892782270140762,-0.08108446886967685
中午12:40,下午班機,TSA,ICN,LJ 732,5109.75,7032.798885575146,5388.0,-0.3763489183570911,0.2203141053867606,-1.7082379618699945
凌晨1:30,凌晨班機,TSA,SIN,TR 897,3423.0,3454.688056619918,3298.0,-0.009257393111281893,0.29915278995033595,-0.030945367792888593
清晨7:55,早晨班機,TSA,ICN,CI 160,9957.25,8164.4474246867585,8185.0,0.1800499711580247,0.34208742373647344,0.5263273615598507
下午2:05,下午班機,TSA,HKG,UO 111,1737.5,1750.2477337608118,1520.0,-0.007336825186078732,0.13381294964028778,-0.05482896241209375
晚上8:00,晚間班機,TSA,ICN,IT 602,4599.0,4225.709188419541,4499.0,0.08116782160914533,0.2609262883235486,0.3110756763170495
上午10:45,早晨班機,TSA,ICN,ZE 882,5700.0,6482.540140782179,5800.0,-0.13728774399687355,0.12280701754385964,-1.1179144868316846
下午4:10,下午班機,TSA,SIN,TR 899,4548.0,3776.032632909484,4998.0,0.16973776761005185,0.032981530343007916,5.1464491139367725
下午4:35,下午班機,TSA,HKG,BR 871,4062.5,4102.743236832992,4135.0,-0.009906027528121083,0.061415384615384615,-0.16129553840878516
上午10:45,早晨班機,TSA,HKG,CX 489,4502.5,4536.903455191763,4522.0,-0.007640967283012324,0.033203775680177676,-0.2301234460987491
晚上9:10,晚間班機,TSA,HKG,UO 117,1516.25,1993.326520961014,1520.0,-0.31464238810289463,0.05688375927452597,-5.531321982156684
下午6:25,晚間班機,TSA,HND,CI 222,30077.0,14726.381210190464,26723.0,0.5103773245273643,0.39771253781959637,1.2832819586866357
晚上9:20,晚間班機,TSA,HKG,HB 705,2169.5,2014.7425456131189,2202.0,0.0713332354860019,0.0684489513712837,1.0421377399789975
凌晨12:20,凌晨班機,TSA,SIN,TR 875,8938.0,4941.028181971764,8288.0,0.44718861244442115,0.5750727232042963,0.7776209762700849
上午9:20,早晨班機,TSA,GMP,CI 260,7341.0,8579.53458874672,7087.0,-0.1687146967370548,0.12818417109385644,-1.3161897861282883
上午10:50,早晨班機,TSA,HKG,HB 703,2252.5,2250.1563100639096,2293.0,0.00104048387839752,0.1027746947835738,0.01012393060946183
中午12:10,下午班機,TSA,NRT,SL 394,5085.25,4879.340553043259,5271.0,0.040491509160167305,0.12000393294331646,0.33741818427978826
上午10:35,早晨班機,TSA,NRT,JL 802,10636.0,12458.089509576708,11646.0,-0.17131341759841184,0.035445656261752535,-4.833128672617264
上午8:50,早晨班機,TSA,NRT,BR 198,13765.0,20055.532251845016,12874.0,-0.4569947149905569,0.19694878314565928,-2.3203733868849192
