出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
晚上8:25,晚間班機,TSA,HKG,HX 285,4350.0,2477.4198424370065,3391,0.43047819714091806,0.22045977011494253,1.9526383290542164
凌晨2:20,凌晨班機,TSA,NRT,GK 12,10200.5,4584.921944697566,4358,0.5505198818981848,0.572766040880349,0.9611601292772672
上午9:50,早晨班機,TSA,HKG,CX 499,4496.0,4389.157696791269,4354,0.023763857475251605,0.03158362989323844,0.7524105859769803
上午11:55,早晨班機,TSA,HKG,HX 253,5363.5,3929.863612253899,3107,0.26729493572221513,0.42071408595133775,0.6353363118750724
凌晨12:20,凌晨班機,TSA,SIN,TR 875,7538.0,3541.7170276783313,3798,0.5301516280607149,0.49615282568320507,1.0685248589095373
清晨6:40,早晨班機,TSA,NRT,TR 898,5674.0,5871.6429439924505,4799,-0.03483308847240932,0.15421219598167077,-0.22587765027708626
下午6:35,晚間班機,TSA,HKG,CX 473,4514.5,4378.370029531328,4396,0.030153941847086425,0.02624875401484107,1.1487761220984951
上午9:50,早晨班機,TSA,HKG,BR 867,7530.75,5362.47782790563,3700,0.28792247413529465,0.5086810742621917,0.5660176654948431
下午1:50,下午班機,TSA,ICN,CI 835,9563.25,5505.70651340576,5892,0.42428499585331764,0.38389145949337306,1.1052212425180088
下午2:30,下午班機,TSA,HKG,CI 915,3974.5,3798.385279800236,3776,0.04431116371864742,0.04994338910554787,0.8872278095706003
下午1:20,下午班機,TSA,HKG,CX 495,4498.75,4359.008926201974,4353,0.03106220034410142,0.032397888302306194,0.958772375972736
下午3:15,下午班機,TSA,ICN,VZ 567,4514.25,3733.039392441712,4132,0.1730543517878469,0.08467630281885141,2.043716435731296
晚上7:25,晚間班機,TSA,ICN,KE 188,18851.0,10097.87897409305,15080,0.4643319201054029,0.20004243806694605,2.3211670713091888
晚上8:45,晚間班機,TSA,ICN,BR 205,5922.75,5688.436538895728,5499,0.03956159910586677,0.07154615676839306,0.5529521206000529
下午3:35,下午班機,TSA,NRT,IT 202,6949.0,5084.8700973106515,4599,0.26825872826152664,0.3381781551302346,0.7932467671018504
下午3:50,下午班機,TSA,HKG,CX 443,4582.0,4378.0564454206215,4353,0.044509723827887065,0.049978175469227414,0.8905832077702119
下午4:10,下午班機,TSA,SIN,TR 899,6745.5,3153.16476234707,4998,0.5325528482177645,0.25906159661996886,2.055699706811405
下午5:40,下午班機,TSA,HKG,UO 115,2295.5,1901.0076538186472,1881,0.17185464873942619,0.18057068176867785,0.9517306301118282
晚上8:25,晚間班機,TSA,HKG,HX 285,2504.25,1857.775936198145,1956,0.2581507692130798,0.21892782270140762,1.1791592591005107
中午12:40,下午班機,TSA,ICN,LJ 732,5109.75,4052.755093791609,3984,0.2068584385162466,0.2203141053867606,0.9389250776889995
凌晨1:30,凌晨班機,TSA,SIN,TR 897,3423.0,2678.651302838922,2399,0.21745506782386145,0.29915278995033595,0.726903024571365
清晨7:55,早晨班機,TSA,ICN,CI 160,9957.25,6354.94836515221,6551,0.36177675913006,0.34208742373647344,1.0575564432580669
下午2:05,下午班機,TSA,HKG,UO 111,1737.5,1376.1568474919277,1505,0.20796728201903442,0.13381294964028778,1.554164096808913
晚上8:00,晚間班機,TSA,ICN,IT 602,4599.0,2850.1961493795266,3399,0.3802574147902747,0.2609262883235486,1.4573365421837279
上午10:45,早晨班機,TSA,ICN,ZE 882,5700.0,3497.680419875678,5000,0.38637185616216174,0.12280701754385964,3.1461708287490313
下午4:10,下午班機,TSA,SIN,TR 899,4548.0,2889.862154507192,4398,0.36458615776007214,0.032981530343007916,11.054252303285388
下午4:35,下午班機,TSA,HKG,BR 871,4062.5,3759.6770184024895,3813,0.07454104162400259,0.061415384615384615,1.2137193651202827
上午10:45,早晨班機,TSA,HKG,CX 489,4502.5,4359.008926201974,4353,0.0318692001772407,0.033203775680177676,0.9598065136991724
晚上9:10,晚間班機,TSA,HKG,UO 117,1516.25,1816.917619869881,1430,-0.19829686388780282,0.05688375927452597,-3.486001389795722
下午6:25,晚間班機,TSA,HND,CI 222,30077.0,10683.283252358744,18115,0.6448022325245623,0.39771253781959637,1.621277106473939
晚上9:20,晚間班機,TSA,HKG,HB 705,2169.5,1765.3509786545867,2021,0.1862867118439333,0.0684489513712837,2.7215422312822444
凌晨12:20,凌晨班機,TSA,SIN,TR 875,8938.0,3541.7170276783313,3798,0.6037461369793767,0.5750727232042963,1.0498605004516866
上午9:20,早晨班機,TSA,GMP,CI 260,7341.0,7622.065535067599,6400,-0.038287091004985535,0.12818417109385644,-0.2986881350346427
上午10:50,早晨班機,TSA,HKG,HB 703,2252.5,2018.2780977168352,2021,0.10398308647421302,0.1027746947835738,1.0117576772490922
中午12:10,下午班機,TSA,NRT,SL 394,5085.25,4351.500089070164,4475,0.1442898404070274,0.12000393294331646,1.202375929422099
