出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測平均價格,平均價格,效能,最佳效能,標準化效能
中午12:25,下午班機,TSA,ICN,KE 186,20309.25,20014.79588917956,20370,0.014498522142395184,0.21863190418159212,0.06631475948886649
清晨7:55,早晨班機,TSA,NRT,BR 184,25191.25,25581.795629465392,25418,-0.01550322550351381,0.011879124696075025,-1.305081468556031
下午2:25,下午班機,TSA,HKG,BR 855,15286.25,14967.49808782812,15947,0.02085219803234146,0.027230354076375828,0.7657703595720833
晚上7:55,晚間班機,TSA,SIN,CI 755,18136.75,18654.32361374869,18742,-0.028537285552741768,0.02832646422319324,-1.0074425571750643
下午4:50,下午班機,TSA,HND,NH 854,33742.25,30100.00685113579,33836,0.10794310245654071,0.000303773459090606,355.3407950111425
下午4:30,下午班機,TSA,HND,BR 190,29146.75,33348.52110876779,30199,-0.14415916384392047,0.06998207347302872,-2.0599441641219705
下午2:25,下午班機,TSA,HKG,BR 855,14946.0,14967.49808782812,15174,-0.0014383840377439003,0.00528569516927606,-0.2721276940268397
清晨7:05,早晨班機,TSA,ICN,BR 170,20180.75,20536.548729542566,20106,-0.01763059993025861,0.10969612130371766,-0.16072218161154891
上午8:50,早晨班機,TSA,NRT,BR 198,29602.5,32713.702078583923,29595,-0.10509930170032676,0.0011992230385947133,-87.63949517137812
清晨7:05,早晨班機,TSA,ICN,BR 170,24307.0,24268.938166482123,24347,0.0015658795210382584,0.3387090138643189,0.004623081928565158
清晨7:15,早晨班機,TSA,HKG,CI 601,14928.75,14532.736013682888,14544,0.026526935364120346,0.07493929498450976,0.3539789821828931
清晨7:05,早晨班機,TSA,ICN,BR 170,20242.75,20536.548729542566,20235,-0.014513775526673324,0.0037420804979560584,-3.878531083070184
上午9:50,凌晨班機,TSA,HKG,BR 867,14883.25,14913.170087272743,14905,-0.0020103194714019674,0.0010918314212285624,-1.8412361398611279
下午2:30,下午班機,TSA,HKG,CI 915,13316.5,14364.70969334221,13736,-0.07871510482050169,0.010851199639544926,-7.2540463207073405
上午10:45,凌晨班機,TSA,HKG,CX 489,14646.75,14600.128298672207,14339,0.0031830748341982237,0.025927253486268283,0.12276945708437877
下午4:50,下午班機,TSA,HND,NH 854,33841.25,30765.127919068254,33849,0.09089859508533951,0.0032283086469914674,28.15672385292216
晚上7:00,晚間班機,TSA,HKG,BR 809,14945.0,15001.793567793902,15912,-0.0038001718162530736,0.004416192706590833,-0.8605086029379119
下午5:00,下午班機,TSA,HKG,CX 421,15792.0,16676.325860208053,15754,-0.05599834474468422,0.09568135764944276,-0.5852586765109551
晚上8:15,晚間班機,TSA,HKG,CX 531,14312.5,14328.416324134098,14321,-0.0011120575814216609,0.0022707423580786024,-0.48973305027992375
下午3:00,下午班機,TSA,NRT,JX 804,24251.0,24537.83282649483,24496,-0.011827670054629855,0.09236732505876047,-0.12805036897090563
上午9:25,凌晨班機,TSA,NRT,JX 741,29490.0,25481.921624323,29722,0.13591313583170567,0.00033909799932180403,400.8078375677
清晨7:05,早晨班機,TSA,ICN,BR 170,28867.0,23329.82113884242,28537,0.19181691416349395,0.6139536494959642,0.31242898274319136
上午9:25,凌晨班機,TSA,NRT,JX 741,20309.25,24107.597085986068,21428,-0.18702547292421276,0.09061142090426776,-2.064038628439651
下午1:55,下午班機,TSA,NRT,TG 633,16679.5,16865.350579034326,16691,-0.011142455051669779,0.07916903983932372,-0.14074258162387435
上午8:05,早晨班機,TSA,HKG,CI 903,13701.5,14380.424614231251,13774,-0.04955111588010447,0.038645403787906436,-1.282199460304535
中午12:50,下午班機,TSA,NRT,CX 450,19695.75,19847.73230568771,19693,-0.007716502579881971,0.0004442582790703578,-17.36940636430975
清晨7:15,早晨班機,TSA,HKG,CI 601,14927.75,14532.736013682888,14480,0.026461723053850153,0.10542446115456114,0.2510017387241376
下午1:40,下午班機,TSA,ICN,OZ 712,15065.0,15136.685194256088,14822,-0.0047583932463383955,0.1302356455360106,-0.036536796256925554
下午6:50,晚間班機,TSA,NRT,TG 635,21376.25,20593.28150551777,21371,0.03662796301887512,0.001742588152739606,21.019288442475954
下午6:25,晚間班機,TSA,HND,CI 222,24257.0,24388.03834461567,24452,-0.005402083712564217,0.08467658820134394,-0.06379666242242951
下午2:25,下午班機,TSA,HKG,BR 855,14876.5,14758.876833976336,14437,0.007906642424203573,0.10684636843343528,0.07400010445024502
上午9:50,凌晨班機,TSA,HKG,BR 867,14883.25,14976.220710886377,14909,-0.006246667286135539,0.0008902625434632893,-7.016657425386925
上午8:50,早晨班機,TSA,NRT,BR 198,25094.5,25631.811542041927,26334,-0.02141152611297006,0.11805375679929865,-0.18137098465550286
上午8:20,早晨班機,TSA,HKG,CX 407,15836.75,14651.132250948369,14550,0.07486496592114109,0.09912071605600897,0.7552908100344838
上午10:50,凌晨班機,TSA,HKG,CI 909,14640.5,14217.553784921542,14549,0.028888782150777528,0.08780437826576962,0.3290130027837094
下午1:55,下午班機,TSA,NRT,TG 633,16678.25,17010.728317132547,16595,-0.019934844311156573,0.07915998381125118,-0.25182981793792625
下午2:35,下午班機,TSA,NRT,CI 108,29857.5,31734.192299291502,28546,-0.06285497108905644,0.2939462446621452,-0.21383151589944768
上午8:05,早晨班機,TSA,HKG,CI 903,13460.75,14047.872921894215,14387,-0.04361740035987707,0.020485485578441022,-2.1291855735057674
下午2:25,下午班機,TSA,HKG,BR 855,14900.75,15653.242035524618,14971,-0.05050027921578563,0.0022649866617452143,-22.296060311840524
下午1:30,下午班機,TSA,NRT,JX 745,20154.5,20933.82078042881,20213,-0.03866733386731551,0.11444094370984148,-0.33788024297802316
下午1:50,下午班機,TSA,NRT,CI 835,21481.0,19787.63916007959,20359,0.07883063357946136,0.19016805549089894,0.4145314173611774
下午4:30,下午班機,TSA,HND,BR 190,26173.25,31034.394420220524,26456,-0.18572949176050066,0.0007736906956530045,-240.05651457879128
下午1:20,下午班機,TSA,HKG,CX 495,14284.25,14438.78594864047,14301,-0.01081862531392761,0.00043754484834695556,-24.725751782475275
下午3:15,下午班機,TSA,ICN,BR 160,20177.5,20344.467641279916,20207,-0.00827494195415271,0.0005203816131830009,-15.901680121896788
晚上10:30,晚間班機,TSA,NRT,CI 837,18937.0,19099.603876089037,19215,-0.008586569999949143,0.042086919786661035,-0.20401991981058584
上午9:30,凌晨班機,TSA,HND,JL 96,29637.75,31501.72756049378,30721,-0.06289200632618126,0.0005651576114921005,-111.28224241753902
中午12:35,下午班機,TSA,NRT,CI 104,23656.0,24150.511363614743,23979,-0.02090426799183055,0.07346973283733514,-0.28452897791412163
晚上7:30,晚間班機,TSA,HKG,CX 565,14277.5,14355.646825586007,14280,-0.005473425010401488,0.0007354228681491858,-7.442554817714976
晚上7:30,晚間班機,TSA,HKG,CX 565,14284.5,14328.416324134098,14322,-0.0030744040137279933,0.0003150267772760685,-9.75918314091056
下午5:00,下午班機,TSA,HKG,CX 421,16243.0,16676.325860208053,15541,-0.026677698713787674,0.12085205934864249,-0.22074674488438778
上午9:00,凌晨班機,TSA,HND,CI 220,25012.0,30034.254440523935,27027,-0.2007937965985901,0.055293459139612984,-3.6314204197570032
上午8:05,早晨班機,TSA,HKG,JX 233,14757.25,14371.514486897153,16332,0.02613871236868977,0.20242592623964492,0.12912729537295076
下午3:15,下午班機,TSA,ICN,BR 160,21305.25,23664.406929685385,21535,-0.11073124838644864,0.3826404290022412,-0.2893872157607268
中午12:25,下午班機,TSA,HKG,BR 869,14885.0,14913.17008727272,14911,-0.0018925151006193943,0.001007725898555593,-1.8780058181813122
下午1:30,下午班機,TSA,HND,NH 852,33744.0,33999.14350698663,33854,-0.007561151819186447,0.00035561877667140827,-21.261958915552288
清晨7:05,早晨班機,TSA,ICN,BR 170,21069.75,24268.938166482123,22446,-0.1518379746547597,0.042750863204356955,-3.5516937735022185
上午9:00,凌晨班機,TSA,HND,CI 220,26304.5,26876.994616478092,27170,-0.02176413223889799,0.101712634720295,-0.21397668341547083
下午6:35,晚間班機,TSA,HKG,CX 473,14278.0,14786.336460171631,14345,-0.03560277771197865,0.0007704160246533128,-46.21240547014829
晚上10:30,晚間班機,TSA,HKG,CI 607,13842.0,13767.738347730938,13774,0.005364951038077035,0.04840340991186245,0.11083828696874973
上午8:45,早晨班機,TSA,SIN,JX 771,27677.25,25688.823923817537,29953,0.071843339789266,0.06833229457406353,1.0513819305657437
晚上7:55,晚間班機,TSA,SIN,CI 755,18609.75,18654.32361374869,18816,-0.002395175311258305,0.053023280807103806,-0.04517214466550721
清晨7:15,早晨班機,TSA,HKG,CI 601,14257.5,14532.736013682888,14315,-0.019304647636885035,0.06337015605821497,-0.3046331086694946
下午1:30,下午班機,TSA,NRT,JX 745,20916.0,20560.195429413332,20077,0.01701111926690897,0.1469210174029451,0.11578411018114806
上午9:50,凌晨班機,TSA,HKG,BR 867,14900.25,14976.220710886377,14906,-0.0050986198813024455,0.002231506182782168,-2.2848334101165944
上午10:05,凌晨班機,TSA,NRT,CI 831,22938.0,21074.04636934331,21824,0.08126051227904314,0.19469875316069404,0.4173653449746287
上午9:50,凌晨班機,TSA,HKG,BR 867,14925.5,14913.170087272743,14912,0.0008260971309005842,0.003584469532008978,0.2304656584533957
上午8:20,早晨班機,TSA,SIN,CI 753,17983.25,19366.541333128454,18963,-0.07692109786209136,0.020032530271224612,-3.8398093910574724
晚上10:30,晚間班機,TSA,HKG,CI 607,14419.75,14481.443255781487,14560,-0.004278385948541902,0.04228575391390281,-0.10117795126115144
上午8:20,早晨班機,TSA,HKG,CX 407,15844.5,14651.132250948369,15524,0.07531747603595135,0.0995613619868093,0.7564930263401782
中午12:25,下午班機,TSA,HKG,CX 461,14283.75,14367.837659372257,14283,-0.005886945611079506,0.0006125842303316706,-9.610018213972216
下午2:30,下午班機,TSA,HKG,CI 915,15019.0,14185.89260744668,14374,0.05547023054486451,0.11085957786803383,0.5003648003323243
下午6:10,晚間班機,TSA,HKG,BR 857,14905.0,14888.443230597875,14901,0.0011108198189952836,0.002549480040254948,0.43570445795065005
晚上9:15,晚間班機,TSA,HKG,CX 479,14340.75,14328.416324134098,14317,0.000860043991137317,0.0043756428359744085,0.19655260344067696
中午12:25,下午班機,TSA,ICN,KE 186,16685.75,17714.6637284585,16870,-0.061664218177696614,0.009394243591088204,-6.564042924775127
下午1:50,下午班機,TSA,NRT,CI 835,19303.5,19585.813508219384,19471,-0.014624990712533165,0.04530266531976067,-0.32282848281233156
下午1:55,下午班機,TSA,NRT,TG 633,16671.5,16648.14400602316,16675,0.0014009533621352826,0.0021893650841256036,0.6398902459407771
下午3:45,下午班機,TSA,ICN,CI 162,18734.75,18081.78454723927,18327,0.034853171393305536,0.07460734730914477,0.46715467913484593
上午9:30,凌晨班機,TSA,NRT,CI 100,22913.75,24685.644093475817,23946,-0.07732885684254291,0.04345643991053407,-1.7794567848112655
下午4:25,下午班機,TSA,NRT,CI 106,22677.75,22708.52839956917,22560,-0.0013572069349548168,0.09373725347532273,-0.01447884255870709
上午10:15,凌晨班機,TSA,NRT,JX 802,24992.25,25078.53932235846,24490,-0.003452643213734718,0.11928697896347867,-0.028944007499693586
下午6:35,晚間班機,TSA,HKG,CX 473,16913.75,15686.85614341379,14665,0.07253825181205882,0.15589387332791368,0.46530534050866024
清晨7:00,早晨班機,TSA,NRT,CI 833,20374.75,20713.63353906524,20677,-0.016632525015778766,0.03871213143719555,-0.4296463252808094
中午12:25,下午班機,TSA,ICN,KE 186,17405.5,19425.325520362105,17689,-0.11604524548919047,0.0422567579213467,-2.7461937734359005
下午4:30,下午班機,TSA,HND,BR 190,29650.5,34637.595139859644,32776,-0.16819598792127094,0.11795753865870727,-1.4259028276939654
清晨7:55,早晨班機,TSA,NRT,BR 184,42669.25,31828.5911245127,41188,0.25406255970018926,0.3958412674232615,0.6418293912456773
上午9:35,凌晨班機,TSA,SIN,BR 215,18831.75,20467.18493950011,19311,-0.08684455451565105,0.08213522375774955,-1.0573363112979548
上午8:20,早晨班機,TSA,HKG,CX 407,14340.5,14328.416324134098,14322,0.0008426258405147992,0.004218820822147066,0.19973017960169384
下午3:00,下午班機,TSA,NRT,JX 804,23513.75,24847.318519628105,24485,-0.05671441261509137,0.06390941470416246,-0.8874187453855297
下午4:50,下午班機,TSA,HND,NH 854,34628.0,33348.52110876779,34695,0.03694925757283733,0.0027723229756266604,13.3279051170022
下午1:20,下午班機,TSA,HKG,CX 495,14342.75,14367.837659372257,14881,-0.0017491526640467758,0.004375032682017047,-0.3998033366096716
下午3:15,下午班機,TSA,ICN,BR 160,20199.5,20344.467641279916,20213,-0.007176793548351013,0.0016089507166018961,-4.460542808612809
下午1:50,下午班機,TSA,NRT,CI 835,27783.5,23670.064512871773,26936,0.14805317858182832,0.17119873306098943,0.8648030037061342
上午8:20,早晨班機,TSA,HKG,CX 407,14286.25,14328.416324134098,14322,-0.0029515320069365665,0.0004374835943652113,-6.746611861455603
上午10:05,凌晨班機,TSA,NRT,CI 831,23667.75,22024.204830207047,23286,0.06944239185359627,0.22007795417815382,0.31553542976586574
晚上10:30,晚間班機,TSA,HKG,CI 607,14266.25,14471.158502453089,14445,-0.014363164984006915,0.06394462455095067,-0.22461880236019585
下午5:00,下午班機,TSA,HKG,CX 421,11558.75,13710.351748478795,11683,-0.18614484684579174,0.6100789445225479,-0.30511599935885353
上午9:50,凌晨班機,TSA,HKG,CX 469,14282.75,15077.136208808428,14312,-0.05561857547100019,0.00033256900806917435,-167.23920185440588
上午9:35,凌晨班機,TSA,SIN,BR 215,20632.5,20467.18493950011,19826,0.00801236207439177,0.06816915061189871,0.11753648098107941
上午9:35,凌晨班機,TSA,SIN,BR 215,21848.0,28530.50922857585,22129,-0.3058636593086713,0.12001098498718418,-2.5486305219587533
上午9:50,凌晨班機,TSA,HKG,CX 499,14313.75,14624.592399431134,14308,-0.021716349624042217,0.0024975984630163303,-8.694892291779981
清晨7:15,早晨班機,TSA,HKG,CI 601,14450.25,14532.736013682888,14545,-0.005708275890236389,0.04430719191709486,-0.1288340705706964
上午9:30,凌晨班機,TSA,NRT,CI 100,31377.0,26876.866929427793,29745,0.14342139371425588,0.2836153870669599,0.5056897483506244
