出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測中位數價格,中位數價格,效能,最佳效能,標準化效能
中午12:25,下午班機,TSA,ICN,KE 186,20309.25,20294.79265387577,21866.0,0.0007118601683582079,0.21863190418159212,0.003255975705023126
清晨7:55,早晨班機,TSA,NRT,BR 184,25191.25,25261.12475337727,24907.0,-0.0027737707885583038,0.011879124696075025,-0.233499593574835
下午2:25,下午班機,TSA,HKG,BR 855,15286.25,14913.170087272743,14889.0,0.024406241735367186,0.027230354076375828,0.89628807862404
晚上7:55,晚間班機,TSA,SIN,CI 755,18136.75,18962.11956114942,19238.0,-0.045508129138319635,0.02832646422319324,-1.6065587564952186
下午4:50,下午班機,TSA,HND,NH 854,33742.25,29776.00672844393,33749.0,0.11754531104345654,0.000303773459090606,386.95056307864115
下午4:30,下午班機,TSA,HND,BR 190,29146.75,33201.87267516991,27372.0,-0.13912778183399202,0.06998207347302872,-1.9880488663659308
下午2:25,下午班機,TSA,HKG,BR 855,14946.0,14913.170087272743,14887.0,0.0021965684950660154,0.00528569516927606,0.41556851553489454
清晨7:05,早晨班機,TSA,ICN,BR 170,20180.75,20385.89990671976,20176.0,-0.010165623513484795,0.10969612130371766,-0.09267076531666099
上午8:50,早晨班機,TSA,NRT,BR 198,29602.5,32777.70407827506,29595.0,-0.10726134881429146,0.0011992230385947133,-89.44236840211445
清晨7:05,早晨班機,TSA,ICN,BR 170,24307.0,23600.43906377986,24307.0,0.029068208179542494,0.3387090138643189,0.08582059227743707
清晨7:15,早晨班機,TSA,HKG,CI 601,14928.75,14864.929903819828,14886.0,0.004274979230020745,0.07493929498450976,0.05704589602696956
清晨7:05,早晨班機,TSA,ICN,BR 170,20242.75,20385.89990671976,20185.0,-0.007071663026009722,0.0037420804979560584,-1.889767745475357
上午9:50,早晨班機,TSA,HKG,BR 867,14883.25,14913.170087272743,14886.0,-0.0020103194714019674,0.0010918314212285624,-1.8412361398611279
下午2:30,下午班機,TSA,HKG,CI 915,13316.5,14669.12171671212,13360.0,-0.10157486702302553,0.010851199639544926,-9.360703921883179
上午10:45,早晨班機,TSA,HKG,CX 489,14646.75,14328.416324134098,14280.0,0.02173408270543994,0.025927253486268283,0.8382716941827583
下午4:50,下午班機,TSA,HND,NH 854,33841.25,30672.40597988915,33749.0,0.093638503900147,0.0032283086469914674,29.00543725501922
晚上7:00,晚間班機,TSA,HKG,BR 809,14945.0,14913.170087272743,14894.0,0.002129803461174752,0.004416192706590833,0.4822714049584344
下午5:00,下午班機,TSA,HKG,CX 421,15792.0,15670.64176984833,15768.0,0.007684791676270947,0.09568135764944276,0.0803164991076577
晚上8:15,晚間班機,TSA,HKG,CX 531,14312.5,14328.416324134098,14289.0,-0.0011120575814216609,0.0022707423580786024,-0.48973305027992375
下午3:00,下午班機,TSA,NRT,JX 804,24251.0,25084.364431454745,24972.0,-0.03436412648776321,0.09236732505876047,-0.37203769261372566
上午9:25,早晨班機,TSA,ICN,JX 741,29490.0,25262.12876914769,29491.0,0.14336626757722312,0.00033909799932180403,422.787123085231
清晨7:05,早晨班機,TSA,ICN,BR 170,28867.0,22539.993696526013,28860.0,0.21917782601150057,0.6139536494959642,0.3569940926182919
上午9:25,早晨班機,TSA,ICN,JX 741,20309.25,24821.62371376829,20924.0,-0.2221831782940429,0.09061142090426776,-2.4520438602191503
下午1:55,下午班機,TSA,ICN,TG 633,16679.5,16849.18325652856,16683.0,-0.010173162056929677,0.07916903983932372,-0.12849924765509926
上午8:05,早晨班機,TSA,HKG,CI 903,13701.5,14148.707046523265,13360.0,-0.03263927646777832,0.038645403787906436,-0.844583657267733
中午12:50,下午班機,TSA,NRT,CX 450,19695.75,19732.059938928996,19695.0,-0.0018435418264852275,0.0004442582790703578,-4.1497073061710195
清晨7:15,早晨班機,TSA,HKG,CI 601,14927.75,14864.929903819828,14886.0,0.004208276276074572,0.10542446115456114,0.03991745587302442
下午1:40,下午班機,TSA,ICN,OZ 712,15065.0,15299.717455879749,15147.5,-0.015580315690657069,0.1302356455360106,-0.11963173082556003
下午6:50,晚間班機,TSA,ICN,TG 635,21376.25,20301.528615498763,21373.0,0.0502764228759131,0.001742588152739606,28.851580791979526
下午6:25,晚間班機,TSA,HND,CI 222,24257.0,24805.62288183376,25211.0,-0.02261709534706512,0.08467658820134394,-0.26709974772821743
下午2:25,下午班機,TSA,HKG,BR 855,14876.5,14913.170087272743,14872.0,-0.002464967382969336,0.10684636843343528,-0.023070202751018138
上午9:50,早晨班機,TSA,HKG,BR 867,14883.25,14972.483357334631,14888.0,-0.005995555899056413,0.0008902625434632893,-6.734593006387272
上午8:50,早晨班機,TSA,NRT,BR 198,25094.5,25291.199969611433,24907.0,-0.007838369746814346,0.11805375679929865,-0.06639661421482958
上午8:20,早晨班機,TSA,HKG,CX 407,15836.75,14328.416324134098,14279.0,0.09524262717198305,0.09912071605600897,0.9608750921267096
上午10:50,早晨班機,TSA,HKG,CI 909,14640.5,14624.803689485014,14887.0,0.0010721157416062417,0.08780437826576962,0.012210276557748876
下午1:55,下午班機,TSA,ICN,TG 633,16678.25,17007.394110110494,16683.5,-0.019734930829702985,0.07915998381125118,-0.24930438182957304
