出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
中午12:25,下午班機,TSA,ICN,KE 186,20309.25,14182.934298115226,15869,0.3016514987941344,0.21863190418159212,1.3797231466437192
清晨7:55,早晨班機,TSA,NRT,BR 184,25191.25,24394.952662807133,24892,0.031610076403229985,0.011879124696075025,2.660976899558454
下午2:25,下午班機,TSA,HKG,BR 855,15286.25,14814.967189915917,14870,0.030830505198075616,0.027230354076375828,1.132210955156957
晚上7:55,晚間班機,TSA,SIN,CI 755,18136.75,17298.452437489166,17623,0.04622093608341262,0.02832646422319324,1.6317227494128153
下午4:50,下午班機,TSA,HND,NH 854,33742.25,29750.065711734023,33732,0.11831411029987557,0.000303773459090606,389.4813939771684
下午4:30,下午班機,TSA,HND,BR 190,29146.75,30337.956963877292,27107,-0.040869289504911935,0.06998207347302872,-0.5839965504975081
下午2:25,下午班機,TSA,HKG,BR 855,14946.0,14814.967189915917,14867,0.008767082168077305,0.00528569516927606,1.658643165621309
清晨7:05,早晨班機,TSA,ICN,BR 170,20180.75,19604.30346193533,17967,0.0285641781432637,0.10969612130371766,0.2603936930839837
上午8:50,早晨班機,TSA,NRT,BR 198,29602.5,27309.436362641467,29567,0.07746182374321538,0.0011992230385947133,64.59334189742347
清晨7:05,早晨班機,TSA,ICN,BR 170,24307.0,16518.504778274495,16074,0.32042190404926585,0.3387090138643189,0.9460093795366823
清晨7:15,早晨班機,TSA,HKG,CI 601,14928.75,13579.992303367955,13810,0.09034632481835685,0.07493929498450976,1.2055934718498724
清晨7:05,早晨班機,TSA,ICN,BR 170,20242.75,19604.30346193533,20167,0.03153951602745027,0.0037420804979560584,8.428337136167245
上午9:50,早晨班機,TSA,HKG,BR 867,14883.25,14913.17008727272,14867,-0.0020103194714003784,0.0010918314212285624,-1.8412361398596726
下午2:30,下午班機,TSA,HKG,CI 915,13316.5,13342.370468862202,13172,-0.0019427378712275718,0.010851199639544926,-0.17903438658963292
上午10:45,早晨班機,TSA,HKG,CX 489,14646.75,14328.416324134098,14267,0.02173408270543994,0.025927253486268283,0.8382716941827583
下午4:50,下午班機,TSA,HND,NH 854,33841.25,30124.031646115727,33732,0.10984282063707082,0.0032283086469914674,34.024881957750786
晚上7:00,晚間班機,TSA,HKG,BR 809,14945.0,14719.619616396409,14879,0.015080654640588245,0.004416192706590833,3.414854297024111
下午5:00,下午班機,TSA,HKG,CX 421,15792.0,15041.46347788848,14281,0.04752637551364747,0.09568135764944276,0.4967151039785048
晚上8:15,晚間班機,TSA,HKG,CX 531,14312.5,14328.416324134125,14280,-0.0011120575814235673,0.0022707423580786024,-0.48973305028076336
下午3:00,下午班機,TSA,NRT,JX 804,24251.0,21790.25105132028,22011,0.10146999912084946,0.09236732505876047,1.0985486378034466
上午9:25,早晨班機,TSA,ICN,JX 741,29490.0,24035.14994809193,29480,0.18497287392024653,0.00033909799932180403,545.485005190807
清晨7:05,早晨班機,TSA,ICN,BR 170,28867.0,18814.85327620429,11144,0.3482227707692421,0.6139536494959642,0.5671808792978452
上午9:25,早晨班機,TSA,ICN,JX 741,20309.25,19123.747961305184,18469,0.058372516892293724,0.09061142090426776,0.6442070581142868
下午1:55,下午班機,TSA,ICN,TG 633,16679.5,15813.213318554494,15359,0.05193720923561896,0.07916903983932372,0.6560292930295392
上午8:05,早晨班機,TSA,HKG,CI 903,13701.5,13252.36708249894,13172,0.032779835602018734,0.038645403787906436,0.8482208073674403
中午12:50,下午班機,TSA,NRT,CX 450,19695.75,19732.059938928996,19687,-0.0018435418264852275,0.0004442582790703578,-4.1497073061710195
清晨7:15,早晨班機,TSA,HKG,CI 601,14927.75,13579.992303367955,13354,0.09028538772635158,0.10542446115456114,0.8563988540950245
下午1:40,下午班機,TSA,ICN,OZ 712,15065.0,13149.701880768243,13103,0.12713562026098615,0.1302356455360106,0.9761967987929442
下午6:50,晚間班機,TSA,ICN,TG 635,21376.25,19085.24596973732,21339,0.1071752075440117,0.001742588152739606,61.50346389966926
下午6:25,晚間班機,TSA,HND,CI 222,24257.0,22096.60579588047,22203,0.08906271196436202,0.08467658820134394,1.0517985414408615
下午2:25,下午班機,TSA,HKG,BR 855,14876.5,13263.882251019746,13287,0.10840034611503069,0.10684636843343528,1.0145440383644253
上午9:50,早晨班機,TSA,HKG,BR 867,14883.25,14850.418614072249,14870,0.002205928538978476,0.0008902625434632893,2.477840447377464
上午8:50,早晨班機,TSA,NRT,BR 198,25094.5,24853.266046515644,22132,0.009613020920295519,0.11805375679929865,0.08142918261075305
上午8:20,早晨班機,TSA,HKG,CX 407,15836.75,14328.416324134098,14267,0.09524262717198305,0.09912071605600897,0.9608750921267096
上午10:50,早晨班機,TSA,HKG,CI 909,14640.5,12249.388602374034,13355,0.16332170333157786,0.08780437826576962,1.8600633198179428
下午1:55,下午班機,TSA,ICN,TG 633,16678.25,15874.869465285245,15358,0.04816935438159012,0.07915998381125118,0.6085063697896272
下午2:35,下午班機,TSA,NRT,CI 108,29857.5,21225.31814009827,21081,0.2891126805627307,0.2939462446621452,0.9835562991969159
