出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
上午10:05,晚間班機,TSA,GMP,CI 831,21548.5,25598.39,18459,-0.18794301227463625,0.14337424878761862,-1.3108561255866644
上午9:25,晚間班機,TSA,GMP,JX 741,23746.25,25896.357,17843,-0.09054511765015529,0.24859714691793441,-0.36422428323381184
上午9:40,晚間班機,TSA,GMP,BR 201,22530.75,24518.482,19002,-0.08822307291146544,0.15661928697446822,-0.5632963513992207
下午1:55,下午班機,TSA,GMP,TG 633,16648.75,17039.914,16605,-0.023495097229521776,0.0026278249117801635,-8.940891428571444
下午1:50,下午班機,TSA,GMP,CI 835,18970.75,19346.17,17373,-0.019789412648419186,0.08422176245008764,-0.23496792364262134
下午1:30,下午班機,TSA,GMP,JX 745,25236.0,23639.062,17843,0.06328015533365028,0.2929545094309716,0.21600676315433498
清晨7:00,早晨班機,TSA,GMP,CI 833,20154.5,21299.549,18459,-0.05681356520876227,0.08412513334491056,-0.6753459156590971
上午8:25,早晨班機,TSA,GMP,BR 211,22189.75,24226.156,19002,-0.09177237237913898,0.14365867123333972,-0.638822366873186
上午8:05,早晨班機,TSA,GMP,BR 67,27415.5,24559.928,21170,0.1041590341230326,0.22780908610092832,0.45722071891762067
下午6:50,晚間班機,TSA,GMP,TG 635,19481.0,19245.86,16653,0.012070222267850697,0.14516708587854832,0.08314710042432795
晚上10:30,晚間班機,TSA,GMP,CI 837,18952.75,19744.02,17102,-0.04174961417208587,0.09765073670047882,-0.4275401864109148
晚上8:45,晚間班機,TSA,GMP,BR 205,20779.25,19245.86,19002,0.0737942899767797,0.08553003597338692,0.8627880151920099
晚上10:30,晚間班機,TSA,GMP,BR 61,19599.0,20752.977,19002,-0.058879381601102045,0.030460737792744528,-1.9329597989949732
上午10:05,晚間班機,TSA,GMP,CI 831,26809.75,25678.59,18463,0.04219211294398493,0.3113326308525816,0.13552101117201304
