出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格剩餘天數_log,Region,經濟指標,機場指標,competing_flights,y_test_log,y_pred_log,residual_log,預測價格,實際價格,相對誤差 (%)
2025-02-28,星期五,下午2:10,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,0,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A320neo,0,UO 111,經濟艙,1,3099,1810,2758.0,1082548.28,3455.0,57,88,8.04,7.5,13.89,7.92,4.06,香港,0.6313249,-0.229905,19,8.04,9.018100476190467,-0.9781004761904679,8251.089045983103,3102.613190327882,165.93998477493525
2025-02-21,星期五,下午2:10,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,0,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A320neo,0,UO 111,經濟艙,0,1662,1430,1520.0,136067.24,1665.0,23,89,7.42,7.27,11.82,7.33,3.18,香港,0.6313249,-0.229905,17,7.42,8.320720952380949,-0.900720952380949,4108.120700287069,1669.0335077447523,146.1377007246597
2025-03-02,星期日,上午10:35,上午班機,TPE,下午2:40,下午抵達,NRT,日本航空,3,直達航班。,Non-stop,3 小時 5 分鐘,185,No,0,Boeing 787,1,JL 802,經濟艙,1,10589,9779,10281.0,421862.97,10672.0,36,90,9.27,9.19,12.95,9.24,3.61,日本,-0.84717,-1.180738,7,9.27,10.156387931148663,-0.8863879311486631,25755.099650124685,10614.751886431688,142.63496618367645
2025-03-02,星期日,清晨7:55,早晨班機,TPE,上午11:20,上午抵達,ICN,中華航空,2,直達航班。,Non-stop,2 小時 25 分鐘,145,No,0,Airbus A330,1,CI 160,經濟艙,1,7357,5404,6568.5,5634401.7,6614.25,41,88,8.9,8.6,15.54,8.79,3.74,韓國,-0.059982,1.5913391,4,8.9,9.733976153789023,-0.8339761537890222,16881.542660074992,7331.973539155995,130.24554807679073
2025-03-02,星期日,上午9:30,上午班機,TPE,下午1:30,下午抵達,NRT,中華航空,2,直達航班。,Non-stop,3 小時,180,No,0,Airbus A330,1,CI 100,經濟艙,1,9885,8915,9800.0,539446.5,10516.5,69,90,9.2,9.1,13.2,9.19,4.25,日本,-0.84717,-1.180738,7,9.2,10.026629591910135,-0.8266295919101356,22620.90124942311,9897.129058743909,128.56023312576704
2025-01-28,星期二,下午2:05,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,0,直達航班。,Non-stop,2 小時,120,No,1,Airbus A320neo,0,UO 111,經濟艙,1,2290,1520,2098.0,437476.44,2719.5,25,91,7.74,7.33,12.99,7.65,3.26,香港,0.6313249,-0.229905,14,7.74,8.564325,-0.824325,5241.300848312292,2298.472383122332,128.03410155367237
2025-03-01,星期六,上午10:50,上午班機,TPE,中午12:50,下午抵達,HKG,Greater Bay Airlines,6,直達航班。,Non-stop,2 小時,120,No,0,Boeing 737,0,HB 703,經濟艙,1,2384,2021,2339.0,48608.92,2330.75,66,89,7.78,7.61,10.79,7.76,4.2,香港,0.6313249,-0.229905,12,7.78,8.572972014652022,-0.7929720146520216,5286.818967847846,2392.2748205373778,120.99546935248289
2025-01-25,星期六,上午9:50,上午班機,TPE,上午11:50,上午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,0,Boeing 787,1,BR 867,經濟艙,1,11717,8781,11343.0,3168693.18,10660.25,25,91,9.37,9.08,14.97,9.34,3.26,香港,0.6313249,-0.229905,12,9.37,8.594025396825394,0.7759746031746051,5399.3043318887685,11731.115087472917,53.97450036395585
2025-01-20,星期一,下午2:35,下午班機,TPE,下午6:40,晚間抵達,NRT,中華航空,2,直達航班。,Non-stop,3 小時 5 分鐘,185,No,1,Airbus A321neo,0,CI 108,經濟艙,1,24798,13828,22301.0,50137197.86,29982.0,89,76,10.12,9.53,17.73,10.01,4.5,日本,-0.84717,-1.180738,17,10.12,9.339447023809528,0.7805529761904708,11378.114673738759,24834.770835065363,54.18474062312074
2025-01-25,星期六,凌晨1:30,凌晨班機,TPE,清晨6:15,早晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,285,No,0,Boeing 787,1,TR 897,經濟艙,1,14288,14288,14288.0,0.0,14288.0,90,63,9.57,9.57,0.0,9.57,4.51,新加坡,2.1585612,1.0416285,2,9.57,8.758606756854261,0.8113932431457389,6365.237074331424,14328.416324133817,55.57612976662153
