出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格剩餘天數_log,Region,經濟指標,機場指標,competing_flights,y_test_log,y_pred_log,residual_log,預測價格,實際價格,相對誤差 (%)
2025-02-28,星期五,下午2:10,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,0,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A320neo,0,UO 111,經濟艙,1,3099,1810,2758.0,1082548.28,3455.0,57,88,8.04,7.5,13.89,7.92,4.06,香港,0.6313249,-0.229905,19,8.04,8.947499,-0.9074992752075204,7688.6406,3102.613190327882,147.8117687686189
2025-02-21,星期五,下午2:10,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,0,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A320neo,0,UO 111,經濟艙,0,1662,1430,1520.0,136067.24,1665.0,23,89,7.42,7.27,11.82,7.33,3.18,香港,0.6313249,-0.229905,17,7.42,8.306149,-0.8861485290527344,4048.6895,1669.0335077447523,142.57688262925944
2025-03-02,星期日,上午10:35,上午班機,TPE,下午2:40,下午抵達,NRT,日本航空,3,直達航班。,Non-stop,3 小時 5 分鐘,185,No,0,Boeing 787,1,JL 802,經濟艙,1,10589,9779,10281.0,421862.97,10672.0,36,90,9.27,9.19,12.95,9.24,3.61,日本,-0.84717,-1.180738,7,9.27,10.12771,-0.857710342407227,25026.996,10614.751886431688,135.775610786916
2025-03-01,星期六,上午10:50,上午班機,TPE,中午12:50,下午抵達,HKG,Greater Bay Airlines,6,直達航班。,Non-stop,2 小時,120,No,0,Boeing 737,0,HB 703,經濟艙,1,2384,2021,2339.0,48608.92,2330.75,66,89,7.78,7.61,10.79,7.76,4.2,香港,0.6313249,-0.229905,12,7.78,8.636518,-0.856517524719238,5633.6763,2392.2748205373778,135.4945268481217
2025-01-28,星期二,下午2:05,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,0,直達航班。,Non-stop,2 小時,120,No,1,Airbus A320neo,0,UO 111,經濟艙,1,2290,1520,2098.0,437476.44,2719.5,25,91,7.74,7.33,12.99,7.65,3.26,香港,0.6313249,-0.229905,14,7.74,8.5692835,-0.8292834854125974,5267.3545,2298.472383122332,129.16762154140508
2025-01-21,星期二,晚上9:10,晚間班機,TPE,晚上11:00,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,1 小時 50 分鐘,110,No,1,Airbus A321neo,0,CI 921,經濟艙,1,3801,3577,3843.0,33048.66,4011.75,76,79,8.24,8.18,10.41,8.25,4.34,香港,0.6313249,-0.229905,22,8.24,9.061699,-0.8216989135742185,8618.781,3789.5403081706027,127.43606213706458
2025-03-02,星期日,上午9:30,上午班機,TPE,下午1:30,下午抵達,NRT,中華航空,2,直達航班。,Non-stop,3 小時,180,No,0,Airbus A330,1,CI 100,經濟艙,1,9885,8915,9800.0,539446.5,10516.5,69,90,9.2,9.1,13.2,9.19,4.25,日本,-0.84717,-1.180738,7,9.2,10.018407,-0.8184068679809577,22435.658,9897.129058743909,126.68854846652282
2025-03-01,星期六,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Boeing 777,1,BR 67,經濟艙,1,6292,5536,6027.0,267166.46,6181.75,21,91,8.75,8.62,12.5,8.7,3.09,泰國,-1.882734,0.4139873,9,8.75,9.544013,-0.7940130233764648,13960.86,6310.688108089024,121.22564310645465
2025-03-02,星期日,清晨7:55,早晨班機,TPE,上午11:20,上午抵達,ICN,中華航空,2,直達航班。,Non-stop,2 小時 25 分鐘,145,No,0,Airbus A330,1,CI 160,經濟艙,1,7357,5404,6568.5,5634401.7,6614.25,41,88,8.9,8.6,15.54,8.79,3.74,韓國,-0.059982,1.5913391,4,8.9,9.663477,-0.7634769439697262,15732.391,7331.973539155995,114.57238683394104
2025-01-25,星期六,中午12:50,下午班機,TPE,下午4:50,下午抵達,NRT,國泰航空,3,直達航班。,Non-stop,3 小時,180,No,0,Boeing 777,1,CX 450,經濟艙,1,36488,19458,35467.0,98625228.91,26989.75,84,52,10.5,9.88,18.41,10.48,4.44,日本,-0.84717,-1.180738,18,10.5,9.729063,0.7709369659423828,16798.805,36315.502674246636,53.74205655863611
