出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TSA,凌晨抵達,1,1,1,1,1,0,2,0,315,1065,-0.7021,0.1276154,84,122106.0,126078.51,130174.89,115187.21475929188,146425.60603214536,FRA
下午班機,TSA,晚間抵達,1,0,1,1,2,0,2,1,955,1035,-0.7021,0.1276154,88,88051.0,120646.03,107161.11,98849.4727633696,122664.5266407663,FRA
下午班機,TSA,下午抵達,0,0,1,1,1,0,2,1,1245,865,-0.7021,0.1276154,93,112856.0,136367.14,132917.45,118584.12095620771,154481.7192648212,FRA
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,0,215,945,-0.7021,0.1276154,108,89691.0,92528.14,94283.94,88138.28001224919,100864.04463536722,FRA
早晨班機,TPE,早晨抵達,1,1,2,1,1,0,2,0,810,955,-0.7021,0.1276154,31,49526.0,52689.0,53557.652,49403.96272081586,58905.27906945009,FRA
下午班機,TPE,凌晨抵達,1,1,2,1,1,0,2,1,460,845,-0.7021,0.1276154,102,125040.0,96297.16,96087.81,91513.1850922098,104559.41258321355,FRA
下午班機,TPE,下午抵達,1,1,1,1,1,0,2,1,750,995,-0.7021,0.1276154,99,66441.0,81336.87,81538.72,77671.150337028,85426.55814896202,FRA
上午班機,TPE,早晨抵達,1,0,1,1,1,0,2,0,840,865,-0.7021,0.1276154,15,108763.0,106740.48,107387.0,94847.00002801848,117870.86291846327,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,530,955,-0.7021,0.1276154,100,81368.0,83563.18,83202.55,82044.24873517618,84496.27010537827,FRA
下午班機,TPE,下午抵達,0,0,3,1,1,0,2,1,860,1035,-0.7021,0.1276154,84,125526.0,127690.18,127651.1,123067.61765573984,133094.13106993295,FRA
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,750,970,-0.7021,0.1276154,92,162250.0,140480.06,138949.52,116641.09307979081,161097.69023621402,FRA
上午班機,TSA,凌晨抵達,1,0,2,1,1,0,2,1,680,835,-0.7021,0.1276154,17,140213.0,125838.86,124163.73,113587.29044595399,131737.53389109264,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,155,965,-0.7021,0.1276154,90,246882.0,169080.23,150385.11,122966.80517943381,186363.3261002347,FRA
下午班機,TPE,早晨抵達,1,1,1,1,1,0,2,1,300,1105,-0.7021,0.1276154,82,121831.0,105174.03,102056.23,95315.59797047937,110092.45952805977,FRA
下午班機,TPE,下午抵達,0,0,3,1,1,0,2,1,965,1040,-0.7021,0.1276154,85,125495.0,124580.05,123064.54,119630.60156590644,126607.20671800063,FRA
下午班機,TSA,晚間抵達,1,0,1,1,2,0,2,1,1170,950,-0.7021,0.1276154,84,114967.0,147320.64,129857.96,107398.77529155409,153419.37695943622,FRA
下午班機,TPE,凌晨抵達,1,1,1,1,1,0,2,1,410,970,-0.7021,0.1276154,93,73572.0,87309.57,86744.78,82317.15268108499,92695.6428657909,FRA
下午班機,TPE,早晨抵達,1,1,1,1,1,0,2,1,95,1105,-0.7021,0.1276154,84,102138.0,110824.39,108504.266,99274.44360133675,115713.42065058564,FRA
晚間班機,TPE,晚間抵達,0,0,1,1,1,0,1,1,710,975,-0.7021,0.1276154,89,256851.0,162312.03,164587.2,128170.05408165145,190354.21941150562,FRA
上午班機,TPE,早晨抵達,1,0,1,1,1,0,2,1,715,945,-0.7021,0.1276154,18,92263.0,94245.375,96546.36,92574.56430039459,102188.27834574424,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,95,965,-0.7021,0.1276154,97,245418.0,171675.58,156216.92,125695.41574812059,195128.2784750271,FRA
下午班機,TSA,凌晨抵達,0,0,2,1,1,0,2,0,505,820,-0.7021,0.1276154,84,137927.0,145957.42,144468.42,135667.1461622415,157130.72113945498,FRA
晚間班機,TPE,下午抵達,0,0,2,1,1,2,1,1,430,980,-0.7021,0.1276154,69,114683.0,144638.81,130517.984,118887.82648326816,148510.34104700884,FRA
下午班機,TPE,下午抵達,1,0,1,1,1,2,2,0,1005,865,-0.7021,0.1276154,83,118260.0,122734.25,121915.42,110742.24387864184,134135.9879219874,FRA
上午班機,TPE,早晨抵達,1,0,1,1,1,0,2,0,715,945,-0.7021,0.1276154,29,89342.0,90657.16,93378.266,90141.70574850515,98431.67640126962,FRA
