出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,下午抵達,1,0,2,1,0,0,1,1,701,994,0.5468126,0.5891658,64,126231.0,124059.33,128747.04,118425.63015300466,142692.39302738276,JFK
上午班機,TPE,晚間抵達,1,1,3,1,1,0,2,0,305,960,0.5468126,0.5891658,33,167652.0,155107.25,145821.34,132104.983170188,159207.6919361496,JFK
下午班機,TPE,晚間抵達,1,1,2,1,2,0,2,1,220,985,0.5468126,0.5891658,55,103301.0,101059.7,99368.016,90138.49494633384,105246.58405838613,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,710,1050,0.5468126,0.5891658,32,112630.0,120499.195,115754.336,108385.75301825213,122536.1232034166,JFK
上午班機,TPE,下午抵達,1,0,1,1,1,0,1,0,146,1014,0.5468126,0.5891658,32,171110.0,171840.69,158038.62,144272.94343275466,171211.1528925399,JFK
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,1575,930,0.5468126,0.5891658,58,90748.0,97192.3,97093.26,93995.52684087295,101877.8295136833,JFK
下午班機,TSA,晚間抵達,1,1,3,1,1,0,2,1,1460,945,0.5468126,0.5891658,58,140571.0,136154.16,136988.89,127971.76468579256,159731.5224250388,JFK
晚間班機,TPE,晚間抵達,1,0,1,0,1,0,1,1,0,885,0.5468126,0.5891658,67,142702.0,127915.055,117368.39,105453.94315203102,128720.1172674219,JFK
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,935,1065,0.5468126,0.5891658,64,111027.0,116199.3,114769.1,106587.34138340049,122019.37772516823,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,770,1050,0.5468126,0.5891658,65,126678.0,130918.28,127679.23,117524.95335717693,136325.35433965296,JFK
早晨班機,TPE,晚間抵達,1,0,5,1,1,0,2,1,615,1075,0.5468126,0.5891658,17,124711.0,128408.12,118718.945,103532.84982385054,134915.44323771127,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,300,1050,0.5468126,0.5891658,54,123038.0,125547.45,123769.56,115786.10045466664,132930.46111789197,JFK
早晨班機,TPE,晚間抵達,1,0,2,1,2,1,2,0,540,985,0.5468126,0.5891658,18,192420.0,174272.36,166766.02,143362.7871651084,185205.3871635884,JFK
上午班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,474,995,0.5468126,0.5891658,33,125900.0,123135.92,129169.0,116270.56594748089,136453.78435183817,JFK
下午班機,TSA,下午抵達,1,0,3,1,1,0,2,1,1305,965,0.5468126,0.5891658,58,121527.0,119109.3,126162.34,116085.83948519258,151447.9752623918,JFK
晚間班機,TPE,晚間抵達,1,1,1,1,1,1,1,1,550,1430,0.5468126,0.5891658,63,168585.0,157213.94,159449.44,145889.95992682688,173471.62938959547,JFK
下午班機,TPE,上午抵達,1,0,1,1,1,0,2,1,905,980,0.5468126,0.5891658,23,125761.0,138387.47,127722.09,119949.20380553647,137495.1878458905,JFK
早晨班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,360,1065,0.5468126,0.5891658,9,114205.0,117616.914,118368.71,110433.99858658129,123910.51579696554,JFK
下午班機,TSA,下午抵達,1,0,3,1,1,0,2,0,1305,965,0.5468126,0.5891658,51,123542.0,113134.45,121985.79,111257.14669806622,144672.65605371614,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,705,1065,0.5468126,0.5891658,38,110319.0,112972.945,110413.28,102427.7967269435,118072.27363206707,JFK
晚間班機,TPE,下午抵達,1,0,3,1,1,2,2,1,630,1050,0.5468126,0.5891658,36,306568.0,198846.14,198003.1,159065.2412271917,261171.74396891394,JFK
下午班機,TPE,下午抵達,1,1,1,1,1,2,2,0,835,1375,0.5468126,0.5891658,39,187489.0,182317.44,173526.72,153494.39171611413,195288.34408441972,JFK
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,1,761,973,0.5468126,0.5891658,39,148145.0,127534.52,123807.58,108673.93388125225,144706.0179712846,JFK
