出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TSA,晚間抵達,1,1,2,1,1,0,2,0,1525,830,0.5468126,1.7011215,99,119414,125128.375,125587.45,116637.6058028031,143241.3812896553,LAX
晚間班機,TPE,早晨抵達,0,0,2,1,1,2,1,1,730,763,0.5468126,1.7011215,91,108951,119758.76,120712.9,108248.88517291652,140600.33227306014,LAX
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,1,355,760,0.5468126,1.7011215,45,141266,135746.02,135494.06,130296.96751723846,140529.73262226477,LAX
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,1,400,765,0.5468126,1.7011215,35,97329,102097.305,102453.32,96993.80003878476,106848.01721174137,LAX
晚間班機,TPE,凌晨抵達,0,0,2,1,0,0,1,1,188,757,0.5468126,1.7011215,103,348733,335872.6,331644.7,298723.74596986745,351582.1319286104,LAX
下午班機,TSA,上午抵達,1,1,3,1,1,0,2,0,1260,760,0.5468126,1.7011215,75,150565,131283.61,129441.04,118540.52368477624,136133.2751051153,LAX
早晨班機,TPE,下午抵達,1,0,1,1,1,0,2,1,460,785,0.5468126,1.7011215,42,97515,100939.2,98637.6,96117.87753167284,100967.56708171606,LAX
早晨班機,TPE,下午抵達,1,0,1,1,2,0,2,1,610,815,0.5468126,1.7011215,44,94756,96395.56,94813.234,91221.21386829422,98134.67793487561,LAX
凌晨班機,TPE,早晨抵達,0,0,5,1,1,0,1,0,730,743,0.5468126,1.7011215,18,107149,108553.836,107630.195,103192.60505039999,113221.51859848067,LAX
下午班機,TSA,上午抵達,1,1,1,1,1,2,2,1,1220,760,0.5468126,1.7011215,54,160030,125055.125,127979.484,111740.53209505999,141221.78769677834,LAX
下午班機,TPE,上午抵達,0,0,2,1,1,2,2,1,1345,830,0.5468126,1.7011215,76,153105,149870.98,171242.58,140977.39596617926,210513.43578908988,LAX
下午班機,TPE,晚間抵達,1,1,1,1,1,0,1,0,440,777,0.5468126,1.7011215,75,83960,84975.99,86923.74,83430.6655642704,89947.37055022147,LAX
下午班機,TSA,上午抵達,1,1,1,1,1,0,2,0,1220,760,0.5468126,1.7011215,69,95341,100312.36,97643.07,90254.9520949091,106904.71365828322,LAX
上午班機,TPE,下午抵達,1,1,2,1,1,2,1,1,475,846,0.5468126,1.7011215,59,133159,106334.266,110087.44,102710.3720558974,118897.3990781525,LAX
早晨班機,TPE,上午抵達,1,0,1,1,1,0,2,0,300,775,0.5468126,1.7011215,41,140915,147624.7,139965.62,132295.77239790626,149138.03244308697,LAX
早晨班機,TPE,上午抵達,0,0,3,1,1,1,2,0,375,750,0.5468126,1.7011215,44,99196,115294.58,110822.49,100851.29032925083,121626.2821641644,LAX
下午班機,TPE,下午抵達,1,0,2,0,1,0,0,1,0,695,0.5468126,1.7011215,71,95674,99467.09,97056.97,91760.40553216201,102421.65504764392,LAX
晚間班機,TPE,上午抵達,1,1,2,1,2,0,2,1,935,810,0.5468126,1.7011215,103,82248,87830.78,91239.24,84612.47187263475,98665.30906643724,LAX
晚間班機,TPE,晚間抵達,0,0,1,1,1,2,1,1,160,748,0.5468126,1.7011215,99,126952,118488.32,115095.625,105188.46720464047,122069.12632815485,LAX
下午班機,TSA,上午抵達,1,0,2,1,1,0,2,1,1375,820,0.5468126,1.7011215,78,164332,157250.98,152928.56,141982.61665118954,168965.2542813878,LAX
下午班機,TPE,下午抵達,1,0,1,1,1,0,2,0,155,875,0.5468126,1.7011215,82,98836,99355.695,102341.016,99000.30137108544,108552.18827261674,LAX
上午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,220,895,0.5468126,1.7011215,68,83901,91149.14,88955.06,84994.98278110617,93398.21138190449,LAX
晚間班機,TPE,晚間抵達,0,0,5,1,0,0,1,1,174,799,0.5468126,1.7011215,101,110016,105534.43,106041.195,99768.73074906364,111272.26224484347,LAX
早晨班機,TPE,上午抵達,1,0,1,1,1,0,2,1,280,780,0.5468126,1.7011215,40,98378,101504.89,101920.445,98392.18034182709,108071.37095598453,LAX
晚間班機,TPE,下午抵達,1,0,5,0,1,0,0,1,0,680,0.5468126,1.7011215,105,99221,100779.72,99570.45,93966.9689742909,105903.36592277148,LAX
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,125,748,0.5468126,1.7011215,97,105512,104734.72,104490.99,98779.03960511944,111049.89596783805,LAX
上午班機,TSA,上午抵達,0,0,3,1,1,0,2,0,215,760,0.5468126,1.7011215,63,181894,187946.16,179381.34,169105.4306187768,190565.09591396336,LAX
下午班機,TPE,下午抵達,1,1,1,1,1,0,2,0,220,810,0.5468126,1.7011215,83,84590,91754.766,90711.38,85975.86886638624,96235.40798406974,LAX
上午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,220,895,0.5468126,1.7011215,62,83308,92462.24,89265.164,85205.13296550023,93689.05945903751,LAX
上午班機,TPE,下午抵達,1,1,1,1,1,0,1,1,577,777,0.5468126,1.7011215,59,83454,83073.79,83537.836,81011.22024190091,94959.23851582634,LAX
下午班機,TPE,上午抵達,1,0,2,1,1,0,2,1,1115,840,0.5468126,1.7011215,79,138330,144926.42,147618.78,135188.14694465016,176475.96463268172,LAX
早晨班機,TSA,上午抵達,0,0,2,1,1,2,2,0,190,835,0.5468126,1.7011215,32,201931,213514.83,187099.72,163115.38572000418,222150.51038091496,LAX
上午班機,TPE,下午抵達,1,1,1,1,0,0,1,1,273,778,0.5468126,1.7011215,59,82432,85611.28,83840.81,80861.74765271205,87577.74475606925,LAX
上午班機,TSA,上午抵達,1,1,3,1,1,1,2,1,185,760,0.5468126,1.7011215,61,134959,129693.234,127799.34,121988.36385670847,136137.95547638126,LAX
下午班機,TPE,下午抵達,1,0,1,1,1,2,2,1,115,820,0.5468126,1.7011215,32,125071,136419.95,129855.24,118235.49807424746,144139.44971314108,LAX
上午班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,680,778,0.5468126,1.7011215,61,83451,86173.21,83662.62,79866.68919320626,87604.0621894089,LAX
上午班機,TPE,上午抵達,1,1,1,1,1,2,1,0,150,778,0.5468126,1.7011215,63,105812,111680.3,105014.87,96470.08827862765,119746.06742546485,LAX
晚間班機,TPE,上午抵達,1,0,1,1,0,0,1,1,755,820,0.5468126,1.7011215,103,117142,124186.46,128478.55,120664.60033948917,140623.5548591641,LAX
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,1400,770,0.5468126,1.7011215,69,96971,100890.02,104273.58,94293.16953326193,125659.31205615525,LAX
早晨班機,TPE,上午抵達,1,0,1,1,1,0,2,1,345,780,0.5468126,1.7011215,33,97237,105346.39,102346.875,98276.33181376183,106893.33883145412,LAX
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,440,780,0.5468126,1.7011215,83,87383,101902.56,104052.45,97094.67904190309,113352.66016546125,LAX
上午班機,TPE,晚間抵達,1,1,1,1,0,0,1,1,600,776,0.5468126,1.7011215,59,82432,85208.57,82679.15,79988.52667944727,85585.35221441012,LAX
晚間班機,TPE,早晨抵達,0,0,2,1,0,0,1,0,670,758,0.5468126,1.7011215,103,350539,256702.27,261449.17,195418.29139543895,308333.533552742,LAX
