出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,下午抵達,1,0,2,1,1,0,2,0,850,1030,-1.262158,1.0504261,93,114500.0,125691.09,115738.33,104320.49082299585,128133.45650330574,LHR
下午班機,TSA,下午抵達,1,0,3,1,1,0,2,0,965,1085,-1.262158,1.0504261,118,307431.0,272130.56,273857.97,233439.857532197,325453.54108952667,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,625,1015,-1.262158,1.0504261,111,91311.0,91382.75,91218.36,84670.92437521266,97193.71641008114,LHR
下午班機,TPE,下午抵達,1,0,2,1,1,0,2,0,850,1030,-1.262158,1.0504261,107,108228.0,119875.2,111895.54,99997.2374006522,126401.34746764414,LHR
下午班機,TPE,下午抵達,1,1,1,1,1,0,2,1,640,1160,-1.262158,1.0504261,110,104206.0,98219.04,97632.83,89857.32368436112,107009.36121440057,LHR
上午班機,TSA,下午抵達,1,0,3,1,1,0,2,1,1215,1075,-1.262158,1.0504261,43,73164.0,96246.664,97183.95,81065.8377736601,118859.73110256389,LHR
上午班機,TPE,下午抵達,1,1,1,1,1,0,1,0,650,1320,-1.262158,1.0504261,35,277991.0,241694.61,243809.64,218730.22236600373,264930.41804118984,LHR
下午班機,TPE,晚間抵達,1,1,1,1,1,0,2,0,1165,1020,-1.262158,1.0504261,118,71383.0,70116.95,74170.28,66404.24272840204,81738.78909408092,LHR
晚間班機,TPE,上午抵達,1,1,1,1,1,0,1,1,165,1020,-1.262158,1.0504261,118,103042.0,102962.27,97613.47,89399.45512364969,106899.335760494,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,780,1055,-1.262158,1.0504261,107,126799.0,122738.58,124014.62,98027.26796336986,136792.43040141038,LHR
晚間班機,TSA,下午抵達,1,0,3,1,1,0,2,0,680,1075,-1.262158,1.0504261,120,125238.0,127658.04,120865.65,106663.69812841767,136484.1478571644,LHR
下午班機,TSA,下午抵達,1,1,2,1,1,0,2,1,845,875,-1.262158,1.0504261,115,139529.0,99118.43,101858.06,92863.69771246037,118359.94809923564,LHR
下午班機,TPE,凌晨抵達,1,0,3,1,1,0,2,0,290,1025,-1.262158,1.0504261,125,85807.0,98378.22,95042.28,85788.98057777814,109784.9208875375,LHR
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,130,1040,-1.262158,1.0504261,29,210337.0,199144.08,173882.06,143179.15343715265,202991.79892340687,LHR
下午班機,TSA,下午抵達,1,0,2,1,1,2,2,1,1120,885,-1.262158,1.0504261,106,115736.0,129204.484,137840.06,114351.46689768658,177973.5781884259,LHR
下午班機,TPE,晚間抵達,1,0,5,1,1,0,2,1,1250,920,-1.262158,1.0504261,113,358460.0,275257.5,280276.44,219369.72187377588,342933.0639192866,LHR
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,0,910,1005,-1.262158,1.0504261,100,102099.0,104233.91,104033.2,96338.48416466781,112759.4945219477,LHR
晚間班機,TPE,晚間抵達,1,1,5,1,2,0,1,0,630,1070,-1.262158,1.0504261,99,136372.0,93315.86,96014.71,86824.07931953053,106306.78975555416,LHR
晚間班機,TPE,下午抵達,1,1,2,1,1,0,2,1,705,1040,-1.262158,1.0504261,118,95750.0,89418.62,87307.66,80762.63825788989,96446.15692733189,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,505,1000,-1.262158,1.0504261,106,96964.0,96542.4,96623.18,90398.05500370971,104387.76439681699,LHR
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,820,1050,-1.262158,1.0504261,63,325204.0,316866.12,287844.2,224728.3521189125,342741.6964850502,LHR
晚間班機,TPE,晚間抵達,1,1,5,1,2,0,1,0,535,1065,-1.262158,1.0504261,97,98094.0,96122.37,97354.55,88196.01187607432,111088.38901877371,LHR
早晨班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,90,1065,-1.262158,1.0504261,35,125969.0,106024.305,108725.414,99552.49933774011,118040.56031541097,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,780,1010,-1.262158,1.0504261,106,108764.0,90070.37,96717.4,88565.36903435689,104836.97747774102,LHR
晚間班機,TPE,下午抵達,1,1,5,1,2,0,1,0,245,1085,-1.262158,1.0504261,106,97662.0,111476.305,97595.22,89926.16573089935,110913.91341289192,LHR
