出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,425,1030,2.7842724,-2.49911,82,230141.0,192267.64,180376.66,147776.03648438607,204150.3008384414,ZRH
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,70,945,2.7842724,-2.49911,91,108135.0,105290.24,103791.695,99435.09972740327,106101.34070630927,ZRH
早晨班機,TPE,早晨抵達,1,0,1,1,1,0,2,0,720,1065,2.7842724,-2.49911,18,115994.0,129275.11,126657.34,117107.78009416515,139177.92778060335,ZRH
下午班機,TPE,晚間抵達,1,0,1,1,1,0,2,0,1010,1040,2.7842724,-2.49911,46,116120.0,110518.836,108989.0,105104.28019971578,114255.11651407163,ZRH
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,1120,1040,2.7842724,-2.49911,57,188560.0,181659.83,179441.56,167560.54524956708,194000.26523056565,ZRH
上午班機,TPE,上午抵達,1,1,1,1,1,0,1,0,880,955,2.7842724,-2.49911,12,96412.0,98992.79,97183.95,91721.66187841476,106153.26743867605,ZRH
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,0,790,990,2.7842724,-2.49911,59,218300.0,183599.72,180001.17,159616.36227458922,205485.07610824547,ZRH
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,410,950,2.7842724,-2.49911,74,112079.0,106176.59,104380.336,96349.44795085247,113033.81526598452,ZRH
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,0,720,1030,2.7842724,-2.49911,93,228309.0,195496.31,183018.11,151624.90062338373,212133.42408407002,ZRH
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,1135,955,2.7842724,-2.49911,47,289541.0,297731.16,288442.4,273717.5104315837,298051.77992513176,ZRH
早晨班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,850,960,2.7842724,-2.49911,27,86380.0,90872.695,88115.195,85426.32595958345,92115.17234711256,ZRH
凌晨班機,TPE,下午抵達,1,1,2,1,1,2,1,1,240,970,2.7842724,-2.49911,8,148470.0,125828.18,122348.48,114437.12896103418,134753.22502522744,ZRH
上午班機,TPE,早晨抵達,1,0,1,1,1,0,2,1,575,1080,2.7842724,-2.49911,9,135417.0,120434.055,112596.055,105937.72605837708,118671.83045456588,ZRH
晚間班機,TPE,早晨抵達,1,1,3,1,1,2,2,1,240,955,2.7842724,-2.49911,74,185120.0,181125.81,173898.81,145819.03353110867,215964.1319970012,ZRH
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,950,1030,2.7842724,-2.49911,60,106215.0,114770.305,117841.695,108521.08365131762,133423.38955273732,ZRH
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,610,955,2.7842724,-2.49911,48,86839.0,89487.89,89563.625,86504.05379001517,94037.44833783072,ZRH
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,1150,970,2.7842724,-2.49911,57,114320.0,117428.625,116212.82,106082.43305614043,159824.1066583222,ZRH
晚間班機,TPE,下午抵達,1,1,5,1,2,0,1,1,1610,1015,2.7842724,-2.49911,78,90604.0,99973.984,95154.1,87756.15297017708,105484.54339897104,ZRH
晚間班機,TPE,上午抵達,1,1,1,1,1,0,1,1,185,955,2.7842724,-2.49911,78,146297.0,113208.28,107651.445,96273.4437918678,120243.1799320942,ZRH
下午班機,TPE,晚間抵達,0,0,1,1,1,2,2,1,1050,1045,2.7842724,-2.49911,32,104088.0,118984.86,118587.46,105785.58415619587,133156.08386221342,ZRH
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,920,950,2.7842724,-2.49911,91,97043.0,95740.586,92484.03,83152.72390743207,98877.46347532266,ZRH
凌晨班機,TPE,下午抵達,1,1,2,1,1,0,1,1,425,975,2.7842724,-2.49911,8,101821.0,105966.99,105090.414,99136.15145883305,114855.97447402915,ZRH
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,705,955,2.7842724,-2.49911,83,226645.0,179185.73,169804.66,134278.29454339476,198908.06827887511,ZRH
晚間班機,TPE,晚間抵達,1,0,2,1,1,0,1,1,570,1050,2.7842724,-2.49911,77,267994.0,229828.45,225334.56,180991.21998039336,264642.5188683641,ZRH
