出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,上午抵達,1,0,2,1,1,0,1,1,125,1015,-0.977473,0.5969613,67,29073.0,32288.729,30647.396,27694.441142723015,35102.977501876136,CDG
下午班機,TPE,早晨抵達,1,1,2,1,1,0,2,0,440,880,-0.977473,0.5969613,68,33573.0,32002.787,31330.068,27148.57570173952,38865.64446932947,CDG
下午班機,TPE,凌晨抵達,0,0,2,1,1,0,2,0,435,975,-0.977473,0.5969613,68,31266.0,29862.174,29232.861,26663.790392667728,33230.259924485894,CDG
下午班機,TPE,早晨抵達,1,1,1,1,1,0,2,1,320,1125,-0.977473,0.5969613,68,25128.0,28522.02,30704.387,26990.7135801642,35211.02637102595,CDG
下午班機,TSA,晚間抵達,0,0,2,1,1,0,2,1,1205,860,-0.977473,0.5969613,69,40436.0,102025.18,87418.97,57325.61860000039,110851.3244920841,CDG
下午班機,TPE,下午抵達,1,0,1,1,1,0,2,0,950,1015,-0.977473,0.5969613,74,27641.0,31263.002,31408.39,28257.484070464085,35833.82628817049,CDG
下午班機,TPE,晚間抵達,1,0,2,1,1,0,2,1,1010,1015,-0.977473,0.5969613,75,31473.0,39440.652,37112.574,32018.4329481527,42656.166331640416,CDG
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,150,985,-0.977473,0.5969613,58,21819.0,31573.393,25622.426,23351.0792247501,32791.772013805836,CDG
下午班機,TSA,下午抵達,1,1,1,1,1,0,2,0,975,1060,-0.977473,0.5969613,72,161302.0,88687.305,97384.63,60286.89985444779,144297.81159253645,CDG
下午班機,TPE,早晨抵達,0,0,2,1,1,0,2,1,565,885,-0.977473,0.5969613,70,26294.0,30790.363,30154.574,26553.57899151809,38071.77010005778,CDG
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,805,1050,-0.977473,0.5969613,68,161943.0,88082.35,103070.54,66565.13777173492,150332.60972072414,CDG
早晨班機,TPE,凌晨抵達,1,0,2,1,1,0,2,1,755,970,-0.977473,0.5969613,17,33770.0,24532.055,24659.451,22855.525376278616,26710.260702816144,CDG
早晨班機,TSA,早晨抵達,0,0,2,1,1,0,2,1,860,880,-0.977473,0.5969613,16,37207.0,97018.47,79344.47,52779.362432703274,101538.69984648256,CDG
上午班機,TPE,早晨抵達,1,1,2,1,1,0,2,0,680,890,-0.977473,0.5969613,24,16293.0,22054.367,21437.656,19295.394425625764,24430.23617137946,CDG
凌晨班機,TPE,晚間抵達,0,0,2,1,1,0,2,1,425,1040,-0.977473,0.5969613,1,37252.0,42684.656,40603.85,31373.14510834902,46013.27695777137,CDG
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,405,1000,-0.977473,0.5969613,74,23194.0,22800.273,22746.041,20032.383755745857,25192.602307241807,CDG
晚間班機,TPE,早晨抵達,1,1,5,1,2,0,1,1,1305,1055,-0.977473,0.5969613,71,39375.0,27011.186,25509.584,23423.320269577525,28324.120097418803,CDG
下午班機,TSA,下午抵達,1,0,1,1,1,2,2,1,805,1050,-0.977473,0.5969613,61,166198.0,87541.945,96321.68,66703.74496343941,140935.347067975,CDG
早晨班機,TSA,凌晨抵達,0,0,2,1,1,0,2,1,725,1005,-0.977473,0.5969613,17,37495.0,95045.99,81386.6,52901.243840541334,104401.93920091038,CDG
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,1,805,1050,-0.977473,0.5969613,67,169150.0,80556.17,94227.13,62704.21480846415,141067.3397562759,CDG
凌晨班機,TPE,晚間抵達,1,1,2,1,1,2,1,1,580,965,-0.977473,0.5969613,18,48122.0,35012.586,33862.008,30646.097849661008,37356.12720930147,CDG
下午班機,TPE,上午抵達,1,1,1,1,1,0,1,0,225,1330,-0.977473,0.5969613,64,101847.0,80821.81,97441.766,81615.48043097531,109349.93445825599,CDG
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,1,455,1040,-0.977473,0.5969613,76,30383.0,28569.035,29069.223,26801.409070420694,32181.95005934054,CDG
