出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,530,955,-0.7021,0.1276154,100,19395,19997.562,19469.422,18901.61010165742,20083.406338776163,FRA
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,600,965,-0.7021,0.1276154,97,131715,31921.734,45934.824,32158.568910532238,66733.85259536275,FRA
早晨班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,825,960,-0.7021,0.1276154,33,19427,20179.225,20474.354,19694.18461166568,21380.90879074719,FRA
晚間班機,TPE,晚間抵達,0,0,2,1,1,2,1,1,795,965,-0.7021,0.1276154,65,52909,44495.42,48097.48,40488.66777970109,62193.00178308783,FRA
下午班機,TSA,凌晨抵達,0,0,1,1,1,0,2,1,200,1055,-0.7021,0.1276154,106,104515,110747.69,108462.77,99091.20571445179,120685.0510213396,FRA
下午班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,500,950,-0.7021,0.1276154,96,18860,23625.373,23941.223,22818.916093687312,24884.002167278155,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,1180,1225,-0.7021,0.1276154,93,137448,167791.31,155715.38,144436.9617427396,175971.1858078735,FRA
晚間班機,TPE,晚間抵達,1,0,2,1,1,2,1,1,620,1035,-0.7021,0.1276154,65,44950,50468.16,47498.957,40341.08456408051,56665.45578938963,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,0,665,995,-0.7021,0.1276154,66,41266,37454.098,39671.188,35774.594059258736,50588.5381134678,FRA
上午班機,TPE,上午抵達,1,1,1,1,1,0,1,0,885,970,-0.7021,0.1276154,22,24450,23993.658,24303.582,22367.441749351743,26395.7457023997,FRA
上午班機,TPE,早晨抵達,1,0,1,1,2,0,2,1,565,1100,-0.7021,0.1276154,27,25550,23860.895,25232.822,22963.097517602768,28080.080947822593,FRA
上午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,730,965,-0.7021,0.1276154,15,21584,21663.533,21544.75,20116.618042742397,22867.895091747152,FRA
下午班機,TPE,早晨抵達,0,0,1,1,1,0,2,0,180,1105,-0.7021,0.1276154,99,39472,36787.18,36690.86,33653.479235587394,39767.05914338409,FRA
下午班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,315,955,-0.7021,0.1276154,94,27049,28226.68,27957.053,26325.8003452344,29847.507246033627,FRA
下午班機,TPE,早晨抵達,1,1,1,1,1,0,2,1,95,1105,-0.7021,0.1276154,93,37212,39384.57,39539.55,36508.89755942038,42046.19919329843,FRA
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,0,260,950,-0.7021,0.1276154,109,35076,29381.11,30165.734,27658.514505286406,33593.194720228246,FRA
凌晨班機,TPE,上午抵達,1,1,2,1,1,0,1,1,100,960,-0.7021,0.1276154,9,27399,27615.629,28642.969,24156.997133766377,32965.14605791963,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,575,950,-0.7021,0.1276154,88,26070,29103.646,30162.512,27943.211226588774,33040.07389822616,FRA
早晨班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,915,950,-0.7021,0.1276154,25,36744,29967.021,29396.75,28498.671735257612,30706.314122918997,FRA
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,1,825,1005,-0.7021,0.1276154,96,36751,38837.684,39452.05,34129.73874547698,46876.9822636528,FRA
晚間班機,TPE,早晨抵達,1,1,5,1,2,0,1,1,1305,1030,-0.7021,0.1276154,98,26842,28374.64,27683.135,25048.166412419756,32226.133180527446,FRA
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,115,955,-0.7021,0.1276154,106,19704,21177.363,20461.43,19446.625251306643,22535.026131343573,FRA
早晨班機,TPE,凌晨抵達,1,0,2,1,1,2,2,1,845,835,-0.7021,0.1276154,27,23755,33243.227,32298.676,26612.80468451661,37179.67909238495,FRA
晚間班機,TPE,凌晨抵達,1,1,1,1,1,0,2,0,115,970,-0.7021,0.1276154,68,27345,25010.893,24970.922,22630.228409843963,27704.166586337004,FRA
上午班機,TPE,下午抵達,0,0,3,1,1,0,2,1,1275,1035,-0.7021,0.1276154,25,65450,39356.15,41448.883,33403.77790621076,52265.3897929772,FRA
晚間班機,TPE,上午抵達,1,1,1,1,1,0,1,1,190,970,-0.7021,0.1276154,103,26686,28052.508,27342.973,23869.0603837901,32778.22785933294,FRA
上午班機,TSA,凌晨抵達,0,0,1,1,1,0,2,1,565,1055,-0.7021,0.1276154,14,104478,100161.03,101430.375,95680.2134271121,106019.17321651048,FRA
下午班機,TPE,下午抵達,1,1,1,1,2,0,2,1,960,1100,-0.7021,0.1276154,85,23311,26608.992,27231.174,24242.189191625934,30291.06110230339,FRA
下午班機,TPE,早晨抵達,0,0,3,1,1,2,2,0,315,955,-0.7021,0.1276154,73,46356,47138.08,47284.363,43301.32732272132,54571.177790405,FRA
早晨班機,TPE,晚間抵達,0,0,1,1,2,0,2,1,95,975,-0.7021,0.1276154,30,21361,27108.816,27095.686,23094.980422215398,36151.9867735207,FRA
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,0,905,960,-0.7021,0.1276154,104,25271,22511.646,23997.848,22100.427730165437,26339.630507999984,FRA
晚間班機,TPE,早晨抵達,1,0,2,0,1,2,1,1,0,925,-0.7021,0.1276154,82,28656,27822.729,27952.414,24170.950616537793,33133.67006945857,FRA
早晨班機,TPE,晚間抵達,1,1,1,1,1,0,2,0,125,980,-0.7021,0.1276154,30,23303,27113.21,25128.598,22931.647837192962,27894.18423548639,FRA
早晨班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,825,960,-0.7021,0.1276154,24,20578,21100.27,21008.264,20014.893307128877,21863.79691888636,FRA
晚間班機,TPE,早晨抵達,1,0,2,0,1,0,1,1,0,925,-0.7021,0.1276154,79,21993,22579.656,22831.955,21077.86127330087,25309.49905962513,FRA
下午班機,TSA,下午抵達,1,0,1,1,1,2,2,1,825,1005,-0.7021,0.1276154,77,47615,52448.805,51222.812,40944.578027653784,61882.048360998844,FRA
下午班機,TSA,凌晨抵達,1,1,2,1,1,0,2,1,365,805,-0.7021,0.1276154,84,28637,24780.37,23622.242,20542.608938886475,27805.721115033,FRA
下午班機,TPE,早晨抵達,1,0,1,1,2,0,2,1,95,1090,-0.7021,0.1276154,95,26518,29239.441,27421.42,25557.147847802647,30930.80935520091,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,825,965,-0.7021,0.1276154,103,30055,32269.457,33146.227,28338.106122037534,37596.625420285956,FRA
下午班機,TSA,下午抵達,1,1,1,1,1,2,2,1,1030,1070,-0.7021,0.1276154,96,43108,41075.71,38932.176,34249.21973717178,45600.67090173329,FRA
早晨班機,TPE,晚間抵達,1,0,1,1,2,0,2,1,145,975,-0.7021,0.1276154,27,22886,23587.73,25207.951,22664.22582060963,27607.62710838418,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,65,965,-0.7021,0.1276154,93,36027,33907.152,31607.256,28366.41067945412,34825.97474832189,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,380,955,-0.7021,0.1276154,85,19581,21464.129,20799.352,19991.21307010067,21590.860879788906,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,0,670,995,-0.7021,0.1276154,94,31864,34867.867,35667.535,32487.984675073087,44690.714118817625,FRA
晚間班機,TPE,早晨抵達,1,1,3,1,1,2,2,0,0,1010,-0.7021,0.1276154,85,31836,34097.473,32410.348,27692.20872197941,39073.381523555036,FRA
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,200,1035,-0.7021,0.1276154,85,33770,33477.004,31036.836,29264.798419664956,33722.256066196016,FRA
晚間班機,TPE,晚間抵達,1,1,5,1,2,0,1,0,580,1020,-0.7021,0.1276154,64,30400,29124.305,28317.438,26207.745045541178,31629.421808130868,FRA
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,0,500,1035,-0.7021,0.1276154,109,28393,32714.059,29613.139,26891.052011169297,32904.57329953587,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,150,995,-0.7021,0.1276154,92,32442,32341.893,32536.736,29922.48754923837,39199.90048468047,FRA
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,1,120,970,-0.7021,0.1276154,90,98682,86832.44,81639.875,56015.181672884624,107912.4135703034,FRA
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,0,185,950,-0.7021,0.1276154,94,23961,28066.156,26811.28,25497.814586724988,28351.278411838965,FRA
下午班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,180,1105,-0.7021,0.1276154,90,39339,36760.77,35948.383,33530.95950762746,37810.771830683116,FRA
下午班機,TPE,下午抵達,1,1,2,1,1,0,2,1,1175,980,-0.7021,0.1276154,87,26484,26112.332,25828.664,23767.018062705047,28394.457134285287,FRA
早晨班機,TPE,早晨抵達,1,0,1,1,1,0,2,1,820,945,-0.7021,0.1276154,26,18648,21737.627,22403.635,20313.905952445697,24557.737825332624,FRA
下午班機,TPE,早晨抵達,0,0,3,1,1,2,2,1,465,950,-0.7021,0.1276154,83,30529,33414.33,33470.17,31320.04790524279,35468.32783455113,FRA
晚間班機,TPE,早晨抵達,0,0,3,1,1,2,2,1,250,945,-0.7021,0.1276154,64,51466,45711.03,42348.88,38418.21538354971,47264.05747505732,FRA
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,0,405,965,-0.7021,0.1276154,68,35708,27609.81,27329.936,25001.784017332735,29456.733744229157,FRA
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,185,950,-0.7021,0.1276154,86,23640,27918.977,26470.312,25570.037100121877,27529.456019607547,FRA
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,860,1060,-0.7021,0.1276154,90,74774,60466.652,60767.785,56149.99041204024,64999.69239834115,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,140,1035,-0.7021,0.1276154,84,27693,32886.043,30875.7,28325.731465094974,33630.64147328811,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,120,935,-0.7021,0.1276154,80,39478,34556.316,33961.977,30720.503678341858,37887.25866856653,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,0,660,1035,-0.7021,0.1276154,106,31569,33199.027,31503.97,28183.872184439137,34615.55720429221,FRA
下午班機,TSA,下午抵達,0,0,1,1,1,0,2,0,915,1060,-0.7021,0.1276154,87,104483,112173.875,112606.79,104815.43872241415,123491.35216830717,FRA
凌晨班機,TPE,下午抵達,1,1,2,1,1,0,1,1,260,955,-0.7021,0.1276154,11,27816,29928.178,31574.627,27275.437673931658,35821.27609942026,FRA
下午班機,TPE,凌晨抵達,0,0,2,1,1,0,2,1,600,835,-0.7021,0.1276154,84,40180,28889.77,29079.51,26842.283759515547,31745.12384476337,FRA
下午班機,TPE,下午抵達,1,0,2,1,1,0,2,1,970,985,-0.7021,0.1276154,101,35383,32783.02,33029.06,30030.61893570159,36561.16363259827,FRA
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,2,0,895,980,-0.7021,0.1276154,109,24914,22540.025,22276.67,20655.995420999778,24350.636598566747,FRA
晚間班機,TPE,凌晨抵達,1,1,2,1,1,0,2,1,270,815,-0.7021,0.1276154,87,18612,20038.113,20340.76,18291.137097008555,22084.430908626324,FRA
晚間班機,TPE,晚間抵達,1,1,5,1,2,0,1,0,580,1020,-0.7021,0.1276154,102,23232,26651.838,26486.678,23212.008439863304,29876.136166799697,FRA
上午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,745,950,-0.7021,0.1276154,22,19389,20206.148,19637.744,18838.740945522455,20494.851942201156,FRA
上午班機,TPE,早晨抵達,1,0,1,1,1,0,2,1,715,945,-0.7021,0.1276154,21,19085,25607.549,24240.479,23165.13452727741,25369.39820545295,FRA
凌晨班機,TPE,晚間抵達,1,1,2,1,1,2,1,1,560,955,-0.7021,0.1276154,6,31387,38729.05,39449.645,29993.10701212945,48471.786914065495,FRA
下午班機,TSA,晚間抵達,1,0,1,1,2,0,2,0,1145,1045,-0.7021,0.1276154,102,49184,36694.6,36708.953,32428.59638894607,42807.43176327649,FRA
下午班機,TSA,凌晨抵達,0,0,2,1,1,0,2,1,505,820,-0.7021,0.1276154,94,33990,34766.258,36050.867,33485.00584329088,43960.949716722214,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,0,660,1035,-0.7021,0.1276154,109,28338,31097.873,30279.125,27465.62590030216,33129.62002752186,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,140,1035,-0.7021,0.1276154,90,28092,32313.928,30625.482,28334.7604663695,32899.623287571056,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,2,2,1,310,955,-0.7021,0.1276154,87,28422,25913.467,26052.906,24405.754906397116,28134.780502471418,FRA
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,0,120,970,-0.7021,0.1276154,106,114966,132793.66,101358.625,73063.62919686861,144562.0279429081,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,0,95,950,-0.7021,0.1276154,94,28133,30631.705,30014.701,27809.766814996,32248.575412438506,FRA
上午班機,TPE,早晨抵達,1,0,1,1,1,0,2,1,715,945,-0.7021,0.1276154,22,21939,25607.549,24242.027,22755.24669954035,25339.15906214124,FRA
下午班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,315,955,-0.7021,0.1276154,95,29700,27370.549,26886.1,25340.694270238684,28666.702390754028,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,310,955,-0.7021,0.1276154,101,19577,20467.324,19892.979,19308.640010990133,20496.85505409819,FRA
晚間班機,TPE,凌晨抵達,1,1,2,1,1,0,2,0,270,815,-0.7021,0.1276154,64,17957,25435.488,25805.568,22908.789487994574,28764.624223708764,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,0,120,950,-0.7021,0.1276154,108,35632,28369.014,30210.533,27667.289275729014,33421.47692237422,FRA
上午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,1205,1040,-0.7021,0.1276154,19,39165,37798.62,38010.6,36161.18413444466,39471.21005809574,FRA
下午班機,TSA,下午抵達,1,1,3,1,1,0,2,1,920,1025,-0.7021,0.1276154,102,39249,40089.785,39326.06,36714.21362665517,42152.26717234026,FRA
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,215,955,-0.7021,0.1276154,61,21893,23658.744,23122.727,21892.260542728232,24550.452035981874,FRA
早晨班機,TSA,下午抵達,1,0,1,1,1,0,2,1,1415,1060,-0.7021,0.1276154,39,147291,72178.445,78125.21,55202.052625004864,105790.32085751202,FRA
晚間班機,TPE,早晨抵達,1,1,5,1,2,0,1,0,1305,1030,-0.7021,0.1276154,108,21842,26134.033,26208.688,22354.46060225464,30612.956622394424,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,785,965,-0.7021,0.1276154,86,84315,55069.918,41324.945,32680.498125033275,61021.54679297045,FRA
下午班機,TSA,下午抵達,0,0,3,1,1,0,2,0,1035,1035,-0.7021,0.1276154,90,160373,160466.16,159780.2,146619.86338980592,167932.57053527632,FRA
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,0,85,950,-0.7021,0.1276154,61,31614,31454.795,31906.607,29886.053396345804,35532.37797608477,FRA
下午班機,TPE,早晨抵達,1,1,1,1,1,2,2,1,300,1090,-0.7021,0.1276154,83,44059,39305.7,36563.047,33151.50182753985,41467.29628079629,FRA
晚間班機,TSA,晚間抵達,0,0,1,1,2,0,2,1,860,1035,-0.7021,0.1276154,83,58297,37406.3,37034.082,32445.51415272679,43285.15354405712,FRA
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,905,960,-0.7021,0.1276154,98,24469,23314.959,24163.455,22088.867076211845,26735.73458522671,FRA
晚間班機,TPE,凌晨抵達,1,1,2,1,1,0,2,1,270,815,-0.7021,0.1276154,89,15570,19675.52,20142.768,18234.191211928457,22477.832779407974,FRA
下午班機,TSA,凌晨抵達,1,1,1,1,1,2,2,1,315,1065,-0.7021,0.1276154,87,49750,39314.133,40999.707,34260.552598884475,47417.76178984033,FRA
上午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,675,965,-0.7021,0.1276154,16,19304,21579.113,20707.355,19767.880725644896,21952.023656443696,FRA
凌晨班機,TPE,下午抵達,0,0,1,1,2,0,2,1,350,1100,-0.7021,0.1276154,11,20932,31290.713,31642.664,26730.09116825619,35391.11240184214,FRA
上午班機,TSA,凌晨抵達,1,0,2,1,1,0,2,0,680,835,-0.7021,0.1276154,26,23673,26883.15,25552.78,21519.023805602377,29729.703518464154,FRA
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,395,950,-0.7021,0.1276154,92,25987,27177.285,28147.967,25943.17869360253,30109.356294415837,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,120,945,-0.7021,0.1276154,85,35758,34631.473,31429.127,29006.88895363666,34557.41915522609,FRA
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,355,1030,-0.7021,0.1276154,89,27040,37138.17,33328.875,30111.425315361063,39406.397700421694,FRA
下午班機,TPE,凌晨抵達,1,1,1,1,1,0,2,1,410,970,-0.7021,0.1276154,100,25488,23362.771,22772.674,21315.7578825371,24884.33857330882,FRA
下午班機,TSA,凌晨抵達,0,0,1,1,1,0,2,1,200,1055,-0.7021,0.1276154,88,104530,110559.53,106129.21,98663.30249977381,110393.40556597908,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,585,955,-0.7021,0.1276154,77,19922,21903.402,21280.54,20445.85654475808,22430.23949443835,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,2,1,1,635,965,-0.7021,0.1276154,78,40743,36153.09,37217.984,32897.73839956474,41534.99309298089,FRA
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,0,380,1035,-0.7021,0.1276154,63,31755,34408.133,32514.06,30158.429346692923,36216.6600986773,FRA
下午班機,TPE,早晨抵達,1,1,1,1,1,2,2,1,95,1090,-0.7021,0.1276154,73,58786,44470.438,41584.61,35816.0418891774,49827.662218082354,FRA
晚間班機,TPE,下午抵達,1,1,5,1,2,0,1,1,185,1020,-0.7021,0.1276154,88,23885,28253.154,28132.51,25557.754161955094,30981.83946574515,FRA
晚間班機,TPE,上午抵達,0,0,2,1,1,2,1,1,170,1040,-0.7021,0.1276154,64,53741,50712.73,43620.098,39115.03810964435,49264.10683431516,FRA
下午班機,TPE,下午抵達,1,1,1,1,1,2,2,0,750,995,-0.7021,0.1276154,83,40103,37534.05,38633.434,34516.62459329763,43737.910497591336,FRA
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,120,950,-0.7021,0.1276154,85,25562,27858.281,27241.615,26140.012352603153,29097.028954808226,FRA
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,1,170,1010,-0.7021,0.1276154,80,28129,31635.846,30434.826,28028.7373982927,34173.311401961735,FRA
上午班機,TPE,早晨抵達,0,0,1,1,1,0,2,0,715,945,-0.7021,0.1276154,25,27834,25511.287,25522.092,24277.235681124403,26839.03534777123,FRA
早晨班機,TPE,早晨抵達,1,0,1,1,1,2,2,0,885,945,-0.7021,0.1276154,23,48404,56000.625,50076.508,42464.762523649544,68547.52089245884,FRA
早晨班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,930,855,-0.7021,0.1276154,33,34993,29250.516,29483.396,26160.631991302285,34081.726069816854,FRA
晚間班機,TPE,早晨抵達,1,1,3,1,1,2,2,1,150,955,-0.7021,0.1276154,82,19538,25737.387,25690.008,24004.832099834297,27290.19029086717,FRA
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,150,955,-0.7021,0.1276154,92,19577,19989.555,19986.96,19205.098377432074,20463.868005083026,FRA
下午班機,TPE,晚間抵達,1,1,1,1,1,2,2,1,1190,980,-0.7021,0.1276154,77,26525,28587.924,28546.129,25294.268358995865,33513.16176343202,FRA
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,445,1040,-0.7021,0.1276154,92,23602,30381.146,30267.75,27153.724784933966,33602.070396540264,FRA
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,95,965,-0.7021,0.1276154,85,35733,34495.074,31641.457,28835.67285838159,35363.32556025934,FRA
上午班機,TSA,晚間抵達,0,0,1,1,2,0,2,0,1425,1035,-0.7021,0.1276154,29,30934,36583.1,45381.13,29356.90734507178,99873.7887898319,FRA
下午班機,TSA,凌晨抵達,0,0,2,1,1,0,2,1,505,820,-0.7021,0.1276154,86,47303,40222.023,37528.47,34614.51648758545,40996.99642113115,FRA
下午班機,TSA,下午抵達,0,0,3,1,1,0,2,1,845,1025,-0.7021,0.1276154,80,155285,152648.5,150226.16,143252.14287723013,159162.48241729508,FRA
上午班機,TPE,早晨抵達,1,0,1,1,1,0,2,0,715,945,-0.7021,0.1276154,26,25700,26317.719,25785.984,24395.83955871341,27022.1684614683,FRA
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,0,200,1035,-0.7021,0.1276154,108,28463,30105.092,29815.475,26141.695182582767,33063.856280008426,FRA
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,1,120,970,-0.7021,0.1276154,92,106304,87500.54,83561.91,57433.888502933056,110814.8369849072,FRA
下午班機,TPE,早晨抵達,1,0,1,1,1,0,2,1,315,940,-0.7021,0.1276154,87,24057,26811.227,26656.719,25133.895408595767,27925.51278723438,FRA
早晨班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,85,1090,-0.7021,0.1276154,29,24029,31410.967,32372.627,25081.036778682726,44262.15739479834,FRA
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,0,120,970,-0.7021,0.1276154,93,93542,93414.79,82100.06,55177.04630252406,113603.07196648323,FRA
晚間班機,TPE,早晨抵達,1,0,2,0,1,0,1,0,0,925,-0.7021,0.1276154,109,19282,20639.727,20802.686,18048.361740402164,25172.407729967334,FRA
下午班機,TSA,下午抵達,1,1,1,1,1,0,2,1,840,1060,-0.7021,0.1276154,106,31710,32243.74,33905.504,31237.183116110074,37640.03160165257,FRA
下午班機,TPE,下午抵達,1,1,1,1,2,0,2,1,755,1100,-0.7021,0.1276154,96,23089,27513.525,27243.096,24345.318990789325,29886.832237722017,FRA
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,2,0,895,980,-0.7021,0.1276154,102,22511,23966.924,23343.371,21872.291024007503,25708.65208789305,FRA
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,430,980,-0.7021,0.1276154,81,25587,33301.645,30705.441,27724.57892509683,35697.837067785906,FRA
晚間班機,TPE,晚間抵達,0,0,2,1,1,2,1,1,690,970,-0.7021,0.1276154,80,90756,68950.59,77864.125,51622.2786484372,104185.53716571667,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,530,955,-0.7021,0.1276154,87,21192,21675.023,20980.592,20161.716436105075,22064.375538725108,FRA
上午班機,TPE,早晨抵達,0,0,3,1,1,0,2,0,745,950,-0.7021,0.1276154,16,30382,28441.344,28487.14,26636.431460592383,30757.795940679625,FRA
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,1,170,1040,-0.7021,0.1276154,103,35957,30793.389,31437.25,27761.84766456831,36390.17087126845,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,2,2,1,530,955,-0.7021,0.1276154,73,40335,35946.188,31669.475,28471.225606683372,36223.72591460866,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,380,955,-0.7021,0.1276154,86,22517,21681.06,21101.637,20254.10776967196,22259.87490494978,FRA
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,635,965,-0.7021,0.1276154,91,25981,31423.463,31437.191,28708.733027999227,35310.42875389631,FRA
上午班機,TPE,下午抵達,1,1,3,1,1,2,2,1,1205,1040,-0.7021,0.1276154,20,60107,39924.383,41470.63,37036.41281415371,47732.6619356869,FRA
晚間班機,TPE,下午抵達,0,0,1,1,1,0,1,1,340,975,-0.7021,0.1276154,92,28985,34374.254,33692.438,29210.869453359308,39563.919275742956,FRA
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,1120,860,-0.7021,0.1276154,90,25800,37187.863,36615.457,31708.922180969013,44123.446022488984,FRA
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,215,955,-0.7021,0.1276154,86,19566,21316.451,20917.695,20211.446265548813,21609.96288847909,FRA
下午班機,TPE,早晨抵達,0,0,1,1,1,0,2,0,280,950,-0.7021,0.1276154,89,28252,28202.838,27358.96,26343.16015824829,28632.83423102585,FRA
下午班機,TSA,晚間抵達,0,0,1,1,2,0,2,1,1305,945,-0.7021,0.1276154,106,21706,23861.371,23828.646,21834.70964453006,26408.933195404927,FRA
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,860,1060,-0.7021,0.1276154,87,61380,60641.0,61535.027,57181.58342052685,67200.99424676537,FRA
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,0,395,965,-0.7021,0.1276154,109,25981,26160.99,27713.145,25233.526796636837,30309.675514403243,FRA
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,260,970,-0.7021,0.1276154,87,131432,81097.445,83072.36,52345.04809613195,108845.05714508121,FRA
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,215,945,-0.7021,0.1276154,95,26098,25945.367,25240.092,23956.15332915664,26448.00425248093,FRA
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,670,1030,-0.7021,0.1276154,89,32218,38743.867,35676.14,30772.649065950744,48411.47709791096,FRA
早晨班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,125,980,-0.7021,0.1276154,35,17144,22840.188,22453.537,20814.582141002953,24247.55249358878,FRA
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,585,955,-0.7021,0.1276154,99,20983,20600.355,20348.637,19302.355957470067,21830.712293215962,FRA
