出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
上午班機,TPE,早晨抵達,1,1,2,1,1,0,1,1,1010,1000,0.5468126,0.5891658,37,20881.0,22073.139,22932.32,21059.228586933456,24725.12613033152,JFK
下午班機,TSA,上午抵達,1,0,1,1,1,2,2,1,915,945,0.5468126,0.5891658,24,74691.0,92482.62,77322.6,63363.62287992025,95245.54587837812,JFK
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,0,1470,945,0.5468126,0.5891658,13,30020.0,36331.824,34060.03,28615.433131558693,41416.94960523988,JFK
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,935,1065,0.5468126,0.5891658,57,22853.0,23747.744,23297.732,21713.781478311208,26756.453470684577,JFK
上午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,930,1045,0.5468126,0.5891658,35,25027.0,26428.87,25934.605,23689.860610944557,29450.313769541575,JFK
晚間班機,TPE,下午抵達,1,0,2,1,1,2,1,1,867,1007,0.5468126,0.5891658,36,48882.0,42145.21,39967.926,36244.948917841626,46410.322108433225,JFK
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,65,1060,0.5468126,0.5891658,55,34010.0,30466.889,29617.178,27192.77407844982,33436.81509811297,JFK
上午班機,TSA,上午抵達,1,1,3,1,1,0,2,1,1305,945,0.5468126,0.5891658,39,33973.0,34989.99,35368.23,31352.36083801509,40919.239330053366,JFK
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,325,940,0.5468126,0.5891658,57,42937.0,48201.074,47644.273,39284.54608478214,57560.4657501411,JFK
上午班機,TSA,晚間抵達,1,0,1,1,1,0,2,0,605,930,0.5468126,0.5891658,32,86002.0,90363.76,82993.88,70650.85492012184,93260.4623428589,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,2,2,1,235,1055,0.5468126,0.5891658,52,26254.0,47177.203,45451.035,33827.196337453366,59087.40348598566,JFK
上午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,915,1060,0.5468126,0.5891658,29,25031.0,24964.85,24440.512,22642.20896653968,27887.886704959732,JFK
