出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,下午抵達,0,0,2,1,2,0,2,1,215,805,0.5468126,1.7011215,77,54315.0,57622.742,55514.656,45502.26237080444,64058.925655586136,LAX
早晨班機,TSA,下午抵達,1,0,1,1,1,0,2,1,600,770,0.5468126,1.7011215,46,68102.0,65383.926,63572.61,56733.86610488319,67569.24608425848,LAX
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,140,820,0.5468126,1.7011215,97,39333.0,38935.965,38718.785,37127.57338159955,39862.72897772901,LAX
晚間班機,TPE,早晨抵達,0,0,1,1,1,1,2,0,665,880,0.5468126,1.7011215,86,24388.0,25515.252,25286.207,24197.62400280098,27099.97235065322,LAX
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,965,816,0.5468126,1.7011215,94,39399.0,40758.926,38174.008,35724.05798755364,41538.576135713134,LAX
上午班機,TPE,下午抵達,1,0,1,1,1,0,2,0,495,880,0.5468126,1.7011215,67,23384.0,23929.924,24100.67,22770.52409922468,25624.17186525765,LAX
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,0,700,880,0.5468126,1.7011215,99,25007.0,24998.373,24569.096,23929.94180909641,25735.246485283034,LAX
上午班機,TSA,早晨抵達,1,0,3,1,1,0,2,1,1425,765,0.5468126,1.7011215,60,41431.0,47858.633,44644.75,34328.45995289673,55130.692746932684,LAX
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,947,749,0.5468126,1.7011215,101,19892.0,20233.492,20149.531,19285.552991767046,21565.761959690975,LAX
下午班機,TSA,上午抵達,1,1,1,1,1,0,2,0,1220,760,0.5468126,1.7011215,84,33145.0,36795.145,37240.0,32312.688345913622,42589.698561048615,LAX
凌晨班機,TPE,上午抵達,0,0,5,1,0,0,1,1,775,741,0.5468126,1.7011215,14,20249.0,22269.406,21867.127,21013.39777134479,24721.405380353597,LAX
晚間班機,TPE,下午抵達,0,0,2,1,1,1,1,1,985,801,0.5468126,1.7011215,82,34721.0,36653.75,34035.16,30754.118426124387,39002.654745081265,LAX
晚間班機,TPE,下午抵達,0,0,1,1,1,2,1,0,967,753,0.5468126,1.7011215,103,36121.0,41667.105,36268.887,32177.60665967239,41218.33736950304,LAX
上午班機,TSA,上午抵達,0,0,1,1,1,0,2,1,250,760,0.5468126,1.7011215,68,74552.0,73809.14,72506.44,68147.93745394437,75852.20351047356,LAX
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,1,1380,770,0.5468126,1.7011215,72,32602.0,26560.135,26005.59,22316.701531137584,41061.54935098517,LAX
下午班機,TPE,上午抵達,1,1,1,1,2,0,2,1,1090,800,0.5468126,1.7011215,81,26016.0,24624.293,24969.875,22927.88864467683,29180.02954813521,LAX
晚間班機,TSA,上午抵達,0,0,3,1,1,0,2,1,1135,750,0.5468126,1.7011215,97,55367.0,40650.5,40418.633,38298.413044924644,42863.018810441856,LAX
早晨班機,TPE,上午抵達,1,0,1,1,1,1,2,1,245,775,0.5468126,1.7011215,40,67714.0,67216.14,67023.66,63751.88842503409,71195.53051730095,LAX
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,0,390,765,0.5468126,1.7011215,49,29194.0,30869.016,30450.795,27870.45521741213,33679.73388998654,LAX
晚間班機,TPE,上午抵達,1,0,2,1,1,0,1,1,145,1635,0.5468126,1.7011215,100,57270.0,54341.758,55546.75,50286.932666279485,58902.742714201384,LAX
下午班機,TPE,上午抵達,1,1,3,1,1,0,2,0,1110,885,0.5468126,1.7011215,74,15615.0,18229.01,18992.723,17210.24886537422,21407.171157393837,LAX
上午班機,TPE,上午抵達,1,1,1,1,1,0,1,1,85,778,0.5468126,1.7011215,65,16732.0,17288.678,16957.225,16241.06102620469,17675.401589736477,LAX
晚間班機,TPE,上午抵達,0,0,2,1,0,2,1,1,765,810,0.5468126,1.7011215,91,32760.0,32078.08,33691.344,31008.09027155833,38580.25137726186,LAX
晚間班機,TPE,上午抵達,0,0,1,1,1,0,1,1,800,805,0.5468126,1.7011215,97,25212.0,24503.762,24840.258,22973.416505033918,28418.39512279719,LAX
下午班機,TPE,晚間抵達,1,1,1,1,1,0,1,0,495,777,0.5468126,1.7011215,82,19709.0,19624.562,19491.084,18462.643385112264,20597.207614820385,LAX
晚間班機,TPE,早晨抵達,0,0,5,1,1,0,2,1,550,900,0.5468126,1.7011215,100,39912.0,33168.52,32393.506,29456.629097676803,35819.05046314119,LAX
晚間班機,TSA,下午抵達,0,0,1,1,1,0,2,1,1285,770,0.5468126,1.7011215,101,73560.0,74305.79,72773.84,69338.23328964411,75456.9498083274,LAX
早晨班機,TPE,下午抵達,1,0,1,1,1,0,2,1,725,880,0.5468126,1.7011215,44,22573.0,22190.729,21872.758,20843.29497481216,22927.485207754984,LAX
下午班機,TPE,下午抵達,1,0,1,1,1,0,2,0,405,875,0.5468126,1.7011215,72,23095.0,24068.076,23612.242,22253.999850988952,24911.144035073154,LAX
早晨班機,TSA,下午抵達,1,0,1,1,1,0,2,1,825,770,0.5468126,1.7011215,38,67867.0,64090.96,60978.93,53457.34719090003,66477.78461210249,LAX
上午班機,TPE,晚間抵達,1,1,5,1,1,2,2,1,595,885,0.5468126,1.7011215,67,46106.0,44386.836,42402.59,35230.6816629105,51592.67175546394,LAX
上午班機,TSA,上午抵達,0,0,1,1,1,0,2,0,250,760,0.5468126,1.7011215,60,81292.0,84711.56,84539.336,80370.29200683742,90909.46808955418,LAX
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,60,880,0.5468126,1.7011215,94,15435.0,16329.774,15915.958,15497.119209165872,16397.527967923448,LAX
下午班機,TSA,下午抵達,1,1,1,1,1,0,2,0,440,780,0.5468126,1.7011215,72,22787.0,30714.52,31818.242,26090.194871938398,39677.2916907527,LAX
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,1380,770,0.5468126,1.7011215,72,20017.0,50777.63,41705.31,24282.583577753958,83754.3882228418,LAX
早晨班機,TPE,上午抵達,0,0,3,1,1,0,2,1,375,750,0.5468126,1.7011215,42,32670.0,41466.0,41938.68,34331.05217092378,50085.163082197665,LAX
早晨班機,TSA,上午抵達,1,0,1,1,1,2,2,1,355,760,0.5468126,1.7011215,40,68266.0,65036.78,66878.586,60000.08187178889,76751.4972773627,LAX
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,0,600,885,0.5468126,1.7011215,91,24372.0,26617.217,26477.156,24930.463270955814,33770.10615697736,LAX
早晨班機,TPE,上午抵達,0,0,3,1,1,0,2,0,375,750,0.5468126,1.7011215,47,47607.0,46653.938,45249.75,37711.37677976701,56529.72758705705,LAX
上午班機,TSA,上午抵達,1,1,3,1,1,0,2,1,185,760,0.5468126,1.7011215,59,60928.0,40539.93,39667.1,33089.975212605605,47490.08512369912,LAX
凌晨班機,TPE,晚間抵達,0,0,5,1,1,0,1,1,185,728,0.5468126,1.7011215,18,20533.0,24187.596,23418.518,21552.7429582682,25775.482813830473,LAX
晚間班機,TPE,凌晨抵達,0,0,2,1,0,0,1,1,190,807,0.5468126,1.7011215,83,35876.0,32485.947,33087.543,28421.335933865794,38482.04108228675,LAX
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,1,1380,770,0.5468126,1.7011215,60,35415.0,25797.521,26722.568,23273.905777853746,34375.52767108227,LAX
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,0,475,846,0.5468126,1.7011215,69,18030.0,19143.793,18236.922,17237.710731637315,19924.852491722162,LAX
早晨班機,TPE,上午抵達,1,0,1,1,1,0,2,1,300,775,0.5468126,1.7011215,45,67797.0,68307.94,65894.61,61153.60735184198,72565.52293658744,LAX
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,0,160,875,0.5468126,1.7011215,104,19540.0,18474.215,18153.504,17340.582228932264,19294.77703244094,LAX
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,580,875,0.5468126,1.7011215,92,142225.0,114881.125,100107.555,64771.52768747274,129903.62448160195,LAX
上午班機,TPE,晚間抵達,0,0,1,1,1,0,1,1,600,759,0.5468126,1.7011215,60,19763.0,20152.395,21286.75,19557.732002517943,26002.52653907,LAX
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,710,880,0.5468126,1.7011215,99,30501.0,24239.322,24259.812,23495.854262141464,25048.543260232927,LAX
晚間班機,TPE,晚間抵達,1,1,3,1,1,2,2,1,170,875,0.5468126,1.7011215,96,22402.0,26176.09,26838.5,24138.79235255065,30869.753929100505,LAX
晚間班機,TPE,晚間抵達,0,0,5,1,1,0,1,0,294,800,0.5468126,1.7011215,103,22933.0,25145.883,24587.262,23216.36000278799,25724.61008820061,LAX
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,0,60,880,0.5468126,1.7011215,98,21161.0,19020.584,19356.262,17827.705594391417,20485.58759241087,LAX
早晨班機,TPE,下午抵達,1,1,3,1,1,0,2,0,370,890,0.5468126,1.7011215,42,17211.0,17475.924,17154.57,16227.773645514575,18403.210417412072,LAX
下午班機,TPE,晚間抵達,1,1,5,1,1,0,2,0,270,905,0.5468126,1.7011215,83,32073.0,28751.459,28583.371,26264.997022420408,30921.761899605368,LAX
晚間班機,TPE,下午抵達,1,1,1,1,1,0,2,1,475,1615,0.5468126,1.7011215,105,44975.0,45553.535,46355.01,43463.831027454384,48640.934480032956,LAX
上午班機,TPE,下午抵達,0,0,1,1,1,0,1,1,375,752,0.5468126,1.7011215,70,19861.0,20010.23,20114.434,19424.72188627448,20957.872812737536,LAX
下午班機,TPE,下午抵達,0,0,1,1,1,0,2,1,395,885,0.5468126,1.7011215,77,24311.0,24295.656,24295.285,23224.423231970166,25748.220029501023,LAX
上午班機,TSA,上午抵達,1,1,3,1,1,0,2,0,230,750,0.5468126,1.7011215,58,33255.0,34394.812,36983.645,30688.623162391945,49267.5449255763,LAX
早晨班機,TPE,下午抵達,1,0,1,1,1,0,2,1,460,785,0.5468126,1.7011215,34,24063.0,25918.385,24937.816,22918.625052337367,26818.393190294006,LAX
晚間班機,TPE,凌晨抵達,0,0,2,1,1,0,1,1,225,756,0.5468126,1.7011215,85,114140.0,109613.7,102194.625,86006.34936262167,115955.41729402797,LAX
下午班機,TSA,上午抵達,1,1,1,1,1,0,2,0,1220,760,0.5468126,1.7011215,69,32077.0,34118.49,31777.303,26829.02252566803,38329.33494315384,LAX
晚間班機,TPE,晚間抵達,0,0,1,1,1,0,1,1,186,793,0.5468126,1.7011215,96,22989.0,25073.56,23705.316,22196.604114859754,27069.888743341504,LAX
下午班機,TPE,下午抵達,1,0,1,1,1,0,2,1,405,875,0.5468126,1.7011215,78,23180.0,24126.357,23808.34,22702.71414273674,25370.072047857535,LAX
上午班機,TPE,下午抵達,1,1,1,1,1,0,1,1,245,780,0.5468126,1.7011215,60,16685.0,17325.057,17029.184,16643.86634958882,17511.276775801805,LAX
下午班機,TPE,晚間抵達,1,1,1,1,1,0,1,0,330,777,0.5468126,1.7011215,84,20861.0,19432.246,18859.836,17862.59240347544,20315.37502425293,LAX
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,1,250,850,0.5468126,1.7011215,61,17271.0,17603.023,17468.576,16957.74055225723,18252.4024315161,LAX
下午班機,TSA,下午抵達,1,0,1,1,1,2,2,0,1400,770,0.5468126,1.7011215,49,26228.0,34487.74,33149.45,27212.800554905545,47545.95387185296,LAX
晚間班機,TPE,晚間抵達,0,0,1,1,0,0,1,1,125,794,0.5468126,1.7011215,102,24288.0,24045.82,23064.273,21517.94380488234,25923.04380694829,LAX
晚間班機,TPE,上午抵達,1,1,2,1,1,0,2,1,1005,820,0.5468126,1.7011215,99,18367.0,23440.975,23125.197,20379.23656205536,26583.109111035854,LAX
晚間班機,TPE,晚間抵達,0,0,1,1,1,2,1,1,423,748,0.5468126,1.7011215,99,33946.0,33958.51,32215.062,29903.62537270057,34570.59312119123,LAX
上午班機,TPE,早晨抵達,1,0,1,0,1,0,0,1,0,700,0.5468126,1.7011215,60,20768.0,21670.021,21429.541,20643.684592117723,22228.757591164886,LAX
晚間班機,TPE,晚間抵達,0,0,2,1,1,2,1,1,181,803,0.5468126,1.7011215,91,34808.0,35092.582,33729.6,31818.216382292594,36891.40982853911,LAX
上午班機,TPE,晚間抵達,0,0,1,1,1,0,1,1,648,761,0.5468126,1.7011215,61,19735.0,20997.146,20748.256,19911.450069125283,22271.750208177004,LAX
晚間班機,TPE,晚間抵達,0,0,5,1,0,0,1,1,290,800,0.5468126,1.7011215,99,23657.0,23513.656,22872.035,21601.069005428246,24012.247956877432,LAX
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,710,880,0.5468126,1.7011215,77,24858.0,26942.107,26569.078,25044.155812957397,32316.619259493003,LAX
凌晨班機,TPE,上午抵達,0,0,5,1,1,0,1,1,750,740,0.5468126,1.7011215,16,20360.0,21337.707,21469.268,20584.279549378844,22772.801743402957,LAX
早晨班機,TPE,下午抵達,1,1,3,1,1,0,2,0,370,890,0.5468126,1.7011215,41,16593.0,17376.555,17103.812,16031.913958646186,18670.84294236505,LAX
早晨班機,TPE,下午抵達,1,0,1,1,1,0,2,1,460,785,0.5468126,1.7011215,44,32351.0,29128.861,29057.941,27033.779638124568,31430.329270447626,LAX
早晨班機,TPE,上午抵達,1,0,2,1,2,0,2,1,190,805,0.5468126,1.7011215,41,39570.0,50946.383,49462.133,44876.083696451424,56069.6002129712,LAX
早晨班機,TPE,上午抵達,1,0,1,1,1,0,2,1,290,780,0.5468126,1.7011215,39,22136.0,27574.838,27081.682,24663.688277319307,29992.63646999411,LAX
晚間班機,TPE,晚間抵達,0,0,1,1,1,0,1,1,216,803,0.5468126,1.7011215,94,22614.0,24988.48,26057.852,24153.58704700991,30328.046832464275,LAX
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,130,780,0.5468126,1.7011215,88,36905.0,36803.742,37133.605,32644.439307208853,41960.371079824705,LAX
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,710,880,0.5468126,1.7011215,87,24555.0,24308.75,24364.549,23522.2868784014,25705.757213071454,LAX
下午班機,TSA,上午抵達,1,1,1,1,1,0,2,1,1220,760,0.5468126,1.7011215,78,44102.0,36979.66,37121.848,33767.120733732576,41050.4371620594,LAX
凌晨班機,TPE,早晨抵達,0,0,5,1,1,2,1,1,730,743,0.5468126,1.7011215,13,23346.0,31553.014,32403.27,28788.58255087434,35855.98863125854,LAX
下午班機,TPE,下午抵達,1,1,1,1,1,0,1,1,220,777,0.5468126,1.7011215,85,16736.0,17334.826,17066.498,16428.523721132147,17632.594920906842,LAX
上午班機,TPE,下午抵達,0,0,1,1,1,0,1,1,600,746,0.5468126,1.7011215,59,25801.0,21444.139,21897.826,20251.62668175662,23078.08326994782,LAX
上午班機,TSA,上午抵達,1,1,3,1,1,0,2,1,185,760,0.5468126,1.7011215,58,35348.0,36249.277,35539.117,30410.8056250425,41426.205309984114,LAX
早晨班機,TSA,上午抵達,1,0,1,1,1,2,2,1,430,770,0.5468126,1.7011215,33,90865.0,95090.6,75225.875,44615.3890420407,106706.78668188868,LAX
早晨班機,TPE,上午抵達,1,0,1,1,1,1,2,0,245,775,0.5468126,1.7011215,40,69971.0,65578.39,66504.86,60110.42326892362,71870.06387066668,LAX
上午班機,TPE,下午抵達,1,1,1,1,1,2,1,0,240,782,0.5468126,1.7011215,43,38369.0,34719.938,34383.86,31832.225278154205,37677.76868057177,LAX
上午班機,TPE,凌晨抵達,1,1,1,1,1,0,1,1,960,776,0.5468126,1.7011215,59,18767.0,17921.459,17578.848,17092.785997040955,18510.617353443093,LAX
晚間班機,TPE,下午抵達,1,1,5,1,2,0,2,1,175,1575,0.5468126,1.7011215,99,51027.0,48486.695,46370.664,44101.52129644537,49319.78242937765,LAX
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,1,430,770,0.5468126,1.7011215,34,62970.0,49068.312,44446.184,30706.755594102793,62300.20561337198,LAX
早晨班機,TPE,上午抵達,1,0,2,1,2,0,2,0,190,805,0.5468126,1.7011215,47,39271.0,51374.18,49457.6,43773.43700415975,59702.59340417874,LAX
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,0,160,875,0.5468126,1.7011215,91,19372.0,18552.416,18309.49,17639.60593802885,19291.6144673173,LAX
早晨班機,TPE,上午抵達,1,0,2,1,1,0,2,0,140,840,0.5468126,1.7011215,47,28918.0,34709.44,34761.55,32761.261594945456,38209.63302287994,LAX
下午班機,TPE,晚間抵達,1,1,3,1,1,1,2,1,540,875,0.5468126,1.7011215,80,15472.0,15977.813,15769.049,15424.827137261713,16369.324116506355,LAX
