出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TSA,晚間抵達,1,0,3,1,1,0,2,1,1015,1070,-1.262158,1.0504261,112,155017.0,161065.33,136566.66,112667.16899272181,164163.7646519496,LHR
凌晨班機,TPE,晚間抵達,1,1,2,1,1,0,1,0,635,975,-1.262158,1.0504261,15,27797.0,29219.65,30291.516,27092.646787429105,36269.78764329076,LHR
早晨班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,745,1005,-1.262158,1.0504261,40,17409.0,20038.074,20224.945,16900.91670793126,26976.35696961677,LHR
早晨班機,TSA,下午抵達,1,0,1,1,1,0,2,1,1375,1050,-1.262158,1.0504261,41,157155.0,161108.81,128881.805,76500.41716515411,163643.48182994843,LHR
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,955,1005,-1.262158,1.0504261,104,26036.0,23658.947,22326.271,18588.38304886279,29486.235007864976,LHR
下午班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,1090,925,-1.262158,1.0504261,109,14989.0,17841.578,16438.045,14545.641667664857,18595.148037567113,LHR
早晨班機,TSA,下午抵達,1,0,2,1,1,0,2,0,1650,840,-1.262158,1.0504261,41,50263.0,88629.05,95721.414,54465.57206342456,145597.68534650828,LHR
凌晨班機,TPE,上午抵達,1,1,2,1,1,0,1,1,125,975,-1.262158,1.0504261,13,24392.0,24219.98,24918.346,22829.84797333943,29305.898970800703,LHR
下午班機,TPE,晚間抵達,1,0,1,1,1,0,2,0,1160,925,-1.262158,1.0504261,107,17144.0,28219.654,25484.488,20073.9283122352,34138.65199205032,LHR
晚間班機,TPE,早晨抵達,1,0,1,1,1,0,1,1,1430,1280,-1.262158,1.0504261,114,152097.0,171832.17,141192.06,113674.20131913357,167272.74275807288,LHR
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,820,1050,-1.262158,1.0504261,105,162543.0,108733.81,98224.38,67537.63760053937,140704.73160976436,LHR
晚間班機,TPE,上午抵達,1,0,1,1,1,2,1,0,185,1285,-1.262158,1.0504261,87,151918.0,179601.3,152493.97,126562.24699278412,178211.42232022996,LHR
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,80,1000,-1.262158,1.0504261,105,17621.0,23929.375,21881.271,18783.435481191027,26129.70644790432,LHR
早晨班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1375,900,-1.262158,1.0504261,44,36618.0,89405.484,87465.336,51942.95845327696,115525.40090714056,LHR
早晨班機,TPE,晚間抵達,1,1,1,1,1,0,2,0,90,1065,-1.262158,1.0504261,35,32507.0,35199.91,27851.11,24301.84124188888,32360.6462323642,LHR
早晨班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1375,900,-1.262158,1.0504261,44,35359.0,89405.484,87465.336,51942.95845327696,115525.40090714056,LHR
下午班機,TPE,早晨抵達,1,1,1,1,1,2,2,1,170,1140,-1.262158,1.0504261,51,44292.0,45798.87,40130.945,34692.26257796263,44850.345869472214,LHR
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,270,1010,-1.262158,1.0504261,115,18593.0,22339.732,20417.492,17479.49440495853,26144.97825937761,LHR
下午班機,TPE,早晨抵達,1,1,3,1,1,2,2,1,545,1010,-1.262158,1.0504261,63,27346.0,27411.562,26736.31,23350.702303333637,31544.293707243905,LHR
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,0,820,1050,-1.262158,1.0504261,111,161900.0,100372.94,98303.85,69519.14119155465,136869.0264723696,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,0,915,1020,-1.262158,1.0504261,99,25054.0,26348.736,24244.201,21805.58827822401,28241.16553822776,LHR
凌晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,390,1150,-1.262158,1.0504261,4,21144.0,32717.086,26934.092,22545.462927554378,32884.833387202285,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,505,1000,-1.262158,1.0504261,120,19063.0,21697.65,19993.9,17667.240215410748,26168.097375715104,LHR
上午班機,TSA,晚間抵達,1,0,3,1,1,0,2,0,1465,1070,-1.262158,1.0504261,35,66065.0,46428.68,49514.992,34418.29066457853,82545.23771922963,LHR
早晨班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,745,1005,-1.262158,1.0504261,41,17212.0,20051.572,19904.973,16918.06142551674,25895.670642480512,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,2,1,1,470,1015,-1.262158,1.0504261,72,39592.0,37538.457,31573.783,26474.792174143025,37610.82165368762,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,1060,1015,-1.262158,1.0504261,126,17340.0,23140.816,20215.283,17140.025603389142,25465.180645792436,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,0,855,1015,-1.262158,1.0504261,92,17818.0,25362.746,21825.81,18959.910595880363,26993.555569733227,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,450,1000,-1.262158,1.0504261,97,23742.0,24241.033,22493.684,20069.602499757046,28557.630407178585,LHR
晚間班機,TSA,下午抵達,1,0,3,1,1,0,2,1,695,1035,-1.262158,1.0504261,107,67434.0,54472.41,51069.457,40508.90751509485,65579.94552727492,LHR
早晨班機,TSA,下午抵達,1,0,3,1,1,0,2,0,1365,1035,-1.262158,1.0504261,40,165226.0,166690.02,141286.08,84798.63700877967,173723.38688270305,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,0,545,1015,-1.262158,1.0504261,97,30305.0,28059.867,23808.111,21261.496139118553,28007.388607834713,LHR
下午班機,TPE,下午抵達,1,1,1,1,1,2,1,1,370,1320,-1.262158,1.0504261,51,101765.0,114523.31,99523.836,83527.29747579184,110817.70629426093,LHR
上午班機,TSA,下午抵達,1,1,3,1,1,0,2,1,1230,1035,-1.262158,1.0504261,30,39215.0,60442.438,51418.59,41239.86118449747,68793.28552923331,LHR
凌晨班機,TPE,上午抵達,1,1,2,1,1,0,1,1,125,975,-1.262158,1.0504261,15,24343.0,23711.604,24545.652,21723.275963039832,28102.836600122908,LHR
