出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,0,130,670,-0.389354,-1.56618,33,23976.0,16551.99,16292.113,14994.898253332283,19824.554493025662,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,295,645,-0.389354,-1.56618,79,27600.0,26251.314,25525.475,24506.453118869234,26558.73237785916,SYD
早晨班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,1290,750,-0.389354,-1.56618,32,121508.0,116492.89,101423.414,79555.59720105043,119659.42406679451,SYD
凌晨班機,TPE,晚間抵達,1,1,4,1,1,0,2,1,220,745,-0.389354,-1.56618,2,18604.0,14080.593,13919.006,7839.207899894021,14113.485832475437,SYD
下午班機,TPE,上午抵達,1,1,1,1,2,0,2,0,360,760,-0.389354,-1.56618,104,21401.0,24103.635,23161.24,19427.805289228374,28939.65475540817,SYD
下午班機,TPE,上午抵達,0,0,5,1,1,0,2,0,290,690,-0.389354,-1.56618,106,62485.0,65422.098,59463.54,53266.81911603444,67450.44272285467,SYD
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,715,750,-0.389354,-1.56618,109,119040.0,94469.625,80905.87,53957.21311075654,104830.94877951124,SYD
早晨班機,TPE,早晨抵達,1,0,2,1,1,0,2,1,445,755,-0.389354,-1.56618,34,42584.0,46933.973,46292.367,41912.63638654632,50809.999922569565,SYD
下午班機,TPE,下午抵達,1,1,2,1,1,0,2,0,430,745,-0.389354,-1.56618,102,20380.0,20751.025,19174.418,15751.658194971,27607.62776662516,SYD
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,510,670,-0.389354,-1.56618,93,17384.0,17492.916,17039.467,16000.560799614343,18356.0719418631,SYD
早晨班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,625,665,-0.389354,-1.56618,39,42807.0,41565.977,40799.566,33691.977218567845,51063.733929291215,SYD
早晨班機,TPE,上午抵達,1,0,2,1,1,2,2,1,570,765,-0.389354,-1.56618,43,40407.0,43375.594,42235.703,38628.30105557397,46609.99923709294,SYD
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,735,750,-0.389354,-1.56618,96,121405.0,113201.586,102012.44,78802.76230002809,124577.46652527418,SYD
凌晨班機,TPE,晚間抵達,1,1,4,1,1,0,2,1,290,745,-0.389354,-1.56618,5,19191.0,9523.5205,9669.766,6782.119045006601,12698.636033814504,SYD
下午班機,TPE,晚間抵達,1,1,5,1,1,0,2,1,900,705,-0.389354,-1.56618,102,39562.0,36964.18,34952.8,24696.241364957445,42701.4083037589,SYD
上午班機,TPE,上午抵達,1,1,3,1,1,0,2,1,500,690,-0.389354,-1.56618,40,16087.0,18422.803,18212.656,16635.09879206735,19546.93136486911,SYD
晚間班機,TPE,上午抵達,1,1,3,1,1,0,2,1,1315,685,-0.389354,-1.56618,64,23041.0,18451.922,19291.354,17535.384977220485,21666.196137722633,SYD
上午班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,390,670,-0.389354,-1.56618,45,18531.0,21063.916,20858.35,19278.568101409066,22055.09744667467,SYD
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,360,670,-0.389354,-1.56618,105,14601.0,21669.299,20783.549,16206.444552843235,26026.06513831613,SYD
晚間班機,TPE,晚間抵達,1,1,3,1,1,2,2,0,560,675,-0.389354,-1.56618,34,51372.0,69615.9,65102.684,46989.47632097747,76543.72966025028,SYD
上午班機,TPE,早晨抵達,1,0,3,1,1,0,2,1,385,680,-0.389354,-1.56618,40,18973.0,19956.182,20072.81,19141.039106107455,21309.714854869115,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,0,310,645,-0.389354,-1.56618,91,28557.0,26403.75,25367.172,23983.45428717344,27142.652939186744,SYD
下午班機,TSA,下午抵達,1,1,2,1,1,0,2,1,325,715,-0.389354,-1.56618,108,17830.0,23771.584,22217.791,18427.890930362577,30976.73924178655,SYD
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,140,670,-0.389354,-1.56618,59,14532.0,14723.81,15003.137,14309.82781998065,15915.154960511756,SYD
下午班機,TPE,上午抵達,1,1,2,1,1,0,2,0,195,765,-0.389354,-1.56618,110,37285.0,32590.617,30016.963,23627.64519634108,37359.12619306692,SYD
早晨班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,610,665,-0.389354,-1.56618,35,83671.0,28667.4,27694.57,25109.654348738655,31081.540022599336,SYD
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,785,800,-0.389354,-1.56618,101,38755.0,27750.516,27709.418,24972.949987848915,30677.163259114568,SYD
上午班機,TPE,早晨抵達,0,0,3,1,1,0,2,0,455,665,-0.389354,-1.56618,27,48238.0,35629.152,35131.33,22356.314438212925,43039.59874178348,SYD
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,265,645,-0.389354,-1.56618,70,28852.0,23403.625,23093.725,22043.507419908543,24212.570790076075,SYD
凌晨班機,TPE,下午抵達,1,1,4,1,1,0,2,0,1265,745,-0.389354,-1.56618,5,6554.0,10655.159,10623.732,8260.734595642962,14140.131014943972,SYD
下午班機,TPE,下午抵達,1,1,2,1,1,0,2,0,435,740,-0.389354,-1.56618,100,16457.0,18670.152,19165.77,15891.659555712678,25023.41855687315,SYD
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,715,750,-0.389354,-1.56618,97,119199.0,92537.23,78259.51,53195.19972291418,104338.15654195705,SYD
上午班機,TPE,上午抵達,1,0,2,1,1,0,2,1,540,745,-0.389354,-1.56618,42,33486.0,32902.766,31146.936,29424.289363282693,33742.798729058886,SYD
凌晨班機,TPE,晚間抵達,1,1,4,1,1,0,2,0,220,745,-0.389354,-1.56618,5,14745.0,11620.708,11410.454,6725.612431146625,16725.288609592346,SYD
下午班機,TPE,晚間抵達,0,0,3,1,1,2,2,0,855,660,-0.389354,-1.56618,64,82754.0,90644.36,91390.945,79459.04918213734,106357.84582220567,SYD
下午班機,TPE,下午抵達,1,0,2,1,1,0,2,1,340,745,-0.389354,-1.56618,98,21130.0,34198.63,36273.867,27165.965058457816,42321.4114919869,SYD
上午班機,TPE,上午抵達,1,1,3,1,1,0,2,0,500,690,-0.389354,-1.56618,44,25312.0,16834.018,16467.201,15289.220346122798,18875.837454628516,SYD
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,225,670,-0.389354,-1.56618,104,14679.0,17967.77,17602.855,16351.958395866532,20044.854814727296,SYD
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,565,670,-0.389354,-1.56618,110,22020.0,17358.666,16807.549,15535.56937317449,18699.182672123632,SYD
下午班機,TPE,下午抵達,1,1,1,1,1,0,2,1,730,755,-0.389354,-1.56618,96,21635.0,27587.201,26992.465,20026.32923853065,31793.266508686887,SYD
上午班機,TSA,上午抵達,0,0,2,1,1,0,2,1,405,765,-0.389354,-1.56618,36,16661.0,33048.184,31649.365,22487.468313989906,38508.03457837026,SYD
下午班機,TPE,上午抵達,1,1,3,1,1,0,2,0,205,680,-0.389354,-1.56618,91,18230.0,18980.61,18633.738,17062.479940040033,20452.191984754103,SYD
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,715,750,-0.389354,-1.56618,112,119030.0,86445.58,72681.04,50381.24228301428,98101.05231895628,SYD
下午班機,TPE,早晨抵達,1,1,2,1,1,0,2,0,175,755,-0.389354,-1.56618,102,24414.0,31049.627,29684.055,25970.395259051245,34444.042316826504,SYD
上午班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,390,670,-0.389354,-1.56618,37,20802.0,20587.766,20789.258,19632.70607749862,22503.54673313469,SYD
上午班機,TPE,上午抵達,0,0,1,1,1,0,1,1,645,625,-0.389354,-1.56618,34,19435.0,26883.021,28737.889,21715.874206355515,34931.91919268742,SYD
下午班機,TSA,上午抵達,1,1,1,1,1,0,2,0,125,755,-0.389354,-1.56618,100,117499.0,94497.65,77355.64,50649.97679626026,100873.68597966911,SYD
早晨班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,610,665,-0.389354,-1.56618,35,51626.0,28667.4,27694.57,25109.654348738655,31081.540022599336,SYD
上午班機,TPE,早晨抵達,0,0,3,1,1,2,2,1,455,665,-0.389354,-1.56618,19,47105.0,49545.176,48758.57,44387.94158980129,56949.468795589295,SYD
上午班機,TPE,早晨抵達,0,0,1,1,1,0,1,0,585,625,-0.389354,-1.56618,44,22767.0,29134.973,26411.055,21701.480812598904,34171.75928306868,SYD
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,565,670,-0.389354,-1.56618,110,14624.0,17358.666,16807.549,15535.56937317449,18699.182672123632,SYD
下午班機,TPE,晚間抵達,1,1,4,1,1,2,2,1,780,745,-0.389354,-1.56618,93,25382.0,24712.21,25563.7,22077.172450559956,31808.094085529716,SYD
下午班機,TPE,早晨抵達,0,0,5,1,1,0,2,1,95,715,-0.389354,-1.56618,86,68866.0,63506.133,68753.15,59465.63007738089,77137.67881900062,SYD
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,140,670,-0.389354,-1.56618,57,37317.0,17298.129,16892.045,15171.506351614318,19887.701115961827,SYD
上午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,725,665,-0.389354,-1.56618,27,14426.0,17692.852,17806.457,14686.281876440524,20663.85674233841,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,385,645,-0.389354,-1.56618,57,20554.0,23652.09,22930.855,20956.796489876135,25492.214866563583,SYD
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,0,700,755,-0.389354,-1.56618,36,120936.0,119095.21,103764.375,81939.81393214922,123618.23364004346,SYD
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,200,625,-0.389354,-1.56618,57,28099.0,34696.566,33428.383,24064.254697797143,40708.48630563847,SYD
上午班機,TPE,上午抵達,1,1,5,1,1,0,2,0,585,625,-0.389354,-1.56618,32,14256.0,23531.781,23134.99,17387.06762300841,25662.214101562044,SYD
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,130,670,-0.389354,-1.56618,66,14601.0,14856.744,15262.749,14600.764164075585,15931.012587333873,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,0,0,1,1,415,645,-0.389354,-1.56618,54,23557.0,21851.72,23151.125,21377.732050181516,25112.512033182615,SYD
上午班機,TPE,早晨抵達,1,0,3,1,1,0,2,1,455,665,-0.389354,-1.56618,47,18545.0,21677.94,22022.0,19395.465745699497,25198.636081664958,SYD
上午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,725,665,-0.389354,-1.56618,34,22582.0,15994.279,15740.305,14889.792661189076,17664.260167772114,SYD
下午班機,TPE,早晨抵達,1,1,1,1,2,0,2,1,180,760,-0.389354,-1.56618,96,24456.0,24589.865,24567.15,20286.3837813627,28922.78574862614,SYD
下午班機,TPE,上午抵達,1,1,3,1,1,0,2,1,205,680,-0.389354,-1.56618,99,19164.0,16351.297,15792.212,14977.118462896795,17071.90827378044,SYD
下午班機,TPE,上午抵達,0,0,5,1,1,0,2,0,385,630,-0.389354,-1.56618,97,19150.0,20575.91,21654.197,18893.4677378341,25217.82772693095,SYD
晚間班機,TPE,下午抵達,1,0,2,0,1,0,0,1,0,560,-0.389354,-1.56618,69,26174.0,17754.092,17443.121,15793.327409531143,19909.21981944688,SYD
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,510,670,-0.389354,-1.56618,106,19816.0,19521.297,19504.232,17087.770636875954,22413.6838455047,SYD
晚間班機,TPE,下午抵達,1,1,4,1,1,0,2,1,1385,745,-0.389354,-1.56618,55,15365.0,14513.3545,14929.569,10157.427748162107,18302.97849346918,SYD
下午班機,TPE,早晨抵達,1,0,1,1,2,0,2,1,75,770,-0.389354,-1.56618,109,29876.0,37150.57,34829.348,29655.450217157322,45158.54631853296,SYD
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,0,235,645,-0.389354,-1.56618,80,23481.0,25113.91,25147.057,23989.73842173394,26316.82981834514,SYD
下午班機,TPE,上午抵達,1,1,1,1,1,0,2,1,345,795,-0.389354,-1.56618,90,16393.0,19290.139,20803.398,17862.840705619266,22887.703399965038,SYD
晚間班機,TPE,上午抵達,1,1,5,1,1,0,2,1,1330,630,-0.389354,-1.56618,64,17426.0,15421.817,15535.947,14403.830216310524,19993.989757914656,SYD
早晨班機,TPE,上午抵達,1,1,1,1,1,0,2,1,720,795,-0.389354,-1.56618,35,26322.0,23838.672,23215.09,21345.616006141496,26225.765476026336,SYD
下午班機,TPE,上午抵達,1,1,3,1,1,0,2,1,205,680,-0.389354,-1.56618,110,23043.0,17194.537,16630.873,15273.933776895105,19238.05119233776,SYD
下午班機,TPE,上午抵達,0,0,5,1,1,0,2,1,290,690,-0.389354,-1.56618,104,62995.0,61084.746,60558.355,56681.2407618732,63512.00048984083,SYD
早晨班機,TPE,上午抵達,0,0,2,1,1,0,2,1,695,670,-0.389354,-1.56618,35,41007.0,31261.57,30718.328,26203.412588544663,34521.69113333445,SYD
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,200,625,-0.389354,-1.56618,77,22616.0,25484.05,25605.912,24617.408542615536,27195.96349960097,SYD
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,660,670,-0.389354,-1.56618,54,16172.0,16829.428,17161.066,16065.770382958086,18342.33916104481,SYD
上午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,440,665,-0.389354,-1.56618,34,19631.0,16105.364,15746.491,14843.070733264447,17082.23743778475,SYD
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,715,750,-0.389354,-1.56618,98,119650.0,108581.8,88078.91,57134.28830896582,116757.91867067489,SYD
下午班機,TSA,上午抵達,1,1,1,1,1,2,2,1,125,755,-0.389354,-1.56618,93,122946.0,109787.58,96202.98,71694.09691491287,120128.22284460849,SYD
下午班機,TPE,上午抵達,1,1,3,1,1,0,2,1,355,680,-0.389354,-1.56618,100,14439.0,14808.152,14822.734,13923.804707486202,15979.65224963848,SYD
下午班機,TPE,上午抵達,1,0,2,1,1,0,2,1,270,730,-0.389354,-1.56618,98,53861.0,40140.78,38137.906,33217.865989067905,46011.899063690784,SYD
早晨班機,TPE,早晨抵達,1,1,6,1,1,2,2,0,640,720,-0.389354,-1.56618,34,32053.0,43908.926,41148.52,32859.09103784719,50304.15864396907,SYD
下午班機,TSA,上午抵達,1,0,1,1,1,0,2,1,145,755,-0.389354,-1.56618,102,123842.0,126265.375,104389.195,82335.89192487932,124548.61751721984,SYD
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,225,670,-0.389354,-1.56618,102,14925.0,18298.701,17457.717,15694.448071877076,21136.814855075943,SYD
下午班機,TSA,早晨抵達,1,1,3,1,1,0,2,1,1430,745,-0.389354,-1.56618,89,57301.0,49018.27,49168.746,43031.575883277714,53808.61922690901,SYD
下午班機,TPE,早晨抵達,1,1,3,1,1,2,2,1,225,670,-0.389354,-1.56618,101,35638.0,37719.035,36245.785,34127.265064843756,40085.707042289934,SYD
下午班機,TPE,下午抵達,1,1,4,1,1,0,2,0,315,745,-0.389354,-1.56618,110,15669.0,16773.967,16753.12,13931.677827536098,20209.920138671238,SYD
下午班機,TPE,上午抵達,1,1,2,1,1,0,2,1,200,760,-0.389354,-1.56618,105,19543.0,24439.09,24196.709,19391.951923333974,32023.064847753347,SYD
上午班機,TPE,早晨抵達,0,0,3,1,2,0,2,1,310,765,-0.389354,-1.56618,32,44168.0,46031.48,39298.35,34793.29794965183,50592.9962350382,SYD
下午班機,TPE,早晨抵達,0,0,2,1,1,0,2,0,160,755,-0.389354,-1.56618,112,50603.0,58158.105,53811.496,39966.49437441147,64199.88606276244,SYD
早晨班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,560,665,-0.389354,-1.56618,34,20958.0,21368.479,21352.344,20021.15297467691,23179.606612490563,SYD
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,890,670,-0.389354,-1.56618,104,15908.0,17040.248,17178.277,15775.229098993443,18652.82220136885,SYD
早晨班機,TPE,上午抵達,1,1,3,1,1,0,2,0,650,685,-0.389354,-1.56618,29,15035.0,15069.146,15215.585,14443.009565870874,16978.331310050333,SYD
上午班機,TPE,下午抵達,0,0,1,1,1,0,1,0,825,625,-0.389354,-1.56618,45,19825.0,23963.793,24498.947,20990.479489792913,29107.33922816686,SYD
上午班機,TPE,上午抵達,1,1,4,1,1,0,2,0,605,670,-0.389354,-1.56618,32,10249.0,15990.771,15650.55,11515.905996539524,19958.98549630028,SYD
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,1185,675,-0.389354,-1.56618,58,15109.0,16069.2,15619.95,14700.099859913176,17316.68196468394,SYD
早晨班機,TPE,上午抵達,1,1,1,1,1,0,2,1,720,795,-0.389354,-1.56618,34,24262.0,22575.2,22238.229,20374.614207994196,24446.730752401218,SYD
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,0,205,645,-0.389354,-1.56618,77,27496.0,28798.0,27840.62,26122.96017919767,29341.374031134867,SYD
凌晨班機,TPE,下午抵達,1,1,4,1,1,0,2,0,1275,735,-0.389354,-1.56618,5,6701.0,16729.553,16572.652,9123.870734081434,19946.827531138748,SYD
凌晨班機,TPE,上午抵達,1,1,4,1,1,0,2,1,1110,660,-0.389354,-1.56618,2,12446.0,12705.103,12304.891,10668.715704397238,15687.741815068302,SYD
上午班機,TPE,上午抵達,0,0,6,1,1,0,2,1,435,735,-0.389354,-1.56618,42,42135.0,49019.484,47813.65,43238.153949208114,54201.96571145933,SYD
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,735,750,-0.389354,-1.56618,89,121951.0,107907.59,92047.67,66896.47132968863,115693.02905217308,SYD
下午班機,TSA,上午抵達,1,0,1,1,1,2,2,1,145,755,-0.389354,-1.56618,90,130320.0,120327.74,105150.664,85898.74309065506,124750.76936315585,SYD
早晨班機,TPE,早晨抵達,1,0,2,1,1,2,2,1,425,750,-0.389354,-1.56618,38,48058.0,49029.02,48281.035,43386.18654080859,55610.76904029292,SYD
上午班機,TPE,上午抵達,1,1,2,1,1,0,2,1,555,670,-0.389354,-1.56618,32,12328.0,20607.271,19639.504,15865.085310029108,26051.67287658192,SYD
下午班機,TPE,晚間抵達,0,0,5,1,1,0,2,1,945,690,-0.389354,-1.56618,104,60570.0,61736.06,60426.473,53136.892610590694,64729.57808427218,SYD
下午班機,TPE,早晨抵達,0,0,2,1,1,0,2,1,160,755,-0.389354,-1.56618,95,27316.0,32086.709,32871.56,27704.581410223633,39392.25350161768,SYD
下午班機,TSA,上午抵達,1,1,1,1,1,0,2,1,125,755,-0.389354,-1.56618,91,118726.0,121907.63,98125.32,65391.54517167794,129002.09087569035,SYD
上午班機,TPE,上午抵達,1,1,3,1,1,0,2,1,555,690,-0.389354,-1.56618,45,22797.0,18049.37,17507.605,15959.219267737022,19132.367991376155,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,390,625,-0.389354,-1.56618,69,20274.0,23128.02,22272.826,21103.207494536815,23756.254266929263,SYD
下午班機,TSA,晚間抵達,1,1,1,1,1,0,2,1,715,750,-0.389354,-1.56618,99,119721.0,97409.25,79971.51,53984.02196048742,104978.04091067468,SYD
下午班機,TSA,下午抵達,1,0,2,1,1,0,2,1,600,725,-0.389354,-1.56618,96,23285.0,25257.14,25749.441,22662.048189420762,30878.766289836345,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,0,310,645,-0.389354,-1.56618,80,23599.0,24844.807,24798.574,23221.16250227653,25728.372016338,SYD
早晨班機,TPE,早晨抵達,0,0,3,1,2,0,2,0,455,750,-0.389354,-1.56618,32,34761.0,35453.84,35718.73,33900.16480427135,38411.53018727513,SYD
下午班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,305,660,-0.389354,-1.56618,107,21114.0,30640.09,29680.6,23635.78589073987,40174.95590919506,SYD
下午班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,175,665,-0.389354,-1.56618,108,18446.0,17744.562,18338.71,16709.92287817531,20797.74910492803,SYD
下午班機,TPE,下午抵達,1,0,2,1,1,0,2,0,340,745,-0.389354,-1.56618,104,23504.0,24679.732,26050.322,20969.79601016364,31838.505559378937,SYD
下午班機,TPE,上午抵達,1,1,3,1,1,0,2,1,135,680,-0.389354,-1.56618,98,22759.0,17694.725,17628.963,15766.176256578045,22185.63848850984,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,290,625,-0.389354,-1.56618,64,25933.0,27224.188,27369.428,25590.00092374597,29520.926752851447,SYD
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,175,645,-0.389354,-1.56618,54,24040.0,23484.117,23437.734,21963.329932135002,24993.79976503896,SYD
下午班機,TPE,早晨抵達,0,0,3,1,1,2,2,1,175,665,-0.389354,-1.56618,101,45642.0,43522.74,42605.105,39984.89909663304,44568.88647389973,SYD
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,820,670,-0.389354,-1.56618,107,20304.0,22311.03,22173.805,19573.464384384548,28943.291968564172,SYD
下午班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,175,665,-0.389354,-1.56618,109,18510.0,19404.021,19277.45,17953.248159874933,21737.617988842143,SYD
下午班機,TPE,上午抵達,1,0,2,1,1,0,2,1,270,730,-0.389354,-1.56618,102,41714.0,43870.707,40569.56,34348.51688638057,47449.76605880537,SYD
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,0,735,750,-0.389354,-1.56618,112,126296.0,128995.43,109675.5,86637.87969987025,133514.0908433082,SYD
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,225,670,-0.389354,-1.56618,109,15941.0,17049.496,16621.31,15287.769152347857,19163.90424335858,SYD
下午班機,TPE,下午抵達,1,1,4,1,1,0,2,1,315,745,-0.389354,-1.56618,107,13177.0,16188.616,16894.012,14213.511476451202,19536.09523519961,SYD
