出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,1,265,1020,2.7842724,-2.49911,87,29143.0,25878.865,27396.326,24445.558027331605,31300.162987798907,ZRH
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,200,940,2.7842724,-2.49911,91,28745.0,26827.854,26624.426,23633.671001385206,29448.082344986266,ZRH
上午班機,TPE,早晨抵達,1,0,1,1,1,0,2,1,575,1080,2.7842724,-2.49911,9,28461.0,33848.06,31349.615,26585.272408117125,39450.65069751747,ZRH
上午班機,TPE,上午抵達,1,1,1,1,1,0,1,1,880,955,2.7842724,-2.49911,13,24587.0,23194.664,24853.314,21650.0593471725,26441.78291919634,ZRH
早晨班機,TPE,早晨抵達,1,0,1,1,1,0,2,1,870,940,2.7842724,-2.49911,24,28708.0,26315.26,28547.438,24966.708923686107,33143.944719362444,ZRH
凌晨班機,TPE,下午抵達,1,1,2,1,1,0,1,1,240,970,2.7842724,-2.49911,8,40848.0,32672.652,32805.508,29899.414798471047,35135.099036561325,ZRH
下午班機,TSA,晚間抵達,0,0,1,1,1,2,2,1,1285,965,2.7842724,-2.49911,40,31353.0,48000.836,45013.88,30134.152259501832,58745.39785137655,ZRH
早晨班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,940,950,2.7842724,-2.49911,27,29318.0,27745.303,30568.988,26608.763082786907,35742.548339332,ZRH
凌晨班機,TPE,上午抵達,1,1,2,1,1,0,1,0,70,975,2.7842724,-2.49911,8,46293.0,33798.51,33353.008,29837.85037792624,36463.89361605723,ZRH
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,0,90,985,2.7842724,-2.49911,59,40745.0,34904.4,35009.746,28608.73608121853,44273.872951552315,ZRH
下午班機,TPE,早晨抵達,1,1,5,1,1,0,2,1,465,975,2.7842724,-2.49911,24,30514.0,28335.97,25373.22,21909.37394748037,29840.7039944429,ZRH
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,140,955,2.7842724,-2.49911,89,21054.0,21307.346,20780.773,20231.447388876848,21337.31421604957,ZRH
下午班機,TSA,晚間抵達,0,0,1,1,1,0,2,1,1285,965,2.7842724,-2.49911,29,43565.0,30501.049,31761.818,27789.609795023054,35426.18263154534,ZRH
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,430,980,2.7842724,-2.49911,85,26473.0,23298.645,24087.848,21432.577105069988,27570.811246734585,ZRH
晚間班機,TPE,早晨抵達,1,1,3,1,1,2,2,0,175,955,2.7842724,-2.49911,54,38105.0,37291.246,38507.336,35824.95476613194,41624.595455484756,ZRH
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,555,955,2.7842724,-2.49911,46,21677.0,22659.605,22015.176,21247.61818911156,22785.654204752413,ZRH
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,1,90,985,2.7842724,-2.49911,83,26397.0,23408.693,24863.557,21499.00566064929,28781.29873962844,ZRH
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,0,130,980,2.7842724,-2.49911,89,26320.0,25259.428,25558.824,23115.892599064613,29401.546774394268,ZRH
晚間班機,TPE,晚間抵達,1,1,5,1,2,2,1,1,620,1010,2.7842724,-2.49911,81,48346.0,46093.992,45315.824,35686.44145068809,58035.38726650766,ZRH
晚間班機,TPE,上午抵達,0,0,2,1,1,2,1,0,85,965,2.7842724,-2.49911,88,61692.0,57460.582,58237.695,47717.6692228912,71183.44225086138,ZRH
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,1150,970,2.7842724,-2.49911,53,69712.0,30505.559,30146.465,27024.189007057546,34332.30701553709,ZRH
上午班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,700,940,2.7842724,-2.49911,13,29253.0,26013.13,28640.373,24960.023077319063,34910.704219359206,ZRH
早晨班機,TPE,早晨抵達,0,0,1,1,1,2,2,1,855,940,2.7842724,-2.49911,27,30118.0,34439.324,33302.375,29635.351641132955,37825.104836506085,ZRH
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,1,125,1010,2.7842724,-2.49911,89,26701.0,22953.633,24346.059,21494.434779087107,27893.53646188729,ZRH
早晨班機,TPE,早晨抵達,0,0,3,1,1,2,2,0,925,950,2.7842724,-2.49911,26,94591.0,63983.84,65427.965,44403.687873547664,83336.69463031573,ZRH
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,0,90,985,2.7842724,-2.49911,92,26551.0,23895.19,26650.594,23455.468833086514,30891.04243636409,ZRH
晚間班機,TPE,上午抵達,0,0,2,1,1,0,1,1,165,965,2.7842724,-2.49911,87,30777.0,25599.125,26643.656,23183.329688002606,31994.43826987662,ZRH
下午班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,265,945,2.7842724,-2.49911,60,27205.0,27056.615,27960.6,24868.630832394032,30541.093298536827,ZRH
晚間班機,TPE,早晨抵達,0,0,1,1,1,0,2,1,170,945,2.7842724,-2.49911,86,27654.0,26833.533,26309.738,23317.752729701853,29176.28397843408,ZRH
下午班機,TPE,早晨抵達,1,1,1,1,1,0,2,1,190,1095,2.7842724,-2.49911,48,42374.0,40348.19,39509.926,34592.99445146031,43993.853534782145,ZRH
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,140,955,2.7842724,-2.49911,87,20651.0,20535.094,20365.605,19569.56509781314,20868.912441251097,ZRH
晚間班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,270,950,2.7842724,-2.49911,83,28941.0,27567.842,27191.883,24312.20008938305,29668.259341565474,ZRH
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,0,1120,1040,2.7842724,-2.49911,46,103603.0,104779.18,101451.85,92899.1671944656,108003.67790538182,ZRH
上午班機,TSA,下午抵達,0,0,1,1,1,0,2,0,1335,970,2.7842724,-2.49911,15,28006.0,30499.361,34511.23,27181.852221519486,55582.46853714605,ZRH
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,0,85,945,2.7842724,-2.49911,92,34800.0,31428.916,31963.744,28347.24991094543,37003.676192532745,ZRH
