出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,19488,19370.334,19290.69,19004.8908225549,19472.879119282,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,8,19137,19600.602,19476.256,19120.630103933156,20006.821870479533,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,7,19557,20867.582,20564.492,19419.144102062677,21438.765383593032,BKK
上午班機,TPE,下午抵達,5,1,0,0,250,-1.882734,0.4139873,6,24483,23780.2,23343.861,22202.900223708413,24701.73103071341,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,9,21294,19465.021,19265.979,18191.37197167577,20569.156465095417,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,19000,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,19469,19370.334,19290.69,19004.8908225549,19472.879119282,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,10,18774,19383.398,19280.5,18093.2026854916,20372.824627022346,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,22373,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
下午班機,TPE,下午抵達,2,1,0,0,235,-1.882734,0.4139873,7,19465,19322.969,19277.154,18925.624148832885,19560.2605340602,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,20678,20763.062,20635.85,20319.811461768695,21001.655587704165,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,6,20562,22524.273,22395.836,21398.15818361261,23823.120835170044,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,9,21322,22092.746,22049.678,21525.259111627758,22618.335084980543,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,19586,19370.334,19290.69,19004.8908225549,19472.879119282,BKK
下午班機,TPE,下午抵達,1,1,2,1,235,-1.882734,0.4139873,7,17875,22698.494,22246.438,20478.551381819812,23829.194218018216,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16671,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,8,16758,20264.604,20095.26,19048.15373119762,21249.570740405194,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,20247,20763.062,20635.85,20319.811461768695,21001.655587704165,BKK
上午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,6,21294,22897.506,22682.871,22009.579905489536,23607.928825243816,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16623,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
下午班機,TPE,下午抵達,2,1,0,0,235,-1.882734,0.4139873,5,20008,19799.457,19629.73,19049.1456582235,20248.498471827777,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,17632,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,16926,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,16673,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,21290,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
早晨班機,TPE,上午抵達,2,1,0,0,230,-1.882734,0.4139873,9,20700,20531.744,20489.55,20185.026870080485,20903.571586991155,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,7,20677,20899.51,20761.953,20565.207405403627,20953.5293840782,BKK
