出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
上午班機,TSA,下午抵達,2,0,0,1,145,-0.059982,-2.39234,2,20625,20360.322,20274.984,18844.309734585324,21553.63456072459,GMP
上午班機,TSA,下午抵達,1,0,0,0,150,-0.059982,-2.39234,2,20981,21549.498,21732.92,20295.088663132083,22952.839532892893,GMP
下午班機,TSA,晚間抵達,1,0,0,1,150,-0.059982,-2.39234,1,23525,22171.16,21855.91,20450.892459850707,23152.30760041277,GMP
上午班機,TSA,下午抵達,2,0,0,0,145,-0.059982,-2.39234,2,20064,20127.809,20173.99,18705.139246134,21241.413165222133,GMP
上午班機,TSA,下午抵達,2,0,1,1,145,-0.059982,-2.39234,2,27196,21648.271,21380.18,19786.32904845109,23363.360614273068,GMP
上午班機,TSA,下午抵達,1,0,1,1,150,-0.059982,-2.39234,2,24505,23199.996,22815.652,21385.77727645413,24536.498863849665,GMP
下午班機,TSA,晚間抵達,1,0,2,1,150,-0.059982,-2.39234,3,22666,25046.41,25842.732,23880.220326432307,28050.19408584034,GMP
上午班機,TSA,下午抵達,2,0,0,1,145,-0.059982,-2.39234,2,21118,20360.322,20274.984,18844.309734585324,21553.63456072459,GMP
上午班機,TSA,下午抵達,2,0,0,1,145,-0.059982,-2.39234,2,21035,20360.322,20274.984,18844.309734585324,21553.63456072459,GMP
上午班機,TSA,下午抵達,2,0,2,1,145,-0.059982,-2.39234,2,21867,23003.818,23753.68,21270.738602452977,25996.917014094146,GMP
上午班機,TSA,下午抵達,2,0,0,1,145,-0.059982,-2.39234,2,19704,20360.322,20274.984,18844.309734585324,21553.63456072459,GMP
上午班機,TSA,下午抵達,1,0,0,1,150,-0.059982,-2.39234,2,20217,22002.035,21715.06,20457.139712172546,22869.896198890667,GMP
