出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
上午班機,TSA,下午抵達,3,1,0,1,170,-0.84717,0.7560275,4,32120,22135.360516692246,22167.76557249368,21208.151081431097,24161.57350912548,HND
下午班機,TSA,下午抵達,1,1,0,0,180,-0.84717,0.7560275,8,33809,16936.717729098014,17249.804469989962,16777.231928290545,18991.846426783988,HND
下午班機,TSA,晚間抵達,1,1,0,1,170,-0.84717,0.7560275,8,28201,19881.347909930482,19818.937729058664,18987.99249366642,20762.29128101996,HND
下午班機,TSA,晚間抵達,1,1,0,0,170,-0.84717,0.7560275,8,33747,19970.332796119194,20004.015428477316,18979.162949352594,21391.563411641637,HND
下午班機,TSA,晚間抵達,1,1,0,1,170,-0.84717,0.7560275,8,27369,19881.347909930482,19818.937729058664,18987.99249366642,20762.29128101996,HND
下午班機,TSA,晚間抵達,3,1,0,1,170,-0.84717,0.7560275,8,32151,19881.347909930482,19847.55937878392,18991.761484315302,20945.489611299567,HND
下午班機,TSA,晚間抵達,1,1,0,0,170,-0.84717,0.7560275,8,33808,19970.332796119194,20004.015428477316,18979.162949352594,21391.563411641637,HND
下午班機,TSA,晚間抵達,1,1,0,0,170,-0.84717,0.7560275,8,33746,19970.332796119194,20004.015428477316,18979.162949352594,21391.563411641637,HND
下午班機,TSA,晚間抵達,3,1,2,0,170,-0.84717,0.7560275,8,31244,21889.066870763134,22321.71345838517,19941.750615364523,34498.65687326917,HND
上午班機,TSA,下午抵達,3,1,0,0,170,-0.84717,0.7560275,4,32370,22063.887292338783,22066.775172889244,21097.070524750583,23967.269475653808,HND
下午班機,TSA,下午抵達,1,1,0,1,180,-0.84717,0.7560275,8,34132,16973.915942010794,17286.230142569366,16813.679556290055,18961.53864017432,HND
下午班機,TSA,晚間抵達,1,1,2,1,170,-0.84717,0.7560275,8,40966,22202.183541621533,22638.990368675833,20337.93198717582,31326.891515924777,HND
上午班機,TSA,下午抵達,3,1,0,1,170,-0.84717,0.7560275,4,34608,22135.360516692246,22167.76557249368,21208.151081431097,24161.57350912548,HND
下午班機,TSA,晚間抵達,1,1,0,1,170,-0.84717,0.7560275,8,33841,19881.347909930482,19818.937729058664,18987.99249366642,20762.29128101996,HND
下午班機,TSA,晚間抵達,1,1,1,1,170,-0.84717,0.7560275,8,26954,20605.909480367955,20478.138357752552,19357.158397775183,21570.887778440916,HND
上午班機,TSA,下午抵達,3,1,0,1,170,-0.84717,0.7560275,4,32334,22135.360516692246,22167.76557249368,21208.151081431097,24161.57350912548,HND
上午班機,TSA,下午抵達,2,1,0,0,170,-0.84717,0.7560275,4,27437,20529.455468380427,20299.09410604781,18817.529024939722,22832.747925188854,HND
下午班機,TSA,下午抵達,1,1,1,0,180,-0.84717,0.7560275,8,34214,16968.09363022532,17427.01729986216,16849.129906531332,19265.720205771297,HND
下午班機,TSA,晚間抵達,3,1,2,0,170,-0.84717,0.7560275,8,33813,21889.066870763134,22321.71345838517,19941.750615364523,34498.65687326917,HND
下午班機,TSA,晚間抵達,3,1,0,0,170,-0.84717,0.7560275,8,30706,19970.332796119194,20020.192604498454,18981.74189981813,21540.373011177962,HND
上午班機,TSA,下午抵達,3,1,0,0,170,-0.84717,0.7560275,4,30462,22063.887292338783,22066.775172889244,21097.070524750583,23967.269475653808,HND
下午班機,TSA,晚間抵達,3,1,1,0,170,-0.84717,0.7560275,8,33045,20645.4908478238,20532.07784849611,19400.720750103726,21963.886088331095,HND
上午班機,TSA,下午抵達,3,1,0,1,170,-0.84717,0.7560275,4,31016,22135.360516692246,22167.76557249368,21208.151081431097,24161.57350912548,HND
