出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
早晨班機,TPE,上午抵達,1,1,2,1,145,-0.059982,1.5913391,4,24347,24768.51,24974.09,23436.88072007267,26045.270288662854,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,20210,20272.182,20105.113,19788.00766552255,20329.641635141892,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,4,20236,20639.943,20611.459,20324.2202771686,21000.094331150172,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,20344,20272.182,20105.113,19788.00766552255,20329.641635141892,ICN
早晨班機,TPE,上午抵達,2,1,0,0,145,-0.059982,1.5913391,4,18523,18737.848,18631.693,18364.417078459577,18951.480585077003,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,18542,18521.92,18523.72,18345.366673395016,18656.071767812417,ICN
早晨班機,TPE,上午抵達,1,0,2,0,145,-0.059982,1.5913391,4,28693,24994.748,25065.408,22795.264069675653,26876.879777059563,ICN
早晨班機,TPE,上午抵達,2,1,2,1,145,-0.059982,1.5913391,3,18183,20942.19,21037.717,19720.539459696087,23313.67454626993,ICN
下午班機,TPE,下午抵達,2,1,1,0,145,-0.059982,1.5913391,12,18751,18629.81,18543.854,17887.913124127397,19202.798895755535,ICN
下午班機,TPE,下午抵達,2,1,0,0,145,-0.059982,1.5913391,12,18405,18130.596,18110.324,17710.969628551473,18669.262650679273,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,12,17523,17877.979,17804.59,17625.02314320495,18124.857959525525,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,15542,16055.873,15915.746,15397.611152760808,16528.889888497713,ICN
晚間班機,TPE,晚間抵達,2,1,0,0,150,-0.059982,1.5913391,4,19526,18525.912,18311.412,17906.488094000462,18771.952385855107,ICN
下午班機,TPE,晚間抵達,1,1,0,0,150,-0.059982,1.5913391,12,20212,20402.795,20267.754,20015.95991349464,20568.594929554074,ICN
下午班機,TPE,下午抵達,1,2,0,0,140,-0.059982,1.5913391,12,18577,15868.729,15848.612,15391.253747902918,16325.203400859336,ICN
下午班機,TPE,下午抵達,2,2,0,1,145,-0.059982,1.5913391,12,17261,18033.092,17982.582,17497.488009093915,18388.187097909526,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,2,18569,18087.695,18301.18,17727.204681174113,18871.937647296152,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,20208,20272.182,20105.113,19788.00766552255,20329.641635141892,ICN
下午班機,TPE,下午抵達,2,1,2,1,145,-0.059982,1.5913391,14,20370,20400.014,20135.777,19400.551950683224,21059.642333739084,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,18108,18490.414,18365.49,18200.135194811814,18535.351745622513,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,14741,15440.9795,15374.808,15089.252507421681,15961.802455209649,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,17817,18222.021,18078.537,17766.986036803253,18339.363745886167,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,12,17329,17877.979,17804.59,17625.02314320495,18124.857959525525,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,12,17558,17084.72,16941.867,16195.187926998862,17919.236594217466,ICN
晚間班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,4,18902,18778.209,18717.379,18192.51361103743,19678.14876101001,ICN
早晨班機,TPE,上午抵達,1,0,0,1,145,-0.059982,1.5913391,4,21057,21451.953,21242.418,20800.271803641615,21922.631361759217,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,14340,15440.9795,15374.808,15089.252507421681,15961.802455209649,ICN
下午班機,TPE,晚間抵達,1,1,2,1,150,-0.059982,1.5913391,12,25549,22589.629,22501.879,21053.06853723238,23383.96828329283,ICN
下午班機,TPE,下午抵達,1,2,2,1,140,-0.059982,1.5913391,12,20562,19295.695,18919.938,17812.543441384394,19909.61382154974,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,18121,18490.414,18365.49,18200.135194811814,18535.351745622513,ICN
下午班機,TPE,晚間抵達,1,1,2,1,140,-0.059982,1.5913391,12,21222,18358.38,18112.156,17467.299876770874,18996.261452436618,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,14734,15440.9795,15374.808,15089.252507421681,15961.802455209649,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,18415,18490.414,18365.49,18200.135194811814,18535.351745622513,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,5,18323,18317.297,18418.955,17955.959285204895,19268.517022961547,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,4,20184,20639.943,20611.459,20324.2202771686,21000.094331150172,ICN
早晨班機,TPE,上午抵達,1,0,0,1,145,-0.059982,1.5913391,4,20618,21451.953,21242.418,20800.271803641615,21922.631361759217,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,12,15398,17084.72,16941.867,16195.187926998862,17919.236594217466,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,14585,15440.9795,15374.808,15089.252507421681,15961.802455209649,ICN
下午班機,TPE,晚間抵達,1,1,2,1,150,-0.059982,1.5913391,12,21535,22589.629,22501.879,21053.06853723238,23383.96828329283,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,18359,18490.414,18365.49,18200.135194811814,18535.351745622513,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,15136,15440.9795,15374.808,15089.252507421681,15961.802455209649,ICN
下午班機,TPE,晚間抵達,1,1,2,0,150,-0.059982,1.5913391,12,20687,22294.078,21931.078,20799.40590873657,23398.02421399588,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,18156,18490.414,18365.49,18200.135194811814,18535.351745622513,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,11,15868,17073.352,16888.518,16218.022606115866,17853.02411444356,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,20080,20272.182,20105.113,19788.00766552255,20329.641635141892,ICN
下午班機,TPE,晚間抵達,1,1,1,1,150,-0.059982,1.5913391,12,21919,20646.44,20736.94,20073.25585735648,21265.70667116613,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,14460,16055.873,15915.746,15397.611152760808,16528.889888497713,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,8,17073,17805.336,17735.984,17317.184453886315,18105.92869580616,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,16996,18222.021,18078.537,17766.986036803253,18339.363745886167,ICN
晚間班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,4,18015,18778.209,18717.379,18192.51361103743,19678.14876101001,ICN
下午班機,TPE,晚間抵達,2,1,0,0,150,-0.059982,1.5913391,12,18390,18517.098,18495.846,18284.293933090437,18725.632513566612,ICN
早晨班機,TPE,上午抵達,2,1,1,1,145,-0.059982,1.5913391,4,20627,19372.496,19353.844,18802.872172901873,19998.925348647703,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,14512,16055.873,15915.746,15397.611152760808,16528.889888497713,ICN
下午班機,TPE,下午抵達,1,2,2,0,140,-0.059982,1.5913391,12,17713,19705.904,19372.162,18285.544731853333,20109.048807345203,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,18773,18521.92,18523.72,18345.366673395016,18656.071767812417,ICN
下午班機,TPE,晚間抵達,1,1,1,1,150,-0.059982,1.5913391,12,22265,20646.44,20736.94,20073.25585735648,21265.70667116613,ICN
早晨班機,TPE,上午抵達,1,1,0,0,145,-0.059982,1.5913391,4,20209,20699.871,20729.11,20331.772092342522,21355.09921084843,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,14774,15440.9795,15374.808,15089.252507421681,15961.802455209649,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,15990,16055.873,15915.746,15397.611152760808,16528.889888497713,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,18525,18521.92,18523.72,18345.366673395016,18656.071767812417,ICN
下午班機,TPE,下午抵達,1,2,1,1,140,-0.059982,1.5913391,12,16089,17135.275,17228.008,15302.495990883941,18616.26072228998,ICN
下午班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,11,20751,19664.395,19856.51,18790.766072042545,20888.658187452867,ICN
下午班機,TPE,晚間抵達,1,1,2,1,140,-0.059982,1.5913391,10,17043,17830.844,17724.941,17216.857559746957,18298.214489015427,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,17736,18222.021,18078.537,17766.986036803253,18339.363745886167,ICN
早晨班機,TPE,上午抵達,1,0,2,0,145,-0.059982,1.5913391,4,21427,24994.748,25065.408,22795.264069675653,26876.879777059563,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,14353,16055.873,15915.746,15397.611152760808,16528.889888497713,ICN
上午班機,TPE,下午抵達,1,1,0,1,150,-0.059982,1.5913391,3,20217,20293.848,20266.209,19441.768476945785,20740.57788815838,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,18598,18222.021,18078.537,17766.986036803253,18339.363745886167,ICN
上午班機,TPE,下午抵達,1,1,0,1,150,-0.059982,1.5913391,3,20228,20293.848,20266.209,19441.768476945785,20740.57788815838,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,3,16649,18170.41,18085.193,17682.700299552427,18634.75087302074,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,12,17149,17877.979,17804.59,17625.02314320495,18124.857959525525,ICN
早晨班機,TPE,上午抵達,2,1,1,1,145,-0.059982,1.5913391,4,22181,19372.496,19353.844,18802.872172901873,19998.925348647703,ICN
下午班機,TPE,晚間抵達,1,1,2,1,150,-0.059982,1.5913391,12,22459,22589.629,22501.879,21053.06853723238,23383.96828329283,ICN
下午班機,TPE,晚間抵達,1,1,2,1,150,-0.059982,1.5913391,11,23059,22127.898,22131.17,21002.510873018527,23092.999815196763,ICN
下午班機,TPE,下午抵達,1,2,1,1,140,-0.059982,1.5913391,12,15349,17135.275,17228.008,15302.495990883941,18616.26072228998,ICN
下午班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,12,18151,20260.912,20183.574,18930.44136033047,21110.082834180444,ICN
早晨班機,TPE,上午抵達,1,1,0,0,145,-0.059982,1.5913391,4,20215,20699.871,20729.11,20331.772092342522,21355.09921084843,ICN
下午班機,TPE,晚間抵達,1,1,2,1,140,-0.059982,1.5913391,14,20044,18474.709,18298.895,17568.82007386727,19341.433366625537,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,19957,20272.182,20105.113,19788.00766552255,20329.641635141892,ICN
早晨班機,TPE,上午抵達,2,1,0,0,145,-0.059982,1.5913391,4,18586,18737.848,18631.693,18364.417078459577,18951.480585077003,ICN
早晨班機,TPE,上午抵達,1,0,0,0,145,-0.059982,1.5913391,4,20233,21436.367,21362.691,20711.05692030304,22274.611547898807,ICN
下午班機,TPE,晚間抵達,1,1,0,0,150,-0.059982,1.5913391,12,20209,20402.795,20267.754,20015.95991349464,20568.594929554074,ICN
晚間班機,TPE,晚間抵達,2,1,0,0,150,-0.059982,1.5913391,4,19027,18525.912,18311.412,17906.488094000462,18771.952385855107,ICN
早晨班機,TPE,上午抵達,1,1,0,0,145,-0.059982,1.5913391,4,20055,20699.871,20729.11,20331.772092342522,21355.09921084843,ICN
下午班機,TPE,下午抵達,2,1,0,0,145,-0.059982,1.5913391,11,17373,18115.057,18026.043,17677.14685170339,18633.79163042356,ICN
下午班機,TPE,下午抵達,1,2,1,0,140,-0.059982,1.5913391,12,17654,16937.65,16611.375,15370.871244766975,18663.828358625047,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,12,17056,17084.72,16941.867,16195.187926998862,17919.236594217466,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,17590,18222.021,18078.537,17766.986036803253,18339.363745886167,ICN
下午班機,TPE,下午抵達,2,1,1,1,145,-0.059982,1.5913391,12,20188,18584.434,18449.3,18127.004163986334,19102.621611510687,ICN
下午班機,TPE,下午抵達,2,2,0,1,145,-0.059982,1.5913391,12,17954,18033.092,17982.582,17497.488009093915,18388.187097909526,ICN
