出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,19369,20979.191,20983.312,20461.804205543172,21861.500203257972,SIN
上午班機,TPE,下午抵達,1,1,0,0,295,2.1585612,1.0416285,2,19826,21896.344,21616.809,20796.905628755463,22557.80575507434,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,19311,20979.191,20983.312,20461.804205543172,21861.500203257972,SIN
早晨班機,TPE,下午抵達,2,1,2,1,285,2.1585612,1.0416285,6,23741,24962.637,24595.049,23108.504516311787,26456.3949977598,SIN
晚間班機,TPE,凌晨抵達,2,1,2,0,285,2.1585612,1.0416285,3,19405,22640.121,22890.322,19743.394918882834,24991.8207848821,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,6,18412,19136.217,19191.451,18768.1684609097,19609.246559369785,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,28234,25581.7,25816.252,24549.969710481375,26750.46509066545,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,2,18784,18684.33,18579.207,18434.20193252682,18720.0130954297,SIN
早晨班機,TPE,下午抵達,5,0,1,1,300,2.1585612,1.0416285,8,31975,32770.36,31600.385,25573.719108164303,34331.56294362683,SIN
下午班機,TPE,晚間抵達,1,1,2,1,285,2.1585612,1.0416285,5,33440,32204.434,31928.89,30857.575265072952,33441.27105553712,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,21041,21273.8,21031.479,20428.22818465854,21766.39480465969,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,25331,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,30987,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,7,19640,18994.498,19118.85,18802.531005048775,19482.914157020023,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,4,32456,27000.086,26655.78,25737.07630532582,27370.983297790775,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,7,25065,24664.932,24597.7,23383.088500001046,25670.046476087522,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,26708,21273.8,21031.479,20428.22818465854,21766.39480465969,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,6,18598,19136.217,19191.451,18768.1684609097,19609.246559369785,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,25701,25581.7,25816.252,24549.969710481375,26750.46509066545,SIN
下午班機,TPE,晚間抵達,1,1,0,1,290,2.1585612,1.0416285,7,21086,21271.123,21290.363,20502.22224764543,23567.959326956414,SIN
早晨班機,TPE,下午抵達,2,1,2,0,285,2.1585612,1.0416285,6,19516,25299.596,24805.812,23053.035816278232,26754.80060001462,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,20118,21273.8,21031.479,20428.22818465854,21766.39480465969,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,4,24075,27000.086,26655.78,25737.07630532582,27370.983297790775,SIN
下午班機,TPE,晚間抵達,1,1,0,0,290,2.1585612,1.0416285,7,22850,22401.797,22553.1,21564.540789039052,24019.160418419342,SIN
下午班機,TPE,晚間抵達,1,1,2,1,285,2.1585612,1.0416285,5,31852,32204.434,31928.89,30857.575265072952,33441.27105553712,SIN
