出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
下午班機,TPE,下午抵達,2,1,0,0,235,-1.882734,0.4139873,7,9772,7150.5806,6919.7104,6152.350278180955,7885.272630290434,BKK
晚間班機,TPE,晚間抵達,6,0,0,1,240,-1.882734,0.4139873,10,4024,4479.2046,4364.291,4053.1652976139453,4767.431124047461,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,7,4265,4899.6157,4789.3945,4486.794144198556,5034.993560770582,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,9,5816,6242.3315,5937.517,5779.319606228523,6121.040855733118,BKK
上午班機,TPE,下午抵達,2,1,0,0,240,-1.882734,0.4139873,6,7362,8031.2466,8054.675,6932.683070235096,9316.117233020126,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,9,6031,6739.4805,6544.09,6290.762230365635,6795.55851509466,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,10,6964,6730.378,6557.117,6289.728015034002,6969.736702601787,BKK
下午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,7,6002,6163.2427,6039.981,5795.706773136222,6376.126416080934,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,7,4552,4899.6157,4789.3945,4486.794144198556,5034.993560770582,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,6099,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
晚間班機,TPE,晚間抵達,1,1,2,0,235,-1.882734,0.4139873,4,19481,16524.545,16577.695,11908.225503863425,19481.45883038524,BKK
下午班機,TPE,下午抵達,1,1,2,1,235,-1.882734,0.4139873,4,13423,12071.558,11796.284,9954.665301313675,13855.68980842187,BKK
下午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,7,6035,6163.2427,6039.981,5795.706773136222,6376.126416080934,BKK
下午班機,TPE,下午抵達,5,1,2,1,240,-1.882734,0.4139873,7,11308,12738.227,11823.645,10712.987251444367,14106.589958023247,BKK
晚間班機,TPE,晚間抵達,6,0,2,1,240,-1.882734,0.4139873,4,13186,10577.215,10376.394,8819.866553878626,12528.620241364524,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,7,3947,4899.6157,4789.3945,4486.794144198556,5034.993560770582,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,5936,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
晚間班機,TPE,凌晨抵達,2,0,2,1,245,-1.882734,0.4139873,4,27809,17107.451,15808.05,13085.960647593145,20253.41865540885,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,9,6593,6739.4805,6544.09,6290.762230365635,6795.55851509466,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,12899,7971.2554,7625.5303,6993.034917328869,8341.229644031151,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,5955,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
晚間班機,TPE,凌晨抵達,2,0,0,0,245,-1.882734,0.4139873,8,9714,6153.5796,6041.2603,5398.550856973454,7275.02685797573,BKK
下午班機,TPE,下午抵達,5,0,0,1,240,-1.882734,0.4139873,7,5724,6519.083,6296.6777,5891.408951982346,7158.973566150523,BKK
凌晨班機,TPE,凌晨抵達,6,0,2,1,240,-1.882734,0.4139873,1,7879,10601.565,10124.601,8308.566105899748,11559.059329564929,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,10,6283,6730.378,6557.117,6289.728015034002,6969.736702601787,BKK
晚間班機,TPE,凌晨抵達,1,1,1,1,235,-1.882734,0.4139873,9,8507,8388.6,7624.454,6507.948266529383,9705.32050562881,BKK
晚間班機,TPE,晚間抵達,1,1,2,1,235,-1.882734,0.4139873,8,8382,11254.92,11046.668,9589.656538130306,12031.28594339614,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,6,8131,8771.743,8442.691,7557.109972849779,9470.331158360776,BKK
早晨班機,TPE,上午抵達,2,1,1,1,230,-1.882734,0.4139873,7,18487,14174.804,12801.645,10714.432125204225,15051.044509717118,BKK
下午班機,TPE,下午抵達,2,1,2,1,235,-1.882734,0.4139873,4,14648,14918.922,14921.91,13057.62181160267,17788.72264762362,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,6553,7971.2554,7625.5303,6993.034917328869,8341.229644031151,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,7,6111,7889.9937,7608.131,7007.190857822753,8701.399569908463,BKK
下午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,7,5971,6163.2427,6039.981,5795.706773136222,6376.126416080934,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,6,7741,8049.744,7825.144,7056.48620774363,8738.061771178054,BKK
上午班機,TPE,下午抵達,5,1,0,0,250,-1.882734,0.4139873,6,9782,8225.82,8125.641,6753.436494119702,9824.843327274177,BKK
晚間班機,TPE,晚間抵達,1,1,1,1,235,-1.882734,0.4139873,9,7327,7630.9434,7321.7397,6418.6402369400885,9141.258957077316,BKK
早晨班機,TPE,上午抵達,1,1,2,1,250,-1.882734,0.4139873,4,10958,17324.445,16706.91,14577.028955985807,18545.716834637955,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,6,7221,7583.918,7222.9463,6845.948262794314,7989.371068722783,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,6,5873,8771.743,8442.691,7557.109972849779,9470.331158360776,BKK
晚間班機,TPE,凌晨抵達,6,0,0,1,240,-1.882734,0.4139873,8,3519,3899.7522,3827.9036,3636.6411659053083,4052.685221617051,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,6,7882,7953.9316,7439.085,6763.886938747381,8083.832745324826,BKK
晚間班機,TPE,凌晨抵達,1,1,0,0,235,-1.882734,0.4139873,9,5845,6026.584,5890.3027,5666.42229528479,6194.416493970941,BKK
晚間班機,TPE,凌晨抵達,6,0,0,1,240,-1.882734,0.4139873,9,3884,3966.0388,3874.3604,3768.424531787075,4004.5715401574203,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,10130,8539.698,8418.906,7652.474711059048,9276.741520116564,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,6031,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,8,5401,7720.8843,7067.08,5827.506581923644,8582.103868446122,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,9,11032,7970.2363,7728.569,7001.248544227995,8836.40113512339,BKK
晚間班機,TPE,凌晨抵達,6,0,0,0,240,-1.882734,0.4139873,8,4305,3726.0435,3663.3687,3356.6126716439057,3885.0347129531474,BKK
下午班機,TPE,下午抵達,2,1,0,0,235,-1.882734,0.4139873,7,6287,7150.5806,6919.7104,6152.350278180955,7885.272630290434,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,6,6095,7953.9316,7439.085,6763.886938747381,8083.832745324826,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,9,5826,6242.3315,5937.517,5779.319606228523,6121.040855733118,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,9281,7697.2153,7397.714,6834.235579785275,8194.402080947884,BKK
