出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
下午班機,TPE,晚間抵達,2,0,2,1,125,0.6313249,-0.229905,14,5223,4030.3362,3996.8513,3701.824680143952,4577.873138150807,HKG
晚間班機,TPE,晚間抵達,1,1,0,1,115,0.6313249,-0.229905,14,4066,4578.308,4308.9556,4051.9785008875465,4708.212776788599,HKG
晚間班機,TPE,晚間抵達,6,0,0,1,120,0.6313249,-0.229905,23,2436,2070.5762,2026.0251,1854.1083585030271,2207.273096940416,HKG
晚間班機,TPE,晚間抵達,6,0,2,1,120,0.6313249,-0.229905,13,3286,3153.813,3129.4114,2799.1953800353244,3623.0273193879825,HKG
上午班機,TPE,下午抵達,6,1,1,1,120,0.6313249,-0.229905,8,5266,4838.0845,4550.9033,3665.1760844082282,6532.099309380308,HKG
晚間班機,TPE,晚間抵達,2,0,2,1,120,0.6313249,-0.229905,13,3859,5161.554,4907.7544,4149.456871604876,6258.1181663846255,HKG
上午班機,TPE,上午抵達,3,1,2,0,120,0.6313249,-0.229905,7,9215,7384.1855,7525.0996,6334.647249860374,9887.915898325888,HKG
晚間班機,TPE,晚間抵達,3,1,0,1,125,0.6313249,-0.229905,20,4518,4556.6543,4502.3535,4337.306107268996,4710.063005834922,HKG
早晨班機,TPE,上午抵達,5,0,2,1,125,0.6313249,-0.229905,6,5004,6385.6597,6359.8687,5377.597589682487,7312.857891193765,HKG
晚間班機,TPE,晚間抵達,1,1,1,1,115,0.6313249,-0.229905,16,4737,6135.897,6433.3696,5195.196683780851,8000.5539272776105,HKG
下午班機,TPE,晚間抵達,6,0,0,0,115,0.6313249,-0.229905,15,1741,2239.569,2319.2112,2058.100059490832,2706.024762840916,HKG
早晨班機,TPE,上午抵達,2,0,2,0,120,0.6313249,-0.229905,6,5276,5837.247,5685.256,4819.7088933099585,7288.0092506023,HKG
早晨班機,TPE,上午抵達,5,0,0,0,125,0.6313249,-0.229905,12,4092,4007.629,3918.0007,3670.026700810626,4147.8110881721395,HKG
下午班機,TPE,晚間抵達,6,0,0,1,140,0.6313249,-0.229905,24,2205,2528.8796,2436.7075,2294.3541637502803,2854.702161567585,HKG
