出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
晚間班機,TSA,晚間抵達,2,1,1,1,170,-0.84717,0.7560275,3,16407,15087.626,15253.028,14176.167368082963,17859.07565731333,HND
下午班機,TSA,晚間抵達,1,1,0,1,170,-0.84717,0.7560275,8,10951,14296.672,13856.316,13276.867829506607,14491.814621661599,HND
早晨班機,TSA,上午抵達,1,1,0,1,170,-0.84717,0.7560275,2,12052,11435.589,11127.117,10642.46109802074,11570.358102303988,HND
早晨班機,TSA,上午抵達,1,1,0,1,170,-0.84717,0.7560275,2,10686,11435.589,11127.117,10642.46109802074,11570.358102303988,HND
早晨班機,TSA,上午抵達,1,1,2,1,170,-0.84717,0.7560275,2,18113,24996.846,23351.076,19540.751933360327,27843.905521452536,HND
晚間班機,TSA,晚間抵達,2,1,2,1,170,-0.84717,0.7560275,3,27926,19870.584,19012.133,16519.451445844505,24144.07233537993,HND
晚間班機,TSA,晚間抵達,2,1,2,1,170,-0.84717,0.7560275,3,15043,19870.584,19012.133,16519.451445844505,24144.07233537993,HND
凌晨班機,TPE,凌晨抵達,6,0,2,1,170,-0.84717,0.7560275,1,16679,12590.818,12377.337,11248.43320684684,13967.000141050352,HND
下午班機,TSA,晚間抵達,1,1,2,1,170,-0.84717,0.7560275,4,27558,27568.895,27985.115,22429.979581965763,31815.78658562776,HND
下午班機,TSA,晚間抵達,1,1,0,1,170,-0.84717,0.7560275,8,10080,14296.672,13856.316,13276.867829506607,14491.814621661599,HND
晚間班機,TSA,晚間抵達,2,1,1,0,170,-0.84717,0.7560275,3,18642,16968.016,16202.549,14344.889768264939,18468.52989837667,HND
晚間班機,TSA,晚間抵達,2,1,0,0,170,-0.84717,0.7560275,3,11185,12598.867,12217.908,11186.248836864164,13321.94604840842,HND
凌晨班機,TPE,凌晨抵達,6,0,0,1,170,-0.84717,0.7560275,1,6435,6814.0327,6660.3735,6309.869262758229,7044.977790615538,HND
下午班機,TSA,下午抵達,1,1,0,1,180,-0.84717,0.7560275,8,14908,15323.498,14864.384,14118.790987585813,15572.791160688026,HND
上午班機,TSA,下午抵達,2,1,0,1,170,-0.84717,0.7560275,4,11729,12251.573,11899.963,11356.213110547442,12482.849675854013,HND
凌晨班機,TPE,凌晨抵達,6,0,0,1,170,-0.84717,0.7560275,1,6664,6814.0327,6660.3735,6309.869262758229,7044.977790615538,HND
上午班機,TSA,下午抵達,2,1,0,1,170,-0.84717,0.7560275,4,12572,12251.573,11899.963,11356.213110547442,12482.849675854013,HND
上午班機,TSA,下午抵達,3,1,1,1,170,-0.84717,0.7560275,4,18413,19551.5,19539.998,17889.50405823711,21464.181701605583,HND
下午班機,TSA,晚間抵達,1,1,2,1,170,-0.84717,0.7560275,8,18218,20533.193,20424.035,18162.08342768415,22787.56987705488,HND
下午班機,TSA,晚間抵達,3,1,2,1,170,-0.84717,0.7560275,8,12244,18367.61,18625.191,17065.552966433028,20550.647603418198,HND
凌晨班機,TPE,凌晨抵達,6,0,2,0,170,-0.84717,0.7560275,1,17799,13424.26,13217.482,11295.446006540387,14443.712446272646,HND
