出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,4,4037,4249.7583,4129.693,3900.3628160479366,4328.670174513167,ICN
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,4,3940,4249.7583,4129.693,3900.3628160479366,4328.670174513167,ICN
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,4,4281,4249.7583,4129.693,3900.3628160479366,4328.670174513167,ICN
晚間班機,TPE,晚間抵達,4,0,2,1,150,-0.059982,1.5913391,4,7291,7922.8804,7991.3677,7240.396863000629,8637.593020606722,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,9578,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
晚間班機,TPE,晚間抵達,2,1,2,0,150,-0.059982,1.5913391,3,15047,14658.544,14135.612,12161.574717960486,16272.569200229886,ICN
晚間班機,TPE,晚間抵達,4,1,0,0,145,-0.059982,1.5913391,4,5468,4188.3047,4137.753,3855.63202095671,4543.765781295513,ICN
下午班機,TPE,下午抵達,2,1,2,1,145,-0.059982,1.5913391,12,16152,15444.131,14908.184,13219.489298297238,16158.745412993814,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,7362,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,12,13847,11168.306,10727.3125,9242.086189841737,12561.4142834607,ICN
晚間班機,TPE,晚間抵達,4,0,0,0,150,-0.059982,1.5913391,4,3647,4589.7163,4396.813,4165.13747402864,4706.13432610732,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,11136,8253.396,8058.4478,7575.397973090894,8589.727530102651,ICN
晚間班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,4,9976,13870.239,13715.854,12414.064018258716,15021.305767099017,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,8901,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
下午班機,TPE,晚間抵達,1,1,2,0,150,-0.059982,1.5913391,12,15175,15261.744,15266.301,13810.93707520299,16324.70361533348,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,11541,8107.279,8115.665,7263.972133627749,9062.110036890019,ICN
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,4,4674,4249.7583,4129.693,3900.3628160479366,4328.670174513167,ICN
下午班機,TPE,晚間抵達,2,1,0,0,150,-0.059982,1.5913391,12,10032,8860.885,8781.42,7865.137945259169,9554.29140824975,ICN
晚間班機,TPE,晚間抵達,4,1,0,1,145,-0.059982,1.5913391,3,3678,3732.8884,3639.5085,3381.1594476162827,3920.991592851063,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,11,10892,10806.703,10002.054,8733.814435638711,11517.806277594205,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,5531,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
下午班機,TPE,下午抵達,6,1,0,1,145,-0.059982,1.5913391,14,7594,7764.159,7276.1475,6673.084911331392,8172.994433566631,ICN
上午班機,TPE,下午抵達,6,0,0,0,155,-0.059982,1.5913391,1,5339,6391.3267,6084.8647,5714.8973435587295,6565.949035813495,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,6316,8253.396,8058.4478,7575.397973090894,8589.727530102651,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,7212,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,4,14406,9486.832,9120.14,8783.020327703527,9547.98913811886,ICN
早晨班機,TPE,上午抵達,1,1,2,1,145,-0.059982,1.5913391,4,17056,15545.997,15357.573,13739.163764722913,17318.81258601773,ICN
下午班機,TPE,下午抵達,1,2,1,0,140,-0.059982,1.5913391,12,9849,13757.489,13566.757,10156.846010529884,17702.62130804095,ICN
晚間班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,4,12642,13870.239,13715.854,12414.064018258716,15021.305767099017,ICN
下午班機,TPE,下午抵達,2,2,0,1,145,-0.059982,1.5913391,12,9300,7908.3926,7782.8433,6956.004232572765,9160.168502892808,ICN
早晨班機,TPE,上午抵達,2,1,0,0,145,-0.059982,1.5913391,4,9596,9159.734,9012.921,8388.323593312189,9680.963960195377,ICN
下午班機,TPE,下午抵達,1,2,2,1,140,-0.059982,1.5913391,12,13264,14882.584,15006.257,12105.186153027618,16715.715705510014,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,4,11656,9486.832,9120.14,8783.020327703527,9547.98913811886,ICN
上午班機,TPE,下午抵達,6,0,2,1,155,-0.059982,1.5913391,1,10115,9754.625,9757.109,8689.417892179521,10985.637477453496,ICN
下午班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,11,17197,14337.896,13795.6455,11654.604470101349,14793.330420740895,ICN
下午班機,TPE,下午抵達,2,1,0,0,145,-0.059982,1.5913391,8,9945,8483.827,8240.575,7652.131486935895,8964.264509093575,ICN
晚間班機,TPE,晚間抵達,4,1,0,1,145,-0.059982,1.5913391,4,3310,3928.3447,3878.354,3688.7631106121835,4098.596593607604,ICN
晚間班機,TPE,晚間抵達,4,0,0,0,150,-0.059982,1.5913391,4,4489,4589.7163,4396.813,4165.13747402864,4706.13432610732,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,10597,9305.051,8995.161,8582.800890855302,9430.397253473871,ICN
下午班機,TPE,晚間抵達,2,0,2,1,145,-0.059982,1.5913391,12,14533,13238.097,12283.878,11122.365437245973,14471.030712865428,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,11680,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,10230,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
下午班機,TPE,下午抵達,6,1,2,0,145,-0.059982,1.5913391,9,11862,12263.626,12150.705,10976.001459750149,13908.560957090995,ICN
下午班機,TPE,下午抵達,2,1,2,1,145,-0.059982,1.5913391,14,14907,14418.034,13731.822,12282.83492202659,15296.15633680553,ICN
下午班機,TPE,晚間抵達,1,1,2,1,150,-0.059982,1.5913391,12,17346,13640.49,13589.989,12586.546823184373,14543.160389624267,ICN
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,4,3737,4249.7583,4129.693,3900.3628160479366,4328.670174513167,ICN
下午班機,TPE,晚間抵達,1,1,2,1,150,-0.059982,1.5913391,12,11829,13640.49,13589.989,12586.546823184373,14543.160389624267,ICN
下午班機,TPE,下午抵達,6,1,2,1,145,-0.059982,1.5913391,12,9991,11465.742,11372.797,10725.767446793228,12124.647048706842,ICN
下午班機,TPE,晚間抵達,1,1,1,1,140,-0.059982,1.5913391,12,11939,14696.4375,14502.616,10928.595521333977,17777.155869300725,ICN
早晨班機,TPE,上午抵達,1,1,2,1,145,-0.059982,1.5913391,4,21853,15545.997,15357.573,13739.163764722913,17318.81258601773,ICN
晚間班機,TPE,晚間抵達,4,0,1,0,150,-0.059982,1.5913391,3,6425,6526.194,6262.131,5185.2820639803085,7185.044869169682,ICN
下午班機,TPE,下午抵達,6,1,2,1,145,-0.059982,1.5913391,12,10826,11465.742,11372.797,10725.767446793228,12124.647048706842,ICN
晚間班機,TPE,晚間抵達,4,1,1,1,145,-0.059982,1.5913391,3,7818,7229.9697,6413.311,5457.840189883558,7445.488628366944,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,7,5938,8150.3633,7735.0293,6996.03774292648,8726.987408350073,ICN
晚間班機,TPE,晚間抵達,4,1,2,0,145,-0.059982,1.5913391,4,6932,8863.133,8282.393,7461.500939225252,9370.446107172096,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,6373,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,4,8708,9486.832,9120.14,8783.020327703527,9547.98913811886,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,8016,9305.051,8995.161,8582.800890855302,9430.397253473871,ICN
上午班機,TPE,下午抵達,1,1,0,1,150,-0.059982,1.5913391,3,7510,7594.37,7641.155,7161.8430440511565,8194.062493886162,ICN
下午班機,TPE,晚間抵達,1,1,0,0,150,-0.059982,1.5913391,12,6392,9844.961,9472.013,8703.416522562144,10209.469454755741,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,8205,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
下午班機,TPE,下午抵達,6,1,0,0,145,-0.059982,1.5913391,12,6974,8299.521,7894.4575,7374.055330246047,8442.117099133493,ICN
晚間班機,TPE,晚間抵達,4,0,2,1,150,-0.059982,1.5913391,4,8978,7922.8804,7991.3677,7240.396863000629,8637.593020606722,ICN
下午班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,12,15892,13767.058,13672.439,12579.819543792608,14783.837070961803,ICN
下午班機,TPE,下午抵達,4,0,2,1,145,-0.059982,1.5913391,12,9293,9275.199,9237.404,8678.55726931459,10060.72324573318,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,12,12357,11168.306,10727.3125,9242.086189841737,12561.4142834607,ICN
下午班機,TPE,晚間抵達,1,1,2,1,150,-0.059982,1.5913391,10,13273,13225.779,13256.708,12113.64146154904,14304.874842063446,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,9059,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
下午班機,TPE,下午抵達,6,1,0,0,145,-0.059982,1.5913391,12,9191,8299.521,7894.4575,7374.055330246047,8442.117099133493,ICN
凌晨班機,TPE,凌晨抵達,6,0,2,0,160,-0.059982,1.5913391,1,8614,9501.429,9368.035,8718.025976374714,10635.49589284925,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,4880,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,7065,7185.874,7024.2056,6551.526484346735,7572.710053290714,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,12747,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,6433,7185.874,7024.2056,6551.526484346735,7572.710053290714,ICN
晚間班機,TPE,晚間抵達,4,0,2,0,150,-0.059982,1.5913391,4,6936,8195.435,8237.432,7537.604275798236,9284.074052818449,ICN
下午班機,TPE,晚間抵達,1,1,0,0,150,-0.059982,1.5913391,12,11809,9844.961,9472.013,8703.416522562144,10209.469454755741,ICN
下午班機,TPE,晚間抵達,1,1,2,1,150,-0.059982,1.5913391,10,13110,13225.779,13256.708,12113.64146154904,14304.874842063446,ICN
下午班機,TPE,晚間抵達,1,1,2,0,140,-0.059982,1.5913391,12,13583,16888.227,16758.951,15519.37635796512,18663.71087788977,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,7243,9305.051,8995.161,8582.800890855302,9430.397253473871,ICN
晚間班機,TPE,晚間抵達,4,0,2,1,150,-0.059982,1.5913391,4,7635,7922.8804,7991.3677,7240.396863000629,8637.593020606722,ICN
下午班機,TPE,下午抵達,2,2,0,1,145,-0.059982,1.5913391,12,9994,7908.3926,7782.8433,6956.004232572765,9160.168502892808,ICN
上午班機,TPE,下午抵達,6,0,0,1,155,-0.059982,1.5913391,1,8922,6255.9873,6034.649,5817.543996195962,6213.498076511154,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,9428,9305.051,8995.161,8582.800890855302,9430.397253473871,ICN
晚間班機,TPE,晚間抵達,4,0,0,0,150,-0.059982,1.5913391,3,3712,4649.095,4385.65,4134.713156876108,4756.462042601077,ICN
上午班機,TPE,下午抵達,6,0,0,0,155,-0.059982,1.5913391,1,6541,6391.3267,6084.8647,5714.8973435587295,6565.949035813495,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,6832,8107.279,8115.665,7263.972133627749,9062.110036890019,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,4,12308,9486.832,9120.14,8783.020327703527,9547.98913811886,ICN
下午班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,12,16788,13767.058,13672.439,12579.819543792608,14783.837070961803,ICN
下午班機,TPE,晚間抵達,2,1,1,0,150,-0.059982,1.5913391,12,12332,8838.829,9288.683,7463.388374114369,12788.5346887389,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,10086,8253.396,8058.4478,7575.397973090894,8589.727530102651,ICN
晚間班機,TPE,晚間抵達,2,1,0,0,150,-0.059982,1.5913391,4,9536,7475.688,7297.923,6904.655035830424,7844.982834264015,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,4,9503,9486.832,9120.14,8783.020327703527,9547.98913811886,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,2,9358,9534.218,9353.474,8666.182588908676,10046.95266624188,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,7,5782,5194.8545,5154.184,4829.934771226778,5567.908442229443,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,7,6224,6417.9434,6252.957,5598.036336396885,7372.465601345288,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,6271,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
下午班機,TPE,下午抵達,6,1,0,1,145,-0.059982,1.5913391,12,9095,6966.458,6885.409,6388.404709220385,7244.151556612333,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,7,7196,8102.942,7690.5376,7083.479558519753,8487.895101232198,ICN
下午班機,TPE,晚間抵達,1,1,1,1,150,-0.059982,1.5913391,12,10144,12240.723,11668.108,9805.426862314136,13629.191336477414,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,7263,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
早晨班機,TPE,上午抵達,2,1,1,1,145,-0.059982,1.5913391,4,13588,12936.508,12287.675,11050.460541963665,13595.649070924166,ICN
下午班機,TPE,下午抵達,1,2,0,1,140,-0.059982,1.5913391,12,6394,8107.279,8115.665,7263.972133627749,9062.110036890019,ICN
下午班機,TPE,晚間抵達,1,1,0,0,140,-0.059982,1.5913391,12,14601,11168.306,10727.3125,9242.086189841737,12561.4142834607,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,9437,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
早晨班機,TPE,上午抵達,1,1,2,0,145,-0.059982,1.5913391,4,15522,16828.979,16590.54,14898.975351143092,18572.0780279086,ICN
上午班機,TPE,下午抵達,6,0,2,0,180,-0.059982,1.5913391,2,8638,12441.758,12351.217,10823.926746428679,15030.342703932702,ICN
