出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
早晨班機,TPE,下午抵達,1,1,0,1,185,-0.84717,-1.180738,7,9753,11252.098,10908.591,10469.363293772058,11347.990152474164,NRT
上午班機,TPE,下午抵達,5,1,0,1,180,-0.84717,-1.180738,7,10655,11748.901,11270.754,10636.42991990973,11881.280496287229,NRT
上午班機,TPE,下午抵達,6,0,0,1,195,-0.84717,-1.180738,7,6423,7267.6436,7025.1836,6756.100593104022,7366.308066983582,NRT
下午班機,TPE,下午抵達,6,0,0,1,180,-0.84717,-1.180738,18,5182,5542.6797,5422.059,5159.981878003183,5761.983352269179,NRT
下午班機,TPE,晚間抵達,5,1,0,1,180,-0.84717,-1.180738,19,9985,10904.493,10759.815,9822.372362184198,11949.95442609071,NRT
早晨班機,TPE,下午抵達,1,1,2,1,185,-0.84717,-1.180738,7,26590,21090.27,20302.81,18624.43682858889,22461.184165255476,NRT
下午班機,TPE,晚間抵達,5,0,2,1,180,-0.84717,-1.180738,17,19355,21592.72,21993.645,18722.770810113103,28849.42722223849,NRT
上午班機,TPE,下午抵達,2,1,0,1,180,-0.84717,-1.180738,7,9765,11536.614,11358.357,10817.437046192836,11855.769951297085,NRT
早晨班機,TPE,下午抵達,1,1,0,1,185,-0.84717,-1.180738,7,9832,11252.098,10908.591,10469.363293772058,11347.990152474164,NRT
下午班機,TPE,晚間抵達,5,0,0,0,180,-0.84717,-1.180738,17,12675,12656.967,12142.179,10447.002123132397,13874.464845787974,NRT
早晨班機,TPE,下午抵達,1,1,2,1,185,-0.84717,-1.180738,7,20286,21090.27,20302.81,18624.43682858889,22461.184165255476,NRT
下午班機,TPE,下午抵達,6,0,0,1,185,-0.84717,-1.180738,18,5006,5728.4873,5468.7383,5215.270982723337,5834.215237901215,NRT
凌晨班機,TPE,早晨抵達,6,0,2,1,185,-0.84717,-1.180738,2,12269,12787.074,12467.975,10889.773052184155,13674.617275964887,NRT
凌晨班機,TPE,早晨抵達,6,0,0,1,185,-0.84717,-1.180738,2,6350,6394.7783,6286.8,5995.267946106334,6651.012045672799,NRT
下午班機,TPE,晚間抵達,5,0,0,1,180,-0.84717,-1.180738,16,12292,11275.571,10975.36,9653.388162487598,11813.145121498961,NRT
下午班機,TPE,晚間抵達,2,0,0,1,180,-0.84717,-1.180738,18,8697,8929.512,8805.995,8460.520813402192,9296.49808554342,NRT
下午班機,TPE,晚間抵達,6,0,0,1,180,-0.84717,-1.180738,16,6196,6498.193,6312.632,6090.64069431239,6644.771037849343,NRT
凌晨班機,TPE,早晨抵達,6,0,0,1,185,-0.84717,-1.180738,2,8420,6394.7783,6286.8,5995.267946106334,6651.012045672799,NRT
下午班機,TPE,下午抵達,3,1,0,1,180,-0.84717,-1.180738,16,10095,10521.203,10322.912,9963.78819761026,10664.165203486786,NRT
早晨班機,TPE,上午抵達,4,1,0,1,185,-0.84717,-1.180738,7,5238,7027.295,6717.224,6423.862492956434,7238.611899037107,NRT
上午班機,TPE,下午抵達,2,1,0,1,180,-0.84717,-1.180738,7,9990,11536.614,11358.357,10817.437046192836,11855.769951297085,NRT
早晨班機,TPE,下午抵達,5,1,1,1,180,-0.84717,-1.180738,7,15721,19117.975,18365.402,16053.67823157992,21168.364901918576,NRT
下午班機,TPE,晚間抵達,6,0,2,1,195,-0.84717,-1.180738,20,15230,15523.714,14083.44,12191.617273449046,15853.855595364737,NRT
下午班機,TPE,晚間抵達,5,0,0,1,180,-0.84717,-1.180738,16,10043,11275.571,10975.36,9653.388162487598,11813.145121498961,NRT
上午班機,TPE,下午抵達,3,1,0,0,185,-0.84717,-1.180738,7,10594,12474.73,11647.15,10760.217681634515,13747.638864284925,NRT
下午班機,TPE,下午抵達,2,0,0,1,180,-0.84717,-1.180738,18,9402,9164.392,8702.461,8106.940698313851,9314.119099391708,NRT
下午班機,TPE,晚間抵達,6,0,0,1,185,-0.84717,-1.180738,17,7549,6555.1035,6308.0635,6001.6119577934915,6775.591038817392,NRT
