出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,凌晨抵達,2,1,2,1,285,2.1585612,1.0416285,3,9567,9374.507,9066.428,7842.347000961432,11939.219557216422,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,8127,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
上午班機,TPE,下午抵達,1,1,2,1,295,2.1585612,1.0416285,2,20007,11047.543,11000.922,8922.611134417559,13026.160387219303,SIN
晚間班機,TPE,凌晨抵達,2,1,1,1,285,2.1585612,1.0416285,2,5524,8389.904,8685.379,6614.019291669998,10397.96568695776,SIN
早晨班機,TPE,下午抵達,1,1,2,1,280,2.1585612,1.0416285,6,13302,9696.825,10573.14,8990.199940529728,12415.752506756948,SIN
下午班機,TPE,晚間抵達,4,1,0,0,285,2.1585612,1.0416285,7,4510,7850.7935,7596.696,6325.525200822804,8947.221456378098,SIN
早晨班機,TPE,下午抵達,5,0,2,1,280,2.1585612,1.0416285,6,14322,11339.265,11688.87,9556.268599163333,14100.846922273036,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,4,8203,7793.9116,7149.1484,4596.7447470795105,10709.160912385749,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,11134,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
下午班機,TPE,晚間抵達,1,1,0,1,290,2.1585612,1.0416285,7,8205,9166.062,9243.283,7500.802488772428,10908.972841812578,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,0,275,2.1585612,1.0416285,2,2552,3344.2712,3284.0415,3045.891136943448,3881.3568483085687,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,8,5668,6047.2964,5744.317,5320.505077991078,6234.792029934991,SIN
下午班機,TPE,晚間抵達,4,1,0,1,285,2.1585612,1.0416285,7,3936,7444.4014,7300.074,5933.320128942401,9590.692648341674,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,2,2544,3031.5278,2932.0693,2756.0587696700036,3261.904067908738,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,8148,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
