出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格剩餘天數_log,Region,經濟指標,機場指標,competing_flights,y_test_log,y_pred_log,residual_log,預測價格,實際價格,相對誤差 (%)
2025-01-26,星期日,晚上9:10,晚間班機,TPE,晚上11:00,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,1 小時 50 分鐘,110,No,0,Airbus A330,1,CI 921,經濟艙,2,3843,3577,3872.0,33442.05,3854.25,81,91,8.25,8.18,10.42,8.26,4.41,香港,0.6313249,-0.229905,13,8.25,9.439175,-1.1891746520996094,12571.337,3827.6258214399063,228.4369345521166
2025-02-05,星期三,下午2:10,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,6,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A320neo,0,UO 111,經濟艙,0,2827,1801,2428.0,506555.17,2641.25,40,78,7.95,7.5,13.14,7.8,3.71,香港,0.6313249,-0.229905,20,7.95,8.905724,-0.9557235717773436,7374.059,2835.5749504745104,160.0551637965789
2025-01-26,星期日,下午2:05,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,6,直達航班。,Non-stop,2 小時,120,No,0,Airbus A320neo,0,UO 111,經濟艙,2,2924,1890,2838.0,373436.06,3083.0,18,89,7.98,7.54,12.83,7.95,2.94,香港,0.6313249,-0.229905,17,7.98,8.909353,-0.9293532562255855,7400.873,2921.9310640814792,153.287051766962
2025-02-02,星期日,凌晨1:25,凌晨班機,TPE,凌晨4:25,凌晨抵達,BKK,泰越捷航空,6,直達航班。,Non-stop,4 小時,240,No,0,Airbus A320,0,VZ 571,經濟艙,2,4512,3697,4641.0,132407.21,4513.75,91,91,8.41,8.22,11.79,8.44,4.52,泰國,-1.882734,0.4139873,1,8.41,9.32916,-0.9191597366333006,11261.665,4491.760511548689,150.71828763149384
2025-02-22,星期六,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,285,No,0,Boeing 787,1,TR 899,經濟艙,0,4133,2399,4398.0,444856.27,4698.0,35,91,8.33,7.78,13.01,8.39,3.58,新加坡,2.1585612,1.0416285,3,8.33,9.243304,-0.9133042526245116,10335.132,4146.417552264591,149.2544878962541
2025-02-20,星期四,下午2:10,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,6,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A320neo,0,UO 111,經濟艙,0,1581,1340,1520.0,124139.31,1508.75,91,89,7.37,7.2,11.73,7.33,4.52,香港,0.6313249,-0.229905,18,7.37,8.2331705,-0.8631705093383788,3763.7478,1587.633783044449,137.0664975090796
2025-03-12,星期三,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,285,No,1,Boeing 787,1,TR 899,經濟艙,0,3428,2588,3298.0,281406.47,3598.0,70,91,8.14,7.86,12.55,8.1,4.26,新加坡,2.1585612,1.0416285,7,8.14,8.996074,-0.8560737228393549,8071.3315,3428.917867988284,135.39005172218162
2025-02-04,星期二,下午2:05,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,6,直達航班。,Non-stop,2 小時,120,No,1,Airbus A320neo,0,UO 111,經濟艙,0,3463,2428,3168.0,1108954.49,3974.0,76,80,8.15,7.8,13.92,8.06,4.34,香港,0.6313249,-0.229905,22,8.15,8.980433,-0.8304334640502926,7946.0757,3463.3790654794548,129.43130201353603
2025-02-02,星期日,下午2:05,下午班機,TPE,下午4:05,下午抵達,HKG,香港快運航空,6,直達航班。,Non-stop,2 小時,120,No,0,Airbus A320neo,0,UO 111,經濟艙,2,4833,3658,4158.0,1486372.2,6769.5,74,82,8.48,8.2,14.21,8.33,4.32,香港,0.6313249,-0.229905,19,8.48,9.295195,-0.8151946258544918,10885.584,4817.449896870594,125.96154018013253
2025-02-08,星期六,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,285,No,0,Boeing 787,1,TR 899,經濟艙,0,3485,2399,3298.0,666388.05,3420.5,23,91,8.16,7.78,13.41,8.1,3.18,新加坡,2.1585612,1.0416285,5,8.16,8.940969,-0.7809694671630858,7638.5986,3498.186603763332,118.35880980719932
2025-02-21,星期五,下午2:30,下午班機,TPE,下午4:30,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Boeing 737,0,CI 915,經濟艙,0,3921,3776,3934.0,6889.34,3889.0,76,89,8.27,8.24,8.84,8.28,4.34,香港,0.6313249,-0.229905,17,8.27,9.036085,-0.7660851287841801,8400.824,3904.9489921540026,115.13275168585582
2025-01-27,星期一,上午10:15,上午班機,TPE,下午2:15,下午抵達,NRT,星宇航空,5,直達航班。,Non-stop,3 小時,180,No,1,Airbus A350,1,JX 802,經濟艙,2,16791,14240,14831.0,8133161.11,20286.75,20,90,9.73,9.56,15.91,9.6,3.04,日本,-0.84717,-1.180738,7,9.73,10.488264,-0.7582640838623043,35891.797,16814.552320467552,113.45674978994612
2025-02-06,星期四,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,285,No,1,Boeing 787,1,TR 899,經濟艙,0,3230,2588,3298.0,184197.61,3673.0,23,91,8.08,7.86,12.12,8.1,3.18,新加坡,2.1585612,1.0416285,5,8.08,8.807548,-0.7275475692749023,6684.506,3229.2332366446813,106.999785073453
2025-03-15,星期六,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,285,No,0,Boeing 787,1,TR 899,經濟艙,0,3942,3298,3798.0,206935.29,4098.0,47,91,8.28,8.1,12.24,8.24,3.87,新加坡,2.1585612,1.0416285,7,8.28,9.000888,-0.7208878707885749,8110.2817,3944.194381980303,105.62581234166342
2025-01-26,星期日,下午6:10,晚間班機,TPE,晚上8:10,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,0,Airbus A321neo,0,CI 923,經濟艙,2,4305,3577,3878.0,728274.43,4472.5,81,91,8.37,8.18,13.5,8.26,4.41,香港,0.6313249,-0.229905,13,8.37,9.088825,-0.7188252258300789,8855.776,4315.636062697413,105.20211247035395
2025-03-07,星期五,下午4:10,下午班機,TPE,晚上8:55,晚間抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,285,No,1,Boeing 787,1,TR 899,經濟艙,0,3936,2898,3798.0,318615.38,4548.0,38,91,8.28,7.97,12.67,8.24,3.66,新加坡,2.1585612,1.0416285,7,8.28,8.996074,-0.7160737228393561,8071.3315,3944.194381980303,104.63827999562972
2025-02-14,星期五,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,1,Boeing 777,1,BR 67,經濟艙,0,16408,13714,16547.0,3885729.66,16178.5,85,91,9.71,9.53,15.17,9.71,4.45,泰國,-1.882734,0.4139873,7,9.71,8.989332,0.7206678009033212,8017.101,16481.601876769324,51.357270160015304
2025-01-24,星期五,清晨7:15,早晨班機,TPE,上午9:15,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Boeing 737,0,CI 601,經濟艙,2,10980,4401,13226.0,13999147.22,11249.25,83,91,9.3,8.39,16.45,9.49,4.43,香港,0.6313249,-0.229905,12,9.3,8.57298,0.7270200729370124,5286.861,10938.019208165191,51.66528107852354
2025-01-25,星期六,清晨7:55,早晨班機,TPE,中午12:00,下午抵達,NRT,長榮航空,1,直達航班。,Non-stop,3 小時 5 分鐘,185,No,0,Boeing 787-10,1,BR 184,經濟艙,2,41380,25421,25991.0,331928784.38,53038.0,34,73,10.63,10.14,19.62,10.17,3.56,日本,-0.84717,-1.180738,7,10.63,9.901067,0.7289332199096688,19951.643,41357.12520013331,51.75766574302247
2025-01-25,星期六,上午8:50,早晨班機,TPE,中午12:55,下午抵達,NRT,長榮航空,1,直達航班。,Non-stop,3 小時 5 分鐘,185,No,0,Boeing 787-10,1,BR 198,經濟艙,2,41209,25416,25989.0,330256748.95,25821.5,36,69,10.63,10.14,19.62,10.17,3.61,日本,-0.84717,-1.180738,7,10.63,9.901067,0.7289332199096688,19951.643,41357.12520013331,51.75766574302247
2025-01-29,星期三,下午2:25,下午班機,TPE,下午4:25,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,2 小時,120,No,1,Airbus A321,0,BR 855,經濟艙,2,7358,4646,7172.0,1401640.82,7640.0,47,91,8.9,8.44,14.15,8.88,3.87,香港,0.6313249,-0.229905,14,8.9,8.1696205,0.7303794860839847,3532.0034,7331.973539155995,51.82738454924471
2025-02-03,星期一,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,星宇航空,5,直達航班。,Non-stop,4 小時,240,No,1,Airbus A321neo,0,JX 745,經濟艙,0,12490,7833,13685.0,5192376.59,12132.0,25,91,9.43,8.97,15.46,9.52,3.26,泰國,-1.882734,0.4139873,7,9.43,8.693087,0.7369133758544919,5961.555,12456.526731608414,52.141112011153034
2025-02-11,星期二,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,0,4060,3720,4135.0,22608.47,4012.25,90,90,8.31,8.22,10.03,8.33,4.51,香港,0.6313249,-0.229905,24,8.31,7.572473,0.7375269508361821,1943.9418,4064.312983705597,52.17047062432264
2025-02-15,星期六,下午2:10,下午班機,TPE,下午6:55,晚間抵達,SIN,新加坡航空,1,直達航班。,Non-stop,4 小時 45 分鐘,285,No,0,Boeing 787,1,SQ 877,經濟艙,0,10315,8039,9128.5,4918672.11,10889.5,88,90,9.24,8.99,15.41,9.12,4.49,新加坡,2.1585612,1.0416285,4,9.24,8.501764,0.7382357025146487,4923.4478,10301.03855791324,52.204355646023025
2025-01-23,星期四,上午8:30,早晨班機,TPE,中午12:30,下午抵達,NRT,星宇航空,5,直達航班。,Non-stop,3 小時,180,No,1,Airbus A350,1,JX 800,經濟艙,2,49836,21263,40860.0,611838670.24,55203.5,32,86,10.82,9.96,20.23,10.62,3.5,日本,-0.84717,-1.180738,8,10.82,10.080461,0.7395394515991214,23871.977,50011.087008521754,52.266631280315345
2025-03-17,星期一,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,0,4111,3813,4136.0,24521.52,3925.25,83,89,8.32,8.25,10.11,8.33,4.43,香港,0.6313249,-0.229905,24,8.32,7.572473,0.7475269508361819,1943.9418,4105.160008274192,52.64638239330968
2025-03-13,星期四,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,0,4097,3813,4135.0,23963.65,4076.0,79,89,8.32,8.25,10.08,8.33,4.38,香港,0.6313249,-0.229905,24,8.32,7.572473,0.7475269508361819,1943.9418,4105.160008274192,52.64638239330968
2025-03-12,星期三,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,0,4093,3813,4135.0,23605.96,4184.5,78,89,8.32,8.25,10.07,8.33,4.37,香港,0.6313249,-0.229905,24,8.32,7.572473,0.7475269508361819,1943.9418,4105.160008274192,52.64638239330968
2025-01-24,星期五,上午10:50,上午班機,TPE,中午12:55,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CI 909,經濟艙,2,10746,4407,12575.0,10030966.04,11416.75,90,91,9.28,8.39,16.12,9.44,4.51,香港,0.6313249,-0.229905,10,9.28,8.525519,0.7544806289672845,5041.8047,10721.431916447313,52.97452125060299
2025-03-02,星期日,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,0,Airbus A321,0,BR 869,經濟艙,0,4062,3813,3990.0,19838.97,4143.75,68,89,8.31,8.25,9.9,8.29,4.23,香港,0.6313249,-0.229905,24,8.31,7.540136,0.7698641395568853,1882.0857,4064.312983705597,53.69240260519007
2025-03-15,星期六,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,0,Airbus A321,0,BR 869,經濟艙,0,4105,3813,4136.0,24601.4,4012.25,81,89,8.32,8.25,10.11,8.33,4.41,香港,0.6313249,-0.229905,24,8.32,7.540136,0.779864139556885,1882.0857,4105.160008274192,54.15317089794501
2025-01-25,星期六,上午8:30,早晨班機,TPE,中午12:30,下午抵達,NRT,星宇航空,5,直達航班。,Non-stop,3 小時,180,No,0,Airbus A350,1,JX 800,經濟艙,2,68697,25340,96777.0,1225983178.31,62001.5,27,90,11.14,10.14,20.93,11.48,3.33,日本,-0.84717,-1.180738,7,11.14,10.330236,0.8097635650634771,30645.357,68871.65644405661,55.50367305777269
2025-02-04,星期二,上午10:50,上午班機,TPE,中午12:55,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CI 909,經濟艙,0,11029,3578,13472.0,14809092.72,11574.5,89,90,9.31,8.18,16.51,9.51,4.5,香港,0.6313249,-0.229905,8,9.31,8.497188,0.8128123855590825,4900.966,11047.948128777089,55.639130785319914
